指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
816,东江摄影博物馆,江原道宁越郡宁越路1909-10,#江原道#春川#旅游地#博物馆,033-375-4554,http://www.dgphotomuseum.com/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0068_I_01.JPG&w=454&h=242,成人700~1000韩元/青少年300~500韩元/儿童300~500韩元,可停车免费停车,东江摄影博物馆展示着照片的变迁史和不同主题的多种摄影作品展示着国内最早的公立摄影博物馆从1940年代到80年代代表韩国摄影的纪录片作家的作品。 通过照片可以看到的历史文化遗产资料等从2002年开始每年举办的东江国际摄影节获奖作品1500多件。
817,端宗历史观,江原道宁越郡丹宗路190,#江原道#春川#旅游地#博物馆,033-374-2101,http://www.ywmuseum.com/section/danjong/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0067_I_09.JPG&w=454&h=242,成人700~1400韩元/青少年军人600~1200韩元/儿童600~1200韩元,可以停车的轻型车1000韩元/中小型1000韩元/大型2000韩元,2002年开馆的端宗历史馆位于命运悲惨的王端宗的气息尚存的世界文化遗产长陵内。 除影像室和资料室学习室外还设有端宗时代和端宗承夏以及端宗复权等3个主题展示室从端宗的太子即位到端宗大王。
818,朝鲜半岛骑马场,江原道宁越郡酒泉面酒泉里 304,#江原道#春川#旅游地#休闲运动,033-372-2334,,每周一,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0190_I_01.JPG&w=454&h=242,无,可停车免费停车,沿着大大小小的溪谷清澈的水正向中央流淌。 森林树种丰富不同季节不仅绿叶枫叶雪景等自然景观秀丽野生动物也栖息于此。 在位于宁越郡的韩半岛骑马场可以充分感受到江原道的魅力。
819,东江卡努营地,江原道宁越郡太和山路135,#江原道#春川#旅游地#休闲运动,033-374-8787,http://dongangcanoe.com/,11~4月,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0186_I_02.JPG&w=454&h=242,免费,可停车免费停车,东江卡努营地是宁越郡农村观光协议会(社团法人)直营的皮划艇体验场。 东江卡努营地位于东江和西江交汇处形成南汉江的合水头与太和山一起周边景观也非常秀丽。 在这里可以尽情享受划艇和皮艇自由泳东江漂流露营等乐趣。
820,韩半岛筏子体验,江原道宁越郡韩半岛面瓮井里山180,#江原道#春川#旅游地#休闲运动,010-9399-5060,http://hanbando.go2vil.org/,冬天,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AF0184_I_02.JPG&w=454&h=242,免费,可停车免费停车,江原道宁越地区的名胜韩半岛地形韩半岛地形很近距离的方法是乘着木筏在韩半岛南海东海西海。 韩半岛筏子村体验的韩半岛筏子体验是以低廉的价格游览宁越的休闲运动。
821,宁越东江生态公园,江原道宁越郡下松路64,#江原道#春川#观光地#公园,033-370-2429,http://www.donggang-ecopark.com/,每周一1月1日,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AC0033_I_10.JPG&w=454&h=242,成人3000~5000韩元/青少年儿童军人2000~3000韩元,可停车免费停车,包括秀丽的自然环境和珍稀动植物在内的众多生物物种栖息的东江是蕴藏着太古时期原始生态的生态宝库。在蜿蜒曲折的蛇形斜行川中栖息着水獭和鸳鸯拥有自然气息的洞窟和能够一眼看到东江的美丽名山蕴含着天然秘境的东江永月。
822,东江,江原道宁越郡下松路44,#江源道#春川#旅游地#江,033-375-1110,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/TOSIGK00/AA0003_T/AA0003_I_01.JPG&w=454&h=242,免费,无,东江是指从五台山开始流淌的五台川和旌善北部的朝阳江汇合流向宁越的大江。 蜿蜒流淌的水流和可以看到的悬崖地形更增添了河流的韵味。 众多的洞穴和鱼罗莲般的风光让人感觉神秘。 同时这里也成为人们享受各种休闲运动和庆典的场所。
823,丁登奥托营,江原道宁越郡武陵法兴路644-9,#江原道#春川#观光地#露营地,033-372-1388,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0085_I_01.JPG&w=454&h=242,免费,可停车免费停车,兼有民宿的帐篷的网站不采用预约制而是按照先到先得的原则运营。这里有70多个网站拥有6个阴凉棚4个喷水台和3个卫生间淋浴室设施。
824,康复营,江原道宁越郡武陵法兴路1208-7,#江原道#春川#观光地#露营地,010-3331-3254,http://cafe.naver.com/camphealing,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0097_I_08.JPG&w=454&h=242,免费,可停车免费停车,位于注水面武陵法兴路的自动露营场位于山与林相融的纯净地区。 露营地入口有宽阔的溪谷和露营地可以玩水还有松树林可以和家人和恋人朋友一起进行自然体验。
825,拜托休假的野营场,江原道宁越郡内里溪谷路1024,#江原道#春川#观光地#露营地,010-5410-8591,http://www.vacancebutak.com/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0096_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于金笠面下溪谷路的野营场野营场网站有18个。因为网站较少在幽静的空间里可以悠闲地享受野营的地方同时运营旅馆因此是享受招待野营的好地方。
826,黄土和原木营地,江原道宁越郡百年溪谷街66-16,#江原道#春川#观光地#露营地,070-8821-2615,http://cafe.naver.com/wangtowood,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0095_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于注水面百年溪谷路的露营场同时运营着黄土和原木的旅馆。该网站还配有两个家庭可以使用的网站共有6个网站。 还具备了双层旅馆可以同时享受野营和旅馆。
827,虎式野营场,江原道宁越郡酒泉面中仙路215,#江原道#春川#观光地#露营地,010-3181-6696,http://blog.naver.com/PostList.nhn?blogId=thsdhrhd9490,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0094_I_09.JPG&w=454&h=242,免费,可停车免费停车,位于酒泉面盘云里的自动露营场没有网站区划是自由娱乐的露营场所。露营地前面有一条河流可以钓鱼可以戏水是一家人可以一起露营的地方。
828,白滩野营场,江原道宁越郡水周面武陵法兴路932,#江原道#春川#观光地#露营地,033-374-9058,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0093_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于宁越郡水周面的野营场周围有法兴溪谷是流淌着清澈的溪水适合治愈旅行的野营场。 露营地共有23栋分为碎石网站和草坪网站。
829,风景,江原道宁越郡水周面法兴里704,#江原道#春川#观光地#露营地,033-372-9720,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0092_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于宁越郡水周面的auto野营场没有网站划分是可以设置塔夫的野营场。 卡拉班和露营车不能入场只能搭帐篷周围有很多松树因此这里不能搭吊床。
830,板云野营场,江原道宁越郡酒泉面美多里路58,#江原道#春川#观光地#露营地,033-375-0157,http://www.pcamp.kr,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0090_I_01.JPG&w=454&h=242,免费,可停车免费停车,这是位于酒泉面盘云里江边的野营场。这里有22个网站还设有家庭用网站野营车和卡拉班是不能使用的地方。
831,青松露营场,江原道宁越郡武陵法兴路1278-8,#江原道#春川#观光地#露营地,010-5560-4818,http://www.chungsongcamping.co.kr,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0088_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于秀洲面武陵法兴路法兴溪谷上游的露营地。这里是拥有秀丽的松树林和清澈的水相融合的溪谷地基条件的野营场是野营者们可以与家人一起舒适地休息的家庭单位野营场是具备舒适设施的地方。
832,青山营,江原道宁越郡武陵法兴路782-10,#江原道#春川#观光地#露营地,010-8878-9180,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0087_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于秀洲面武陵法兴路法兴溪谷上游的露营地。2013年开业是具备秀丽松树林和清澈溪谷选址条件的野营场所。这里采用背山临水的形态自然景观秀丽可以与家人一起舒适地休息。
833,地球营,江原道宁越郡武陵法兴路1104,#江原道#春川#观光地#露营地,033-374-5003,http://www.jigucamp.co.kr/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0086_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于秀洲面武陵法兴路法兴溪谷上游的露营地。这里是法兴溪谷清凉的水柱和展现美丽风景的地方。在1级水流动的溪谷可以玩水和捕鱼还可以进行露营游戏。
834,自然狼营,江原道宁越郡武陵法兴路1174,#江原道#春川#观光地#露营地,010-3450-3093,http://withnaturecamp.modoo.at/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0084_I_10.JPG&w=454&h=242,免费,可停车免费停车,位于注水面武兴法兴路的露营场同时经营着glaming是旅游事业注册的地方。运营着Deck网站野营场和江沙子网站野营场靠近法兴溪谷是夏天玩水的好去处。
835,云鹤营,江原道宁越郡鹤山街26-9,#江原道#春川#观光地#露营地,010-3756-5640,http://운학캠핑장.한국/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0082_I_02.JPG&w=454&h=242,免费,可停车免费停车,位于宁越郡水周面的野营场周围有法兴溪谷是流淌着清澈的溪水深谷和浅谷宽阔的治愈旅行场所。 因为是破碎的露营场所以很干爽下雨也能排水。
836,宁越天文台野营场,江原道宁越郡沙满街173,#江原道#春川#观光地#露营地,033-372-1577,http://www.영월천문대민박캠핑장.kr,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0080_I_07.JPG&w=454&h=242,免费,可停车免费停车,这里作为北面延德里的野营场还具备了民宿设施。设有台式方便野营照顾了野营爱好者。  露营地内以河为起点将烧烤场和烹饪室分开并设置莲花池和水车等设施是与周边秀丽的景观完美结合的露营地。
837,星马路奔腾露营,江原道宁越郡水周面武陵法兴路1078-22,#江原道#春川#观光地#露营地,010-4138-3919,http://www.영월펜션.net/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0078_I_04.JPG&w=454&h=242,免费,可停车免费停车,位于宁越郡水周面法兴里位于宁越一级水法兴溪谷的上端流淌着清澈的溪水是深谷和浅谷宽阔的治愈旅行场所。 在这里可以安静地享受卡拉班露营和独栋式集体露营奢华华丽迷人的普通露营。
838,交互式旅馆,江原道宁越郡韩半岛面後滩里329-2,#江原道#春川#观光地#露营地,010-2693-8456,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0077_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于韩半岛面后滩里的野营场是和民宿一起运营的地方。位于流经宁越西江的仙岩村韩半岛地形上这里有文屯川溪谷是众所周知的戏水的好去处。
839,爸爸做的野营场,江原道宁越郡德田街240,#江原道#春川#观光地#露营地,010-2766-9010,http://cafe.naver.com/daddycam,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0075_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于北面德田路的露营地是卡拉班可以进入的地方。这里是允许宠物出入的露营地周围有白桦林是便于休息的露营地。这里有被小山环绕的环境和供孩子们玩耍的草坪。
840,阿纳洛格武陵桃园店,江原道宁越郡水周面下골길十里,#江原道#春川#观光地#露营地,033-375-4752,http://www.analoger.co.kr,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0074_I_04.JPG&w=454&h=242,免费,可停车免费停车,这就是宁越郡水周面武陵里的露营场。 靠近酒泉江美景的法兴溪谷白天在河里悠闲地垂钓晚上在个别火炉台采薪享受露营乐趣。 该露营场拥有独特的双层式防滑帐篷每个客房都有卫生间和游泳池。
841,蟾芝谷野营场,江原道宁越郡蟾地골街19,#江原道#春川#观光地#露营地,070-8843-0045,http://cafe.naver.com/soemjigol,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0070_I_01.JPG&w=454&h=242,免费,40辆可停车免费停车,这里是位于上东邑蟾池谷路金笠溪谷的auto野营场。网站间距大可以安装塔夫也可以使用卡拉班或露营车。露营地正前方有一条溪谷是适合夏季玩水的露营地。
842,新莫尔村营地,江原道灵寿州面새幕골路72-115,#江原道#春川#观光地#露营地,010-2914-1621,http://cafe.naver.com/saemakgol,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0069_I_01.JPG&w=454&h=242,免费,可停车免费停车,这是位于宁越郡水周面斗山里新幕谷路的野营场。 该野营场是能够感受到美丽秀丽的山和溪谷及自然的天然自然环境的野营场。这里有小溪谷可以玩水拥有35个网站可以享受悠闲的野营而且还有浴室和卫生间。
843,上旬家的露营场,江原道宁越郡中东面古场골路76-6,#江原道#春川#观光地#露营地,010-8994-3167,http://cafe.naver.com/sangsunne,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0068_I_01.JPG&w=454&h=242,免费,可停车免费停车,这里是位于中东面古庄谷路的auto野营场。在宁越的54个露营场所中有8个具备旅游事业注册证的露营场所之一还有游泳池。这里位于山下是一处可以一起享受森林浴的地方。
844,山松露营场,江原道宁越郡中东面碌田里193,#江原道#春川#观光地#露营地,010-9775-7474,http://www.sansolauto.co.kr,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0067_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于中东面是可使用卡拉班的自动露营场按先后顺序预约。 同时具备民宿设施和小卖部游泳场还有可以让两家人一起露营的12个网站是适合集体露营的露营场所。
845,链治野营场,江原道宁越郡酒泉面龙石里339,#江原道#春川#观光地#露营地,010-4822-7852,http://사슬치오토캠핑장.kr/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0066_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于酒泉面是可进入卡拉班的自动露营场实行先到先得的预约制。 分别拥有利用地下岩水的成人用游泳场和儿童用游泳场是适合夏季使用的野营场所。
846,BOBOSCHOUT野营场,江原道宁越郡酒泉面美多里路50-24,#江原道#春川#观光地#露营地,033-375-1011,http://www.boboscot.com,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0064_I_01.JPG&w=454&h=242,免费,可停车免费停车,这里分为C和T两个区域有52个网站是能够悠闲地享受野营的野营场所。 附带设施有游乐场室外游泳池淋浴室会议室和讲堂篮球台足球场烧烤场。
847,麻大山庄野营场,江原道宁越郡大野里116-3,#江原道#春川#观光地#露营地,033-375-5114,http://cafe.daum.net/by2c,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0062_I_01.JPG&w=454&h=242,免费,可停车免费停车,金笠面大野里是野营场是一起经营民宿的地方。这里有小卖部和卫生间开水台阴凉处游泳场水池等露营场前面有对面的溪谷是适合玩水的露营场所。
848,阳台野营场,江原道宁越郡水周面法兴里625-1,#江原道#春川#观光地#露营地,033-374-7677,http://cafe.daum.net/hpsstory,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0060_I_01.JPG&w=454&h=242,免费,可停车免费停车,这是位于宁越郡水周面法兴里的野营场。 该野营场是拥有美丽秀丽的韩国名山和溪谷及自然的天然主题和最高设施的野营场。这里有法兴溪谷可以玩水还可以享受烧烤场及各种运动的场所。
849,东江汽车野营场,江原道宁越郡圆岩路33,#江原道#春川#观光地#露营地,070-4213-8188,http://www.ywcamping.com/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0057_I_07.JPG&w=454&h=242,免费,可停车免费停车,映月东江auto露营场可以看到美丽的自然和夜空中布满的星星总面积达9505平方米包括卡拉班网站四面共设有35个野营网站包括足球场等各种设施。 在东江美丽的大自然中四季都能够感受到清凉是值得驾乘者享受的地方。
850,月亮星星野营场,江原道宁越郡上东邑德邱里15,#江原道#春川#观光地#露营地,070-4254-5549,http://cafe.naver.com/moonstarcamping,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0055_I_01.JPG&w=454&h=242,免费,可停车免费停车,这里是位于江原道宁越郡上东邑德邱里的野营场。 野营场旁边流淌着宁越清澈的溪水。 而且这里有小瀑布景观更佳也更适合戏水。 这里是因干净的便利设施和亲切的服务而闻名的地方。
851,常青的野营场,江原道宁越郡金笠面内里溪谷路1116-4,#江原道#春川#观光地#露营地,070-4145-1008,http://www.egreenpension.com,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0054_I_01.JPG&w=454&h=242,免费,可停车免费停车,野营场坐落在宁越清澈的山沟里有旅游有人流。 清凉流淌的溪水茂密的森林天空笔直伸展的树木在人们赠送的浓密树荫下真正能和人们一起享受旅行。 露营场旁流淌的溪谷水从浅水到成人高挑的深水适合游泳。 在岩石的尽头我们看到了一群紧闭双眼跳下去的小男孩。 大人们也从害怕跳的高度跳下来。 也许是因为漂亮女孩们在岩石下看着。 露营场周边的旅游地有能够看到岁月痕迹的高氏洞窟还有可以仔细观察夜空的星马路天文台。 星马路天文台所在的蓬莱山山顶可以进行惊险的滑翔伞表演为旅行带来别样的体验。 另外这里也是红日升天蔚为壮观的地方。 推荐您和野营场一起游览。
852, 느树野营场,江原道宁越郡金笠面内里溪谷路1061,#江原道#春川#观光地#露营地,010-9963-0201,http://www.naeri.net,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0053_I_01.JPG&w=454&h=242,免费,可停车免费停车,这里是位于江原道宁越郡金笠面的野营场。 露营地沿着下溪谷分为第一露营地和第二露营地。 第1露营场位于下溪谷和公路对面第2露营场距离第1露营场300M位于下溪谷旁边。 为孩子们准备了书屋晚上还在这里进行电影放映。
853,金笠溪谷野营场,江原道宁越郡金笠面金笠路216-30,#江原道#春川#观光地#露营地,010-4567-5558,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0050_I_01.JPG&w=454&h=242,免费,可停车免费停车,位于江原道宁越的金笠故居所在的金笠溪谷野营场是可以在宁越好大自然中舒适的野营场所。 这里有可以休息的露台还可以租赁烧烤设备。 这里的最大优点是安静舒适的环境。
854,孝子烈女村,江原道宁越郡北面三芳山街476,#江原道#春川#观光地#体验村,033-375-1009,http://goodman.invil.org,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AR0071_I_01.JPG&w=454&h=242,免费,可停车免费停车,村子位于江原道宁越北面义山沟五指村空气二里。 这是一个讲究孝和礼的村庄上房山这座名山后面像屏风一样是一座幽静的清静村庄。村庄里弥漫着原汁原味的自然气息传统酱类和各种酱菜等传统食品非常有名。 这是一个典型的山沟清净村这里有腌白菜厂百年大餐酱缸台等村民共同设施和冰谷洞穴。
855,酒色高秋,江原道宁越郡酒泉路103号,#江原道#春川#观光地#体验村,033-370-1650,http://wine.invil.org/index.html,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AR0069_I_06.JPG&w=454&h=242,免费,可停车免费停车,酒泉的村庄就是酒泉。 据传两班走了药酒到了湘民浊酒就出来了是湘民的心术现在只有清澈的泉水。 村周围有百德山和松鹤山还有前河主川江和后河西江流淌的山水秀丽的乡村。 前往义湖总碑冰河路法兴寺休息处公园金马里独立万世界等地区名胜的游客人数正在增加。
856,三古村,江原道宁越郡中东面柳田里,#江原道#春川#观光地#体验村,033-378-3223,http://3good.invil.org,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AR0068_I_03.JPG&w=454&h=242,免费,可停车免费停车, 유전田里村是约350年前供奉的城隍庙和向父母尽孝的村庄。 每年春节所有出乡人和村民都要到敬老院进行联合洗碗这是一座保留着悠久传统的山村。为了给城市居民提供体验山村人生活的机会吸引游客每年9月末都会举行采摘松茸体验及三好庆典。 今后作为挖掘和保存传统文化的小镇城市民将体验与泥土相伴的农村生活和再现三好作为主要主题成为宁越的体验旅游目的地备受青睐。
857,别马路天文台,江原道宁越郡天文台路397,#江原道#春川#旅游地#天文台,033-372-8445,http://www.yao.or.kr,每周星期一 节假日 次日,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AQ0003_I_01.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元,可停车免费停车,星马路天文台建于江原道宁越邑永兴里蓬莱山山顶是韩国规模最大的天文台。 星魔路是星际(正常)洛(高耀洛)的合成词意思是看星星的平静的山顶。 星马路天文台每年观测天数为196天比我国平均116天多得多具有国内最佳观测条件于2001年10月13日开馆。
858,蓬莱山林浴场,江原道宁越郡天文台路397,#江原道#春川#旅游地#自然休养林,033-370-2426,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AO0018_I_01.JPG&w=454&h=242,免费,可停车免费停车,宁越辖区内自然休养林和森林浴场受到欢迎。 山林浴场不仅拥有15公里的循环散步路和停车场等基础设施还拥有可以一览山林浴椅宁越邑市区的展望台露天桌椅及平床等便利设施和体育设施。 此外通往天文台的林岛周围还种植了蜂窝迷醉等多种野花。
859,船石,江原道宁越郡宁越邑芳节里山122,#江源道#春川#旅游景点#自然生态,033-370-2544,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AN0024_I_04.JPG&w=454&h=242,免费,可停车免费停车,仙石位于宁越邑芳节里西江内形成悬崖的地方高70米左右。 仙石是像用大刀劈开悬崖后停止一样形成的立石。 矗立在这座立石正前方的奇岩神秘莫测。 另外从悬崖和立石之间俯瞰的江水就像金刚山的一部分一样形成了绝景因此很多游客前来观赏船石。
860,高氏窟,江原道宁越郡宁越东路1117,#江源道#春川#旅游景点#自然生态,033-370-2621,http://www.ywtour.com,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AN0022_I_05.JPG&w=454&h=242,成人1200~3000韩元/青少年儿童军人1100~2400韩元/未入学国家有功者및配偶残疾人65岁以上免费,110辆可停车免费停车,在宁越西部市场附近公交车站乘坐17路小客车需要20分钟左右。 高氏窟是韩国代表性的洞窟之一壬辰倭乱当时高氏家族曾避难于此因此得名高氏窟此外还被用作修道场等。 以前乘坐渡船越过宽130米的南汉江到达入口但现在桥一直延伸到洞口。
861,长陵,江原道宁越郡丹宗路190,#江源道#春川#观光地#遗址,033-374-4215,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AM0037_I_01.JPG&w=454&h=242,成人1200~1400韩元/青少年儿童800~1200韩元/满65岁以上免费,可停车免费停车,位于宁越市中心的长陵是朝鲜第6代国王端宗(在位1452~1455年)的熟睡之地父亲文宗在位2年后驾崩年仅12岁的他便登上了王位但肃。
862,蓬莱山,江原道宁越郡天文台路397,#江原道#春川#旅游地#山,033-370-2719,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AI0029_I_06.JPG&w=454&h=242,免费,可停车免费停车,位于江原道宁越郡宁越邑永兴里和三玉里的山耸立在宁越东北部。 自古以来被称为蓬莱彩云是宁越八景之一的蓬莱山高800米四面造诣极佳的宁越舟山。 在登山的同时还可以体验滑翔伞体验或观测夜空中星座的独特体验为全家登山提供了便利。
863,湖野地理博物馆,江原道宁越郡武陵法兴路303,#江原道#春川#旅游地#博物馆,033-372-8878,http://www.geomuseum.co.kr/,每周一,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0086_I_01.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元/儿童2000~3000韩元,可停车免费停车,湖野地理博物馆是将毕生精力投入到地理教育的湖野梁在龙老师自掏腰包设立的国内首个地理主题设施博物馆。这里既是我国矿产资源的天然标本室又位于喀斯特地形石灰岩洞穴等各种地理地形现象集中的宁越与地理这一主题相得益彰。
864,好安多古博物馆,江原道宁越郡金笠面内里溪谷路1088,#江原道#春川#旅游地#博物馆,033-378-5779,http://www.ywmuseum.com/section/hoan/html/main.jsp,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0085_I_01.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元/儿童2000~3000韩元,可停车免费停车,3000年茶香飘逸的地方是了解各种茶文化潮流的博物馆。 位于自然景观秀丽地区特别是清澈流淌的内河表明茶的根本是水。 从儿童到成年人在这里可以与大自然共同体验与茶有关的作品的欣赏茶道及茶艺实习作为文化艺术传统礼仪等教学场所具有最佳条件。
865,初等教育博物馆,江原道宁越郡北面栗才路七里,#江原道#春川#旅游地#博物馆,033-375-1223,http://www.ywmuseum.com/section/elementary/page/index.jsp,每周一1月1日节日,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0083_I_10.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元/儿童2000~3000韩元,可停车免费停车,小学教育博物馆是宁越朝鲜时代的开化期日本帝国主义强占时期教育课程教学大纲的(1至第7次)飞机机在历史的潮流教育可以掌握到的地方。 不仅是各时代的教科书还挖掘各种教育相关资料并有系统地展示。 通过这些活动不仅教育文化的昌达还为正在成长的孩子们和青少年提供了人性教育和体验学习的机会。 大人们回忆起过去的回忆的机会。 通过小学教育的历史可以一起了解未来教育。
866,朝鲜民画博物馆,江原道宁越郡金笠路431-10,#江原道#春川#旅游地#博物馆,033-375-6100,http://www.minhwa.co.kr/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0082_I_01.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元/儿童2000~3000韩元,可停车免费停车,位于江原道宁越郡河东面瓦石里金笠墓地旁的民和博物馆。 似乎被抱在山脚下的朝鲜民画博物馆收藏了3000多件珍贵的民画。 此外这里还备有供来这里的人暂时停留的住所给人以自然山庄般的亲切感。 收集保存展示以朝鲜时代为中心的美元为唤醒众人的民画价值和珍贵于2000年建成是韩国最早的民画专门博物馆。
867,印度美术博物馆,江原道宁越郡松鹤酒泉路899-6,#江原道#春川#旅游地#博物馆,033-375-2883,http://www.ywmuseum.com/,每周一,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0081_I_01.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元/儿童2000~3000韩元,可停车免费停车,印度美术博物馆从1981年开始迷上了印度美术在印度生活和旅行并多次举办以印度社会和印度人的生活为主题的个人展美术家朴汝松馆长和印度地区研究的丈夫白佐钦教授一直收集。 此外还将举办印度文化体验节目包括对印度美术奇帆的体验对印度服装文化的体验对印度红茶的体验等。 另外还为地区居民准备了印度电影放映瑜伽及冥想教室成为与地区居民沟通及社会教育的场所。
868,宁越化石博物馆,江原道宁越郡平昌江路一三九,#江原道#春川#旅游地#博物馆,033-375-0088,http://ywmuseum.com/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0080_I_09.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元/儿童2000~3000韩元,可停车免费停车,宁越化石博物馆完整地展示着46亿年地球的神秘。 从圣卡姆布里亚努大学到今生努大学从原生代到古生代中生代新玺代的昆虫化石每期都有不同种类的展示。 特别是宁越地区是5亿年前的大海。 像这样来到宁越化石博物馆可以向学生学习的距离给大人提供趣味性的同时还成为可以一目了然地观察46亿年地球生物变化的教育场所。
869,宁越宗教美术博物馆,江原道宁越郡北面矢楼山街122-2,#江原道#春川#旅游地#博物馆,033-378-0153,http://www.ywmuseum.com/section/jongkyo/page/index.j是,每周二,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0079_I_01.JPG&w=454&h=242,成人4000~5000韩元/青少年3000~4000韩元/儿童2000~3000韩元,可停车免费停车,宗教美术博物馆是在法国德国罗马的木工房中可以欣赏到从徒弟时期开始一生的崔宝罗作家的站长——圣火和圣像雕刻作品的地方。 展览馆2栋展示着以圣经为基础制作的100多件主要展示作品收藏库中约有600多件作品被换代。
