指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
264,蓝色帆船,济州特别自治道西归浦市大浦洞2367-1,#ACTIVITY#情侣#夏日#优秀旅游公司,064-739-7776,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/d6244883-94c2-405e-b944-2441dcca846b.jpg,,,游艇旅游公司grand blue位于西归浦大浦港游艇公司承担着世界闻名的游艇bilder的制作责任在韩国国内制造游艇以高级游艇展现高级的姿态。游艇旅游grand blue从大浦港出发经过观赏柱状节理钓鱼体验及海豚寻找促销体验及船上达宁大浦港进港路线。船上提供葡萄酒饮料茶点等钓到的鱼可以当场生鱼片食用海女们捕获的鱼类也可以当场食用还可以享受生日求婚婚纱摄影等活动还可以在船上上练歌厅。​​​
265,金岳岳(王梅),济州济州市翰林邑金岳里山1-1,#日落##徒步#登山#情侣#hereme#秋天,,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/f83d20a1-a288-4bcb-8e4e-2f62824cb47e.jpg,,,Enjoy paragliding and spectacular scenery from the summit of Geumak (Geom) Oreum.Also known as Wangmae this vocanic coones height shape and crat lake makes or an unuse surrounding are is clear of obstacles and perfect for paragliding.From the top and certainly fromOund
266,观音寺寺庙住宿,济州市山麓北路660,#templestay#休食#治愈#情侣#heim#四季,064-724-6830,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/59f7169a-ff77-4897-b161-cc36715a0244.jpg,,,大韩佛教曹溪宗第23教区本山掌管济州岛内30多个马事。 据史料记载创建者及创建年代为未详有高丽文宗皇帝时期创建的说法也有朝鲜时代存在的寺庙。朝鲜肃宗时期 济州牧寺的异形上牧寺和祭祀酒中有很多杂神 1702 年随着济州市域寺庙全部被废寺观音寺也随之消失。观音寺是1908年由安奉吕冠大师创建的规模和现在一样。僧侣在遇到地区居民反对的困难中仍停留在海月窟内并进行了3年的观音祈祷法堂和窑舍竣工。之后从统营龙华寺等地请来佛像和探花形成了如法如法的寺庙面貌。另外还将在济州中心地带中央路建立市内的传教堂大觉寺与济州道民一起进行积极传教活动。但是1939年发生火灾大雄殿和僧房等全部被烧毁观音寺也陷入了泥潭。1948年济州4·3事件末期游击队与军队围剿队的激战地全部被军队围剿队烧毁1968年复原。在观音寺可以享受的寺庙住宿项目。 可以坐在安静的法堂里冥想。寺庙周围有汉拿山登山路观音寺路线入口停车场及露营地常年吸引游客。
267,三圣穴,济州特别自治道济州市三成路22,#文化遗址#父母#晴#优秀旅游公司,064-722-3315,,10月 ~ 03月 (8:30~17:30)/ 4月 ~ 9月 (8:30~18:30) / 全年无休(1/1春节中秋10点开放),https://api.visitjeju.net/photomng/imgpath/201804/30/4819a534-c457-4f5b-b5b9-93842d434b7a.jpg,成人 2.500 韩元/青少年 1.700 韩元/儿童路径残疾人 1.0000 韩元,,被指定为国家指定文化遗产史迹134号的三星穴是流传高乙罗阳乙罗富乙罗三星氏的诞生传说的地方至今仍保留着品字形态的3个穴。 在面积达万余坪的茂密丛林中以血团为中心有供奉三星殿和三星门(焚香所)祭香的战史厅书院崇宝堂等。每年4月10日和10月10日子孙们奉养春秋大帝12月10日在血团中度过建国大帝济州特别自治制度奉养建国大帝的超宪观济州特别自治道。三神人出世的穴位呈品字形这种穴位不会渗入雨水或积雪周围树木朝穴看起来就像在向三神人行礼。展示馆展示着相关文物影像室用四国语言免费放映三星血的神话动画片。关于三星血流传着如下传说。三星穴在品形的世界洞口出现了高氏杨氏傅氏三人的新人。因而被称为三圣穴。他们为了决定哥哥和弟弟决定射箭。 射箭的结果是高某射得最远成为大哥哥然后被定性为杨某付某顺。 高阳府三位新人射箭的痕迹至今仍在济州市华北洞留下三沙石。三个新人就这样定了哥哥和弟弟没有粮食靠打猎度日。一天在海边散步时我看见海浪冲来了三个箱子。 觉得很奇怪一个人一个一个地把箱子从海里拿出来打开一看原来是一个女人和一个五谷。 互相定好贝笔后结婚结婚的地方就是位于西归浦市城山邑温坪里的婚姻地。
268,中文迷宫公园,济州特别自治道西归浦市上예洞3600,#主题公园#I#秋天,064-738-0667,,,https://api.visitjeju.net/photomng/imgpath/201804/30/c27de60f-1789-461b-9068-be1244bc74aa.png,,,中文迷宫是四季在绿油油的兰花树的迷宫中体验寻路乐趣的空间是柑橘体验动物朋友们油菜花田和济州神话和历史黄金狮子故事的所在地。&lt济州柑橘体验&gt10月至1月游客可在中文迷宫公园享受愉快的柑橘摘蜜体验。在这里可以亲身体验&lt动物朋友们&gt济州岛的马兔子鸡等动物家族。&lt油菜花地&gt3月至4月可在油菜花地拍照。狮子来了的艺来洞流传着村庄名称的由来。虎岛李艺来洞酷似西归浦前海的老虎。自古以来叶来东就受到虎岛虎的诅咒坏事不断。偶然间高僧开过时的海面上高耸的东方小岛村子里虎形象所以灾难对该村后的西北人们对群山的老虎和狮子型对抗的狮子来吧建造了예래之后重新平稳。构成中门迷宫迷宫的树是拉兰迪•赛普勒斯(X cupressocyparis leylandii)通常被称为拉兰迪。绿油油的拉兰花树的清新香气具有安定身心的效果。
269,道头洞彩虹海岸公路,济州特别自治道济州市道头一洞,#朋友#景观#photo#吹风#雨亭按压,,,都头洞东侧公交车站下车时就在前面位置,https://api.visitjeju.net/photomng/imgpath/201810/18/7cf0423f-14c9-4fe3-b525-d5553969cacb.jpg,,,
270,跟雨,济州西归浦市表善面加时里山62,#日出##徒步#登山#朋友#秋天,064-710-6043,,,https://api.visitjeju.net/photomng/imgpath/201804/30/ab3bcb84-3a24-4a50-92b2-c55aa38341a5.jpg,,,
271,牛刀灯塔,济州特别自治道济州市牛岛面莲坪里337,#灯塔#景观#土#朋友#晴#春天,064-783-0180,,,https://api.visitjeju.net/photomng/imgpath/201804/30/14cee300-80d6-4a7c-814e-efd942a0b728.gif,,,牛岛灯塔是位于济州岛最东侧的灯塔于1906年3月首次亮灯。2003年12月新建了高16米的圆形混凝土灯塔并安装了用国内技术开发的大型旋转式灯明器照射着50公里以外也能确认的灯光。周边还建成了我国第一个以灯塔为主题的灯塔公园为区域经济发展作出了贡献。在灯塔公园宣传展览室及航标3D体验馆和世界七大奇迹之一的帕罗斯灯塔共展出14件国内外著名的灯塔模型为登上牛岛峰的人们带来欢乐。​​​
272,金万德客主,济州特别自治道济州市乾入洞 1299-2,#文化遗址##,064-710-4091,,电话号码-金万德 客主:064-710-4091-客主内主幕:064-727-8800-其他咨询:064-710-3323 使用时间/休息日-主幕运营,https://api.visitjeju.net/photomng/imgpath/201804/30/0f2e4339-e864-431e-a55a-0899ff35678b.png,,,位于济州市旧城区的迷你民俗村有8栋草街分为观览洞和体验洞体验洞经营金万德酒馆菜单有海鲜葱饼和汤饭汤等。通过再现客栈这一历史实体通过继承发展和文化观光资源化促进地区经济活性化通过朝鲜后期巨商金万德的分享和奉献的实践精神为游客和后代提供社会经济责任和伦理意义。
273,塞岛,济州特别自治道西归浦市西烘洞 707-5,#景观#土#明亮,064-760-2761,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/f252f531-050a-405a-93c4-d767c9f31231.jpg,,,
274,鼓掌,济州特别自治道西归浦市安德面甘山里 1010,#悬崖#景观#土#海边,,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/1e3427ab-6ab7-41c3-963d-f9e7100fb6b8.jpg,,,位于大坪里的朴寿基亭具有中文的柱状节或涯月海岸公路的海岸悬崖等美丽的风景。意为泉水的鼓掌和意为悬崖的机井结合在一起具有喷涌出可饮用的纯净泉水的悬崖之意。作为济州偶来9路线的起点偶来路也登上了鼓掌的顶峰。登上松树茂盛的山路可以一眼看到少女灯塔所在的幽静的大平浦区。在朴寿基亭上方的平原地带还可以看到种植旱田的现象。如果想一目了然地看到朴寿基艇的悬崖绝壁最好在大坪浦口附近观看在浦口下面的鹅卵石海岸可以看到像屏风一样伸展的朴寿基艇的美景。垂直弯曲的悬崖高度约达100米。因为附近有可以同时看到掌声和大海的咖啡厅所以可以悠闲地坐着观看傍晚时分的掌声。​​​​​​​​​​​​​​​​​​​​​​​​
275,文岛(西归浦海洋道立公园),济州特别自治道西归浦市七十里路,#女#男# 晴#,064-710-6656,,,https://api.visitjeju.net/photomng/imgpath/201804/30/7fb1694f-d3f8-4bba-8076-366f303dc483.gif,,,位于西归浦港南侧1.3公里是西归浦港的关门设有灯塔作为都知亭文化遗产纪念物加以保护。 在西归浦三梅峰公园下面的石개上可以看到前海左侧漂浮的岛屿就是文岛。 被称为文岛的故事也不亚于任何一个岛屿。 有说法称从很久以前开始蚊子就很多所以用蚊子的文字叫做文岛。据另一个传说过去某位猎人到汉拿山打猎因失误触碰到玉皇大帝的船大怒的玉皇大帝拔出汉拿山山峰扔了出去。​
276,楸子岛灯塔,济州特别自治道济州市楸子面永兴里山26-4,#灯塔#景观#土#明亮,064-742-3780,,,https://api.visitjeju.net/photomng/imgpath/201804/30/cb883a8c-787c-4c6b-a3f5-67cd47d638cb.jpg,,,灯塔在济州海峡、楸子岛、釜山、木浦等内陆客船和货船航行及东海的船只的安全的路指引的作用。​​
277,猎鹰公园,济州特别自治道西归浦市大静邑九亿里654-1,#景观#土#主题公园#情侣#晴#春天,064-792-8211,,,https://api.visitjeju.net/photomng/imgpath/201804/30/d8f86966-6360-4aec-8272-f312623dd0d9.jpg,普通9.000元/残疾人 6.000元 (同折扣一级1人),,猎鹰是纯韩语游戏之外的梅花的鹰组合而成的名字是可以在自然中享受现代感性的自然公园。 水仙花梅花木莲芍药山茶花白枣树等多种花果树一年四季都能尽情享受华丽的大自然而粗糙的济州石头和人工瀑布人工湖等自然和人工美则。人工莲池中间矗立着由海潭洪完杓大木匠建造的亭子特别是傍晚时分与夕阳相映营造出神秘的气氛。 除此之外还有以现代风格诠释自然形象的360度Sircle Vision和3D影像展示场让玩家享受到自然与现代共存的独特感受。 散步路上到处是生机勃勃的拍照区喜欢拍照的年轻人和以家庭为单位的游客经常光顾。​​​​​​​​​​
278,健康性博物馆,济州特别自治道西归浦市安德面日周西路1611,#室内#美术#博物馆#情侣#b#雪#四季#优秀旅游公司,064-792-5700,,全年无休/夏季旺季夜间开盘(7月) 09:00~22:00,https://api.visitjeju.net/photomng/imgpath/201804/30/3a2b03c3-8534-4f91-81c1-d7bc62a0b0d9.jpg,普通门票:12.00元/残疾人优惠入场费10000元,,位于西归浦山房山与中文旅游区之间的健康与性博物馆是一座面积7000平方米集室内展示空间与户外雕塑公园于一体的以城堡为主题的空间是名副其实的世界最大的性博物馆。 其特点是为使习惯于隐藏阴暗的城堡明亮健康地观看和感受进行了多样的展示构成。 到去年为止以野外雕刻公园内部的性教育展览馆性文化展览馆为两部分的空间随着2层展示空间的扩张现在S-Education S-Culture S-Fantasy S​​ ​
279,道顺茶园,济州特别自治道西归浦市道顺洞1-1,#景观#土#晴#春,064-739-0419,,,https://api.visitjeju.net/photomng/imgpath/201804/30/bc048d6a-0049-462b-b66c-a97e6b2e1faa.jpg,,,这是以化妆品闻名的爱茉莉太平洋集团开垦不毛之地建成我国第一家茶园和现代捷达工厂。 道顺茶园是一座生态旅游区通过绿茶的生产不仅可以促进地区经济发展还可以减少二氧化碳。 以后可以看到与汉拿山相对的绿茶田相融合的汉拿山后面是以济州的大海为背景。​​
280,海盗潜艇,济州市翰京面高山里 3615-6,#ACTIVITY#父母# 晴好,064-772-2808,,1 航次 07:20 2 航次 08:00 3 航次 08:40 4 航次 09:20 5:00 6航次10:40 7航次11:20 8航次12:00 12:40 10航次,https://api.visitjeju.net/photomng/imgpath/201804/30/14eb32c7-2553-4554-b8d1-a9504472bb03.jpg,,,虎宗团在车贵岛潜艇的新名称海盗潜艇车贵岛前海寻找沉没的宝物神秘的海底探险&lt海盗海上停机坪&gt海上停机坪。 这里以海盗巢穴为主题设有各种宝物和海盗模型等拍照区。 停机坪上的乘务员也身着多种海盗服装为游客提供更多的看点。在《海盗潜艇》和《车贵岛前海寻找沉没的湖种团的宝物》中车贵岛被指定为海盗潜艇天然保护区第422号拥有众多种类的鱼类和美丽的珊瑚礁。 国内唯一的海底洞穴和华丽的潜水秀都是不容错过的看点。 海盗潜水舰的内部可以尝试特殊效果给人以冲洗水族馆的感觉潜艇外部也以海盗为主题进行装饰。寻找沉没的胡宗团的宝物与海盗们离开的海盗潜水员现在开始寻找沉没的胡宗团的宝物开始水下40M海底勘探吧!&lt预约/乘船指南&gt1.网上预约申请者基本信息及预约信息按需要日期和时间段输入预约折扣时国家有功者及福利不可重复折扣2。预约确定后转账与总公司职员通话后在乘船2天前14:00前无法确认汇款时自动取消4.潜艇使用
281,白鹿潭,济州特别自治道西归浦市吐坪洞山15-1号,#山#步行#登山#景观#土#朋友#晴,064-756-9950,,,https://api.visitjeju.net/photomng/imgpath/201804/30/75019f6a-4cb0-4c34-8263-7131e34edb13.jpg,,,位于汉拿山山顶的南北长约400米东西长约600米周长1720米标高1841.7米深108米呈椭圆形喷发口。位于汉拿山山顶是南韩最高的山亭火山口湖几乎不受侵蚀纯桑火山的原地型保存完好是一座学术价值巨大景观优美的火山地形。另外由于冬季积雪还持续到夏季作为鹿潭漫雪的荣州十二景之一其自然景观价值十分突出。根据季节限制进山在日落之前完成下山访问时最好事先确认。关于白鹿潭流传着以下传说: 从前汉拿山脚下住着一位年轻的猎人。 孝顺至极的他希望母亲能治病。 有一天他听到游子说母亲病了鹿皮是特效。 第二天他早早起床开始猎鹿。汉拿山山顶被浓雾笼罩难以辨认。 被雾笼罩得难以辨认。 在雾中徘徊的他终于发现了一只鹿。 那就是白鹿。 老人在白鹿消失的地方只有一个大池塘。放弃猎鹿他替他舀起池水回来给母亲浇那水。 怪事就发生了让母亲痛苦了许久的病不是一朝一夕就能痊愈了吗? 闻听此言的人后来称此池塘为白鹿潭。​​
282,群山,济州特别自治道西归浦市安德面仓川里564,#日落#日出#岳#步行#登山#朋友#晴#秋天,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/aa90783c-824a-4007-affc-7de71d49a8b1.jpg,,,群山像屏风一样包围着大亭的南德勒(大坪里的广阔田野)。 由火山碎雪性堆积层组成的寄生花山菜在济州岛是最大规模的。山顶有像龙头双峰一样耸立的两个角岩东南四面由爱企业巨石等堆积层差别侵蚀形成的奇岩怪石非常发达。道路被包装很容易上路走上来需要30分钟左右。 从汉拿山到马罗岛山房山山顶可以眺望西归浦一带。 特别是东海岸的风景壮观的日出。 随着访客和小区居民的访客逐渐增多探访路附近设置了运动器械等设施。另外群山升腾中流传着以下传说。安德面仓川里地境过去只有10多户人家。 其中有个叫康先生的人他学识渊博人品超群很多人都赶来学习。一天他让弟子们围坐在一起看书门外也传来了读书的声音他觉得奇怪于是打开门却没人。 就这样过了3年左右的某一天老师睡着了。 先生隐约听到叫他说自己是龙王的儿子3年没得到老师的允许就在门外学了笔现在快到下课时间了来辞别。 其间所受的恩惠哪怕是一点也想报有什么难处也请告。 我教年轻人写作是唯一的乐趣没有特别不方便或需要的东西。 但是那条溪水很嘈杂所以读着文章除了有点嘈杂之外......喃喃自语。 龙王的儿子想把它放在心上解决叮嘱自己回去后这几天下大雨刮风一定要锁上门过两天开门。
283,高根山(高公山),济州特别自治道西归浦市西湖洞 1302-1,#日出#升#走#登山#晴,064-760-3031,,,https://api.visitjeju.net/photomng/imgpath/201804/30/4f77f379-2304-44d1-b319-8cd86241cd93.jpg,,,
284,SHINee숲街,济州市朝天邑校来里719-10,#步行#登山#景观#坡土#休息#康复,,,,https://api.visitjeju.net/photomng/imgpath/201812/19/6118531c-d87b-40a9-8b1b-3d0dd482043e.jpg,,,
285,高山日果海岸道路,济州特别自治道西归浦市大静邑永乐里2169,# 日落#海边#Drive#情侣#明亮,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/f2e83d7d-c038-4864-9ec3-32076642ea29.jpg,,,沿着朴素的济州渔村风景和车贵岛的落日奔跑吧!漫步沿着海岸公路可以欣赏到朴素的渔村风景和茶鬼岛的落日。从高山里到新道里会遇到秀月峰和鹅卵海岸。水月峰又称老꼬水岳是77米的小 오오向海边方向突出具有卓越的前景。蓟海岸被选为济州岛31处隐藏的秘境之一是美丽的济州代表性自然景观。海岸峭壁呈独特的堆积层状属于联合国教科文组织指定的世界地质公园。因为属于偶来12路线即使不是兜风也可以享受徒步旅行。​​​​​​​​​
286,新华水上乐园,济州特别自治道西归浦市安德面西广里山24,#I#四季#ACTIVITY,1670-8800,,,https://api.visitjeju.net/photomng/imgpath/201903/15/8ba1cafa-32ec-4d61-b76d-85cc75b42f7f.jpg,,,
287,金陵石物院,济州特别自治道济州市翰林邑翰林路176,#主题公园,064-796-3360,,,https://api.visitjeju.net/photomng/imgpath/201804/30/3aecbeec-9944-4556-be69-f4755adcb935.jpg,,,金陵石物院是制作了约40年石哈尔邦的张公益名匠用石头建造的公园。 走进公园右侧有莲花池石哈尔邦以及海女像童子像背着水马照顾孩子的母亲像等用石头表现济州地区传说的作品象征着济州生活文化。 让只看到一模一样的哈尔邦的游客欣赏济州石雕的精髓。同时还展出了世界各国总统和总理领导人访问济州岛时赠送的石头哈邦模型。 具有主导整体氛围的佛教色彩的石佛是数十年来一直守护这里的藏公祭作品。 金陵石物院内有贞女窟和 조롱子窟两个洞窟洞窟内有供佛孔供奉的庵子。​​​​​​​
288,药泉寺寺庙住宿,济州特别自治道西归浦市大浦洞1165,#templestay#休食#治愈#情侣#heim#四季,064-738-5000,,各项目使用时间不同请咨询网站及电话。,https://api.visitjeju.net/photomng/imgpath/201804/30/278213f2-ab7b-46f1-8197-cc499f748311.png,,,在既是韩国传统文化宝库又是佛教文化原型保存完好的传统寺庙中体验寺庙的日常生活和修行者生活的寺庙文化体验项目在美丽的大自然中休息的同时回顾自己的生活并了解韩国文化的优秀性。另外药泉寺是一座以东方最大法堂著称的寺庙登上庭院俯瞰济州海岸的风景非常优美的地方而法堂的雄伟抬头仰望天花板内部高25米由3层构成。 供奉着毗卢贾那佛的大寂光殿左右有药师如来佛和阿弥陀如来佛后面有厚佛木帧画制作起来非常繁琐像常见的佛堂(大殿)日程是下午3点入节后6点晚上7点开始晚上礼拜和西角体验后10点就寝第二天凌晨4点起床进行凌晨礼拜和参禅茶道体验活动。特别是钵盂供养是连少许食物残渣也不会留下清洁的心和所有人分享的平等的心餐中可以体验到一丝不响的修行心的节目和山寺法师们一样。可以看到大海的庭院。陪同儿童的寺庙寄宿项目照片。药泉寺寺庙住宿个人咨询
289,九祭村洛川里农渔村体验村,汉景面洛川里1916,#体验观光#I#四季,064-773-1964,,,https://api.visitjeju.net/photomng/imgpath/201804/30/6a3afba3-1139-4258-a344-0b34ab44d1e4.png,,,中山干村汉景面洛川里有村民亲手钉制的1000把椅子这里曾经是除村民外人迹罕至的地方。村民们齐心协力营造和公园占地一千个座椅并被宣布为‘椅子村’济州路线也来不到13时看到了。在公园入口设置的对话合文椅子曾在高中美术教科书中介绍过。 济州市翰京面乐川里9good村体验休养村农村振兴厅将被指定为农村传统主题村的9good村与城市和农渔村之间的交流促进相关的法律相联系进行农渔村体验迷你椅子制作大麦比萨体验西角体验陶艺体验消防体验等各种体验项目中大麦可以补身坚固五脏尤其是与其他种类相比纤维多有助于排便。在以大麦闻名的九大祭村将体验制作大麦葱子的过程加入满满的麦子粉和亲自栽培的材料制作充满健康感的披萨为期1个小时。
290,,济州特别自治道济州市凤开洞山78-1,#San#Drive#Hreme,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/db786ce9-8467-4db0-a617-00c099cdf65a.gif,,,作为大韩民国最美丽的道路之一路两旁直插云霄的杉树像屏风一样展开。从汉拿山国立公园东北部的尽头开始沿着东北方向横穿济州市东部地区 一条名为杉树路的长长公路两旁参天大树横树无边无际以异国风情著称。这条公路不是开发现有道路而是砍伐原始森林开辟新道路所以在道路两旁杉树像屏风一样展开。正因为如此2002年大韩民国建设交通部(现在的国土海洋部)在第一届美丽道路大会上向该道路颁发了大奖。​​​​​​​
291,日出乐园,济州特别自治道西归浦市城山邑三达里1010,#主题公园#孩子#明亮#优秀旅游公司,064-784-2080,,全年无休/日落前1小时可入场,https://api.visitjeju.net/photomng/imgpath/201804/30/982d17ac-791d-443d-b9a4-12d4cf81f7c9.jpg,残疾人入场费:7.00元(1-3级陪同折扣1人),,日出乐园占地7万多坪以美川窟为中心有水边公园民俗村(济州宗家集草再现)仙人掌温室亚热带散步路济州玄武岩/野生花盆。 公园内部的东线从海拔70多米到海拔90多米都做了适当的变化不会显得枯燥乏味所以根据所见位置的不同周围环境的感觉和美感都不一样。从2017年开始美川窟媒体艺术展正在企划进行。 洞窟内部设置了多种照明和媒体艺术形成了色彩缤纷的氛围。美川窟媒体艺术在未来10年内将逐渐升级。&lt冬季柑橘体验实行指南&gt期间:17.10.30(周一)~ 18.01.07(周五)对象:个人及团体(团体需提前预约)*提前耗尽时截止。​​​​​​​​
292,城邑绿茶村,济州特别自治道西归浦市表善面中山间东路4778,#景观#土#休食#治愈#父母#朋友#情侣#独自#赫林,064-787-2254,,,https://api.visitjeju.net/photomng/imgpath/201804/30/03f65b94-9f97-42c2-b094-60e733e67e84.jpg,,,还可以一边欣赏到有机物含量高易掉色的火山灰土和干净的火山岩浆一边利用天然的自然条件济州栽培的绿茶制作的糕点冰淇淋等一边悠闲地喝着茶。
293,水月峰电动自行车,济州市翰京面高山里 3674-9,#情侣#朋友##晴#体验观光#电动自行车#水月峰#车归岛炮口#电动滑板,010-7591-7388,,A路线:水月峰顶上-自救内炮口 - 蓟海岸(往返5公里)/ B路线:水月峰-黑沙海边(往返12公里)/C路线:风车海岸(往返12公里),https://api.visitjeju.net/photomng/imgpath/201809/03/912b4dba-995b-400f-9014-41de08422851.jpg,1 person 10000 won / 2 people 15000 won,,
294,洞中茶园茶喜宴,济州特别自治道济州市朝天邑仙桥路115-1,#洞窟#主题公园#情侣#heim#冬季,064-782-0005,,全年无休 (参观时间:开盘时间 09:00时 截止时间:11月~1月 17:30 2月~4月 18:00 5月 18:30 6月~10月19:00),https://api.visitjeju.net/photomng/imgpath/201804/30/00ab1f80-82de-4445-af67-a77beeb44103.jpg,,,茶喜宴是以绿茶为主题的综合主题公园位于世界自然遗产巨文岳熔岩洞窟系的山脚下。 进入茶喜宴后可以欣赏到像咖啡屋一样宽广的绿茶田。 在最先通过的茶文化馆里陈列着绿茶等茶具套装等茶文化内涵可以学习茶的知识。 除此之外乘坐汽车穿梭于绿茶田的卡体验和草线洞咖啡屋等也非常有名。草本线尽收眼底将绿茶田尽收眼底给人以划破虚空的刺激是许多游客来茶喜宴的原因之一。 如果身高超过130厘米就可以进行体验而且必须事先预约。 在洞穴咖啡馆人们可以在熔岩喷发后形成的洞穴中拍照享受饮料的悠闲时光。 销售绿茶拿铁绿茶冰淇淋等绿茶饮料和甜点茶喜宴生产的绿茶产品。 除此之外还可以缓解旅行的疲劳补充体力成为男女老少都喜爱的旅游胜地。​
295,希林卡约帕克比切奥林,济州市翰京面板浦里725号,#野营场#野营场#ACTIVITY#I#明亮,064-773-0000,,全年无休(闭市前可购票及入场/改变河东节气时间),https://api.visitjeju.net/photomng/imgpath/201804/30/008bce55-a224-484c-8c37-84010ee73f14.jpg,,,沿着树林人工建造的水路是可以享受皮艇的地方。内部有野营场可以一起享受。​​​
296,大坪浦区,济州西归浦市安德面甘山里 982-2,#浦口#海边#文化遗址#秋季,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/bdd34d24-faae-488e-b830-4fee0898071a.jpg,,,
297,尚孝元,济州特别自治道西归浦市上孝洞山25,#树木园# 晴# 春天# 优秀旅游公司,064-733-2200,,全年无休春秋季09:00-19:00 夏季09:00-20:00 冬季别09:00-18:00截止 1小时前售票截止,https://api.visitjeju.net/photomng/imgpath/201804/30/4a042a35-a536-4910-b898-8ce73eb4fb1e.jpg,残疾人优惠门票7.00元,,尚孝园是占地约8万坪的西归浦市树木园。 KC Cortrell总裁李达雨为了与其他人共享美丽的自然景观而设立。 可以看到汉拿山和西归浦大海的此地位于海拔400米的地方拥有济州特有的自生植物。 济州土种的汉兰虾卵等植物的原生地集中了100年以上的老渠水和常绿渠木从树种多样性的稀有性方面来看具有很高的保存价值。上孝园内有妈妈的庭院药用植物园秘密庭院곶嘉华世米克庭院等16个主题庭院可以细心观察不同空间的多彩植物。 参观时间约需2小时每年举办各种主题的庆典。此外这里还设有植物资源研究所是保存和展示濒危植物的空间。 上孝树木园内设有露营场可以眺望济州的绿色景色和充满绿色的树木园。 附近的旅游胜地是顿内古游乐园东侧是萨里尼林路南侧是西归浦市厅。​
298,济州阿古奈特温泉,济州特别自治道西归浦市安德面上川里380-7,#温泉#室内#休息#康复#父母#B#雪#冬季,064-793-6005,,每月第三个星期三定期休市(根据酒店情况休市日可能会有所不同),https://api.visitjeju.net/photomng/imgpath/201804/30/c2445239-19e3-4f53-89de-19284b3ffa4a.jpg,温泉游客可免费使用游泳池,,温泉水成分是钠(钙镁)碳酸泉透明清澈的水变化后形成的独特牛奶色的阿古奈特高温天是药碱性成分无妨而且触感干净。​​
299,橘园76号,济州特别自治道西归浦市安德面上仓里906,#体验观光#孩子#明亮#冬季,070-4001-5303,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/9bdcaa3b-0c6a-4129-8323-0adc8f4ed74c.jpeg,,,去济州岛的冬天才能体验柑橘的橘子地76的话不仅可以体验广阔的橘子果园还有通气的黄色柑橘还可以亲自体验柑橘。在职员的指引下进入柑橘园就能听到关于橘子园的全部过程。并不是单纯地跟随柑橘的过程而是能够听到橘子到我们的手来的过程所以和孩子们一起访问的话在教育上也会很好。在正式的摘桔体验展上和主思航空纸一起分享剪子和手套。此时的桔子不要用手比划要小心切碎才对树好所以要注意。一边体验一边收获的橘子可以煮熟随着橘子的香气还有一起收获的收获体验济州岛的特色。
300,爱丽丝梦游仙境,济州特别自治道西归浦市安德面中山间西路1881,#室内#主题公园#情侣#I#B#雪#四季,064-794-4700,,09:00 至18:00下期至19:00。 全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/65dda531-c672-4d5c-a241-92453d2d682c.jpg,,,家人女人朋友经常光顾的场所 2008 年国内首个在济州岛被镜子所照的迷宫主题公园诞生。 主题1 多面体形状反射如广场般感觉无法轻易逃脱的立体镜面美瞬间消除主题2旅行疲劳的悬疑和充满惊险的古代埃及金字塔内部体验主题3光折射
301,太平洋乐园帆船旅游香格里拉,西归浦市동达洞2950-5,#ACTIVITY#父母#孩子#明朗#夏天#优秀旅游公司,(+82)-1544-2988,,全年无休/阳光游艇旅游(日出旅游)05:30 - 08:30 / 预约必修,https://api.visitjeju.net/photomng/imgpath/201804/30/002934fa-78d8-4fb7-a3e3-8d263941fd7b.jpg,,,豪华邮轮香格里拉号由持有专业资格证的船长亲自运营。济州岛中文前海的秀丽风景和游艇的享受。在游艇上一边欣赏济州第一海岸美景柱状节理带一边垂钓大海一边喝着音乐喝着红酒和茶在卧室里休息还可以吃到钓上来的鱼和事先准备好的食物。另外还使用游艇内部的机器努力为海上练歌厅求婚船上派对企业研讨会商务会议等提供最合适的服务。​​​​
302,草线制酒,济州特别自治道济州市朝天邑善屹里 600,#ACTIVITY#朋友#明朗#夏天#秋天,064-784-9030,,全年无休冬季-09:00~17:30 夏季-09:00~18:30,https://api.visitjeju.net/photomng/imgpath/201804/30/5e5c8bd1-fc20-4101-b12b-afdacf5f798d.jpg,,,草本线济州位于拒文岳山脚茶喜宴内可同时感受拒文岳多种自然和绿茶田的宁静。 也是以洞咖啡馆著称的多喜宴的副业长。是培养学生们体力锻炼胆识体验团结心和协同心的体验休闲设施也是多次被著名电视台介绍的新型休闲运动。
