指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
143,青工韩屋(韩屋寄宿),庆尚北道庆州市梨邱二街5-6(九亭洞),#京珠住宿#瓦房的初夜#适合散步的地方#家庭旅行#友情旅行#次韩余游#治愈旅行#徒步旅行#徒步旅行#,010-5396-8943,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/F54FDE8489BA421D8F8E36563B4BA11A.jpg,,,蕴含着70年代爱情故事的房子庆州九亭洞莲花池周围有一栋名为清空的雄伟韩屋。 这所房子里隐藏着电影和书中可能听到的特别的爱情故事时间可以追溯到1979年。 曾是旅日侨胞企业家的一名男子经常出差他的妻子经常要独自留在庆州。 后来男人回到韩国利用当代最好的材料为妻子建造韩屋作为礼物与妻子共度余生。 这个故事是现在经营青工的主人去世的母亲父亲的真实故事。
144,Laon民宿,庆尚北道庆州市金城路一八二号街,#京珠住宿#大陵园周边#大陵园周边住宿#友情旅行#两人。,010-7625-4368,http://www.raonpen.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/FEC8294E66E14E2A83E2A4A27313BFE4.png,,,四季美丽的庆州令人愉快的韩屋历史原封不动地保存下来的庆尚北道庆州是四季美丽的地方。 这里有韩屋鳞次栉比的古灵精怪的村庄而且街道处处都有文化遗产给人以乘坐时光机器抵达过去的印象。 仅仅停留一下心情就会变得轻松的氛围是多余的。
145,高龄安华里岩刻画(文化遗产),庆尚北道高灵郡双林面安化里山一,#高龄旅行#以前是怎么生活的#庆尚北道纪念物,054) 955-4790 (高龄军观光咨询所) 054) 950-6655 (观光振兴科),http://tour.goryeong.go.kr/kor/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151010/00E90CC93FEF4B1BA06080063A567852.png,,,* 能够接触到史前时代的文化的文化遗产高灵安华里岩画 * 安华里岩画是指史前时代的人们刻在岩壁上的岩石画。 在长115厘米宽90厘米的岩石上用啄食手法刻下了3个图案。 首先以U型半圆为基础在左右两侧画上弓形的线对称在右侧画上挖了一个小洞。
146,圣住世宗大王子太实(文化遗产),庆尚北道星州郡月恒面仁村里山八号,#星洲旅行#了解朝鲜时代#事迹,星州郡厅文化体育系(文物) 054-930-6792 6794,http://www.sj.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/FC06513750874B9693AD7825600FA291.jpg,,,朝鲜王朝世宗大王的太子太室前列11期后列8期。 太室前各立有王子的太室碑据推测大部分碑立于世宗20年(1438年)至世宗24年间。 其中有很多碑石磨损难以辨认能够解读的代表性例子是平原大君永应大君义昌郡等的太室碑。
147,善山乡校(古宅),庆尚北道龟尾市善山邑校里二内街24-35,# 龟尾旅行#孩子体验学习#感性充电,054) 481-6698,http://www.gumi.go.kr/main.do,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150901/E4F2EF81FE1A45D8BDADC9060B20ED34.jpg,,,1450年(世宗32年)供奉显儒牌位为地方居民的教育与教化而建。 壬辰倭乱时被焚毁1600年(宣祖33年)府使金庸重建大成殿东斋西斋1624年(仁祖)重建。
148,连日乡校(书院),庆尚北道浦项市南区柳洞길四八号街,# 浦项文化遗产#庆尚北道文化遗产资料,054) 275-2275,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150901/FB294A1BCCE141A181B8681408F1B537.jpg,,,朝鲜太祖七年(1398)现建于浦项市南区大松面但由于没有关于沿革的资料创建年代无法准确得知最终因壬辰倭乱被烧毁。 日本殖民统治时期曾被用作明伦学校1983年2月随着行政区域改编被编入浦项市保存。
149,渡船窟(旅游景点),庆尚北道龟尾市金乌山路434-1,# 龟尾旅行#适合登山的地方# 以自然为伴#治愈旅行,054) 450-6065,http://www.gumi.go.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150924/441622C745034928B6C4C422467DE381.jpg,,,位于大慧瀑布右侧绝壁中间的天然洞窟新罗末期风水地理说义大的渡船在此提醒道。
150,暴风中电视剧拍摄现场(旅游景点),庆尚北道蔚珍郡竹边面灯垈街74-14,#蔚珍旅行#电视剧拍摄地#海岸道路周边#哥哥和#家庭旅行#好走的地方#竹边港周边#海边,暴风中转场:054-789-6893,http://www.uljin.go.kr/tour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20160120/639E181E16434B8194DB9CF399F89E4C.jpg,,,在蔚珍的暴风中告诉大家我爱你然后游览拍摄地的旅行路线。 竹边港[在暴风中]拍摄地内前村告诉我我爱你拍摄地内前村入口处矗立着被指定为天然纪念物第109号的杏谷里的下垂松树。 依着松树转过身去就沿着长长的石墙走去。
151,七谷倭馆传统市场(1 6 日)(传统市场),庆尚北道漆谷郡倭馆邑市场一街,# 漆谷旅行# 传统市场出入,054-974-1312,http://www.chilgok.go.kr/tour/main/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/7BC5F9E0F3414765A014903CB15DC6B1.jpg,,,大邱工业区的离心扩散导致工厂数量增加为此建成倭馆工业园。 在洛东江边的泛滥原上苹果果园众多交通便利形成了星州郡和漆谷郡一带的农产品集散地。 在倭馆市场内的农合公摊可以买到香瓜西瓜黄瓜及各种水果在市场十字路口的路边还可以在摊贩处买到便宜而新鲜的蔬菜。
152, 놀夫包饭和石锅饭(庆州店)(普通韩餐),庆尚北道庆州市产业路4358(龙江洞),#庆州旅行#庆州美食店,054-744-5382,http://www.nolboo.co.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/65B8128A34934974959BE01652FBFE92.jpg,,,80席
153,东山韩方鸭(一般韩餐),庆尚北道庆州市川北面东山三街17(川北面),#庆州旅行#庆州美食店#气韵非凡的食物,054-774-1351,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/CF94A2829AA54FEAB923379F497B10D4.jpg,,,百席
154,松川江捷运局(普通韩餐),柄谷面德川街173(德川里40-1),# 盈德旅行#盈德美食店#汤,054-733-0094,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151003/31E37256732645DAAB84406E5885AA43.jpg,,,
155,韩牛和大酱(一般韩餐),庆尚北道安东市丰川面河回里全西路72,#安东美食店#安东河回村#安东小吃#安东街值得一看的地方#安东美食,054-842-2255,http://www.denjang.co.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20161114/B4E237B6AC324A0CA78883CF1F6D1AE7.jpg,,,这家餐厅是大大小小的陶器和用竹子编成的脚进行室内装饰的宽敞的餐厅可以直接挑选肉还可以烧炭。 在这里还可以品尝到安东特产干고등鱼和肉串。 地处河回村附近是一块适合在一起的地方。
156,海洋度假村(酒店),庆尚北道庆州市阳南面东南路982,#京珠住宿#exiting京北#尖头拍水游戏#前景好的地方#家庭旅行,054-740-0500,http://www.mauna.co.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/55B10E7725ED4A4EA2FE50A374AB9D71.jpg,,,四季山岳型庆州mauna海洋度假村的海洋中岭南地区唯一的(高尔夫+酒店)概念的高品位的享受所有的客房酒店式公寓、高尔夫球场布置高尔夫球场和东海的眺望权对心肺功能很好的海拔500米比赛中清洁自然健康权的高品质酒店式公寓。
157,大庆饭店(韩式肉类),庆尚北道漆谷郡东明面箕圣三街27,#七谷旅行#七谷美食店#团体观光#气韵迸发的小吃,054-975-7979,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151009/9F1A47242A1941D2BDA8E83827008636.jpg,,,座位数:150名
158,江边公园(旅游景点),庆尚北道金泉市校洞703,#金泉旅行#适合散步的地方,054-420-6448,http://www.gc.go.kr/culture/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150929/8DD07C2C31A74FCCBFD35088992D2CF1.png,,,在6千坪的面积上设置了停车场娱乐场多功能广场羽毛球场散步路亭子纸压人行道等各种便利设施公园内还利用市民捐献的树木和石头用树荫和人工水。营造了绿地空间任何人都可以安心休息。
159,芭比龙夏令营(养殖),庆尚北道清道郡华阳邑松金街85,#清道旅行#清道美食店#奶酪嘎吱嘎吱#葡萄酒隧道周边,070-8804-0102,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/9703A31162D44EE7B32005BD367165E0.jpg,,,
160,蜗牛书店(旅游地),庆尚北道浦项市南区孝子洞길一零号街,#蜗牛书店#浦项咖啡厅#浦项值得一看的地方#灰色#奶茶,070-7532-3316,http://blog.naver.com/snailbooks,,http://tour.gb.go.kr/upload2/tour/content/thumb/20181128/C6EF2ED546A046E9A60338ADD6BA1A90.jpg,,,位于浦项孝子市场附近的独立书店可以享用红茶和奶茶销售人文领域的图书和独立出版物。 红茶店
161,龟尾新村中央市场(1 6日)(传统市场),庆尚北道龟尾市龟尾中央路九街11(院坪洞),#文化观光型市场#趣味旅行#传统市场旅行#徒步旅行#哥哥和#值得和孩子们去的地方,054-452-3611,http://www.gumi.go.kr/main.do,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/62B60AABA2434C4FAD482ED628CC9096.jpg,,,龟尾中央市场是位于庆尚北道龟尾市元坪二洞的传统市场。 龟尾中央市场是欧美地区历史最悠久的传统市场坐落在龟尾站附近公共交通便利供广大市民使用。 近年来通过努力搞活传统市场使停车设施和市场设施现代化重新焕发生机。
162,闻庆东路市场(传统市场),庆尚北道闻庆市闻庆邑新才路944,#闻庆旅行#传统市场出入,054-550-6393,http://www.mgtpcr.or.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/C690936CA1B14C048D65B30E1ACB3434.jpg,,,东路市场自朝鲜时代起就以伐材场著称1985年2月开业。 以山间偏僻为背景连忠清北道丹阳郡的居民都利用而且远离店村等城市履行了相当独立的市场功能但现在其功能微弱。交易开始较早但中午前后有波幅当地居民需要的生活必需品从外地运进根据季节变化有的交易有蕨菜덕菜等纯净农产品。
163,天主教神树骨圣旨 (HIKING),庆尚北道漆谷郡枝川面莲花里山57-9,#七谷观光#七谷可看的地方#七谷旅行,054-972-2014,http://www.chilgok.go.kr/tour/main/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20161028/9965DC9CA14846A5AC62A6028F6BB04D.jpg,,,距离莲花里皮井家约5分钟车程。这是1815年朝鲜后期为了躲避天主教的迫害信徒们生活的新村。 神树谷在壬辰倭乱时也是避难所居住在首尔京畿道忠清道等地。 目前该村教友世代相传继续生活。 参拜墓地的顺序依次为殉教者圣歌 - 深庙2号 - 思悼神经注意器也光荣颂。 神木谷圣地距离嘉实教堂约43公里这也是新树谷圣地~金乐亭~加山山城~汉提圣堂的去汗峙路路线的一部分。
164,狮子岩(海洋),庆尚北道郁陵郡西面南西里54-11,#郁陵岛旅行#海岸道路周边#适合看日落的地方#燃烧的晚霞#适合吹风的地方,文化旅游体育课 054-790-6392,http://www.ulleung.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/07806C99984946B78713394924B2F013.jpg,,,在郁陵岛可以欣赏到落日风景的地方是郁陵岛西边海岸一带。 南阳里狮子岩的日落谁都可以轻松的站着欣赏。
165,(海)竹刀,庆尚北道郁陵郡郁陵邑上路52(郁陵邑),#郁陵岛旅行#治愈旅行#家庭旅行#值得和孩子们一起去的地方#友情旅行,旅游服务站-054道洞790-公园管理所-054 6454粥-790 6424,http://www.ulleung.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20160119/BC3C40BDBCEF4CC491F9856F7E028161.jpg,,,这是位于郁陵岛猪洞港东北方向4公里道东港东北方向7公里处的有人岛。 道洞港有道船通行。来郁陵岛的游客必去一次。 没有雨水井后再饮用但家门口大水桶放在一起的风景线。的粥
166,郁陵岛灯塔(太河灯塔),庆尚北道郁陵郡西面台下灯台街188,#郁陵岛旅行#好去处#好去处#好去处#和孩子去的地方#友情旅行#和家人旅行#和哥哥一起去,郁陵岛灯塔 054) 791-5334 道洞观光咨询所 054-790-6454 苎洞观光咨询所 054-791-6629,http://www.ulleung.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151004/F70F2EB230614E72BC4E8A94CDBC7EE8.jpg,,,正式名称为郁陵岛航线标志管理所亦称郁陵灯塔或太河灯塔。 郁陵岛于512年(新罗智证王13年)被新罗的理事府占领独立国牛山国后被更名为牛陵岛武陵岛1915年更名为现在的钟陵岛。
167,下船台(海),庆尚北道浦项市南区东海海面路79号2628,# 浦项文化遗产,旅游振兴科(旅游指南) 054-270-5836,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150901/2F923D86F8254BE9903C04CE349D581B.jpg,,,东海面立岩里、马山里交界处的(黃玉浦)俗称황옥포的한미끼下了仙女或来玩的高度了하선대。하잇돌이라东海龙王的古代传说每年在这里他们邀请了能歌善舞经常是仙女中龙王的脸在突出而且个好心的一位仙女吸引了我想作为王妃但到了玉皇大帝。
168,永川朝阳阁(文化遗产),庆尚北道永川市文化院街6,#永川旅行#庆尚北道有形文化遗产,054-330-6063,http://www.yc.go.kr/tour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/006DAD7219BF4D3480233DB17E6742AE.jpg,,,时代:恭 공민王17年(1368年)型式:重檐八作屋顶建筑是高丽恭왕王17年(1368年)当时供奉的李庸建造的又名明苑楼。
169,回龙浦(文化遗产),庆尚北道醴泉郡龙宫面大隐里,#艺川旅行#适合拍照的地方#哥哥和#孩子值得去的地方#家庭旅行#孩子值得去的地方#友情旅行#甜蜜蜜的水游戏,054-650-6609,http://tour.ycg.kr/open.content/ko/tour.guide/vr/hoeryongpo/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/4F8D021D148F4F40AC67F5725AB19C47.jpg,,,回龙浦(或称义城浦)是洛东江支流内城川像龙的飞翔一样绕着水运转的地形的陆地上的村庄。 高190米的飞龙山又折回350°流过清澈的水与沙滩相映成趣自然景观如一幅画。
170,凤亭寺(安东)(寺庙),庆尚北道安东市西後面凤亭寺街222(西後面),#安东旅行#怀着虔诚的心#治愈旅行#以自然为伴,054-853-4181 4185,http://www.bongjeongsa.org/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/8C3F36088EB04EDAA7741909F1F79C26.jpg,,,天灯山峰顶寺离我们住的地方不远也不险峻可以暂时离开繁忙的市中心悠闲自在是个很好的地方。 拥有韩国历史最悠久的木制建筑的这个地方对于我们安东人来说也是值得骄傲的地方。 这里也是可以尽情呼吸最近人们渴望的清新空气的地方。 与其他逐渐繁杂的寺庙不同这里一直延续着安静的韩国产中佛教传统对于信仰者来说这里也是很好的修炼场所。
171,烽火满山古宅(古宅),庆尚北道奉化郡春阳面西东街21-19,#烽火旅行#火车旅行#孩子体验学习#2天1夜#孩子值得去的地方#家庭旅行,054) 672-3206 (满山古宅) 054) 679-6332 (奉化郡文化观光系),http://mansan.modoo.at/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/ADE7B1E3642D4A05968C0DBC68C5C5E6.jpg,,,该故居是朝鲜末期文臣满山康容(1846~1934)先生在高宗15年(1878)建成的。 走进正面11间长廊房中央的耸立大门宽阔的厢房和内宅连接在一起形成口字形的平面左侧的私塾右侧设有单独的围墙。
172,光山金氏唯一在古宅(古宅),庆尚北道安东市卧龙面仙突街113-16(卧龙面),#安东旅行#好走的地方#好散步的地方,054-856-3013,http://www.tourandong.com,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/739DCCD8383F427CBF76F4B54E1CC1B8.jpg,,,光山金氏是唯一在公派的宗宅。 他的23岁孙子谭岩金龙石[1453~]风川面九潭里后到柳一宰金彦基代此为卧龙伽倻。 据说1700年代末他的9大孙子道常搬到这里时购买了这套房子。 据推测建立时期是1600年代末。
173,槐轩古宅(古宅),庆尚北道荣州市伊山面永峰路875-8,#永州旅行#以前是怎么生活的呢?,054) 639-6063 (荣州市文化旅游系),http://www.yeongju.go.kr/open_content/tour/index.do,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/724F3567121B41199A328D0948060635.jpg,,,槐轩古宅是1779年(正祖3年)德山公槐轩金永的故居。 据说1871年(高宗8年)孙金福渊先生重修一部分推测当时爱情部分是否和现在一样扩张。
174,新突石将军故居及遗址(古宅),庆尚北道盈德郡丑山面新突石将军街218,# 盈德旅行# 生前# 值得和孩子一起去的地方,遗址管理办公室 054-734-6397,http://tour.yd.go.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/916422C6B81A4CEDA8E2662D05B558B3.jpg,,,*申突石将军出生地朝鲜末期为拯救倾斜的国家而站起来的义兵长很多但是像申突石将军(1878~1908年)一样在弱冠之年作为平民成为义兵队长的例子是。
175,九江书院(书院),庆尚北道庆州市安康邑杨月里679,#庆州文化遗产# 珍贵的我国文化#了解高丽时代#了解朝鲜时代,054-761-2979,http://guide.gyeongju.go.kr/deploy/index.html,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/F7F5A294CFBA4C8DACC560F33F4CFBE9.jpg,,,九江书院原为高丽恭 공민王时期李济贤的灵堂于1686年(肃宗12年)重新建成书院。 但是1871年(高宗8年)因书院撤废令被关闭194年地方儒林得以复原。 每年2月下丁和8月下丁担任乡士。
176,华天书院(书院),庆尚北道安东市丰川面广德솔밭路72(丰川面),#安东旅行#了解朝鲜时代#2天1夜#庆尚北道纪念物#家庭旅行,054-840-5230,http://www.tourandong.com/public/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/4E9DCBC409394CF4B81885C454028AAD.jpg,,,为纪念刘云龙的学德柳林们立于现在的位置是一座书院。 柳云龙于1601年(宣祖34年)去世享年63岁。
177,龟尾 蔡美贞(观光地),庆尚北道龟尾市南通洞249,# 龟尾旅行#了解朝鲜时代#庆尚北道纪念物#龟尾文化遗产,054) 450-6063,http://www.gumi.go.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/30E1EAF2EB51466B8537CDF195BE1B72.jpg,,,位于金乌山道立公园入口右侧山麓的彩美亭是为纪念夜恩吉在先生的忠贞和学德而于朝鲜英祖44年建造的亭子。
178,武藏山 (庆州国立公园岩谷路线)(山),庆尚北道庆州市宝德路484(岩谷洞),#庆州国立公园#秋天推荐旅行地#适合拍照的地方#爸爸和#徒步旅行#秋天紫芒#登山草#芹菜五花肉,054-778-4100 (国立公园管理公团庆州事务所),http://gyeongju.knps.or.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151023/8935412F24704FA8B55A01A861950FA1.jpg,,,武装山(庆州国立公园岩谷路线)岩谷公园守护者-0.4公里岔路-2.4公里-武装寺址-3.6公里-卫生间-亿玺群落地-54。
179,安东河回村胡小堂(韩屋寄宿),庆尚北道安东市丰川面河回江边街89-1,,054-842-6500 010-5279-6500,http://cafe.naver.com/hahoewhosodang/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20160819/48EF13972D9B4025AAF192F124320519.jpg,,,后小堂是位于河回村西端的一栋新韩屋。 战争时被烧毁于2006年恢复原型的后小堂内室和对面是一栋约35 坪大小的堂屋后小堂为官房 舍廊房和对面房门房作为游客住宿之用。 占地约300 坪 建筑物为 50 坪左右。
180,番南古宅(安东河回村)(韩屋寄宿),庆尚北道安东市丰川面河回宗家路50(丰川面),#安东旅行#安东住宿#瓦房的初夜#河回村住宿,054-852-8550,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/505FE433110640DD8E662FF3FD801F1A.jpg,,,俗话说房子像主人。 位于安东河回村的番南古宅也不例外。 虽然是简朴的古宅但因为充满了温暖所以决定给来往的人们留下美好的回忆。 那股暖流像个女主人。
181,蔚珍传统市场(2 7 日)(传统市场),庆尚北道蔚珍郡蔚珍邑邑内二街13-6,#蔚珍旅行#去传统市场#徒步旅行#美食旅行#海山小吃店#家庭旅行#独自出游,054-783-2988,http://www.uljin.go.kr/tour/index.uljin#btn-prev,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151019/DDB07A48E9914F7597728BDEE1C10BAC.jpg,,,长途汽车站下车在蔚往北500M支那市场蔚珍월변교门口到了5日开盘的7月2日2227 17 124个邑面(蔚珍西面近南面远)农民生产出来的新鲜农产品一到赶集。 据了解主要特产是竹边港刚捕捞到的各种鱼和生鱼片大闸蟹以及附近渔村生产的天然海带。
182,嘉泉中央饭店(普通韩餐),庆尚北道星州郡修伦面星州佳野山路302,# 星洲旅行# 星洲美食店# 左手持拌饭 右手拌饭,054-932-4546,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151004/A9A0F8E0149C42CCB6B5290F6F44DCC6.jpg,,,
183,伯利恒,庆尚北道浦项市北区天马路84,#SoulStay#浦项特色住宿,054-243-9393,#self,,http://tour.gb.go.kr/upload2/tour/content/thumb/20170512/728FCDDC2F064F5BB000F630DD055E34.jpg,,,这里有共同体家属居住的2栋建筑和可以让圣战被征服者停留的宿舍空间还有随时都可以利用的被称为分享场所的咖啡屋这里无论谁都可以边听边谈或喝一杯茶。
184,花郎教育院(体验),庆尚北道庆州市新南山路62(南山洞),#庆州旅行#庆州南山周边#东南山,http://www.hwarang-edi.or.kr/,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/5747BCD3A6054E2F9414683DB9C9BE69.jpg,,,本教育院位于实现三国统一伟业的新罗花郎们锻炼身心培养浩然之气的修炼道场庆州南山东岸。
185,大闸蟹鼻祖车游渔村体验村(体验),庆尚北道盈德郡丑山面车游街,#盈德旅行#美食旅行#散步的好去处#孩子体验学习#家庭旅行#值得和孩子一起去的地方,010-9231-9881,http://chayou.seantour.com/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/E93900971E1746FFA56185E669D159EC.jpg,,,渔村看到村里的生产的该协会前海捕捞的是地方的腿像竹子来了巨蟹。人们 沿着村子的来历被命名为盈德大闸蟹源村并树立了纪念标识。庆正里洞名的由来是因有长长的沙火而被叫做船火或更正。
186,回龙浦汝蔚村(体验),庆尚北道醴泉郡龙宫面龙开路357(龙宫面),#艺川旅行#我们孩子体验学习#回龙浦周边#水滴小游戏#沙场#孩子值得去的地方#家庭旅行,054-655-7120,http://tour.ycg.kr/open.content/ko/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/ACF4A1D562E64E3F9776C6677CC7BF82.jpg,,,回龙浦汝蔚村是一个景观优美的村庄一望无际的沙田被完整地保存了下来。 在瞭望台看到的回龙浦有着出色的绝景。 同时长安寺龙宫香桥等传统文化保留完好。
187,德川村(真素瑟村)(体验),庆尚北道青松郡巴川面德川街89,#青松旅行#我们孩子体验学习#茶韩杯的余裕#散步的好地方#今天是我种地的#民俗游戏,054-874-6648 010-8689-0735,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151012/76844AA6154140CFAF8BB0F1F69F6063.png,,,位于青松郡西北端是青松沈氏的世居地庆尚北道重要民俗资料第63号松所古宅和纪念物第421号草甸宅以及小柳沈成智先生起居。
188,长院山村食堂(韩食肉类),金泉市甑山面水道街139,#金泉旅行#金泉美食店#鸡肉#充满朝气的食物#金泉旧日絮氏村周边#金泉旧日絮氏村周边美食店,054-437-0079,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151004/1D9969A1961249969C749DF87028DE6E.jpg,,,
189,药石火锅(韩食肉类),庆尚北道闻庆市敦达路43,#闻庆旅行#闻庆美食店#店村站周边#店村站周边美食店,054-556-7192,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151010/04DCB520D45D4641B6ED16F86F2362AB.png,,,
190,韩牛马实直营餐厅(凤阳韩牛马实作牧会)(韩食肉类),庆北义城郡道里院一街88 (凤阳面),# 军威旅行#军威美食店#牛肉#肉熟吗?,054-832-1999,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151009/27DF7F44A4154E4CBD9769435DF95234.jpg,,,
191,花朵眼线笔,庆尚北道庆州市下洞一街,#京珠住宿#家庭旅行#适合散步的地方,010-3235-1633 010-7227-5244,http://www.flowermary.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/5FFC3CE478A8497B8E10B805D592CA34.jpg,,,花卷轴是欧洲型木结构吊饰是原木咖啡型吊饰。 位于主普门园区及佛国寺五分钟距离。
192,Milippention,庆尚北道庆州市北郡街49 (北郡洞),#京珠住宿#宝文旅游区,010-2632-5090,http://www.mi-ru.co.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/74A07D18F75D49AA977CAECFF4B93EAC.png,,,
193,钉子户(开室村)(韩屋寄宿),庆尚北道高灵郡双林面开室一街 35(双林面),#高龄住宿#高龄旅行#我们孩子体验学习#家庭旅行#适合散步的地方#过去怎么生活?#开室村周边#开室村周边住宿#瓦房下,054-956-4022,http://www.gaesil.net,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150902/EB7C2DE4E4F849FE8426030C51BCF7E9.jpg,,,位于世世代代长寿的健康之家池谷宅庆尚北道高灵郡双林面合家里开室村的池谷宅是100年前建造的是现在主人的上辈子建造的房子。 这里的钉子户和长寿钉子户被称为长寿钉子户。
194,德同家(开室村)(韩屋寄宿),庆尚北道高灵郡双林面开室二街39(双林面),#高龄住宿#高龄旅行#我们孩子体验学习#家庭旅行#适合散步的地方#过去怎么生活?#开室村周边#开室村周边住宿#瓦房下,054-956-4022,http://www.gaesil.net,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150902/F401EFADA5B042398657C6EC201F62CC.jpg,,,位于庆尚北道高灵郡双林面合家里开室村的德东家庭院里摆放着屋顶的平床非常有特色。 在庭院中种植了多种果树作为孩子们的植物体验场所也毫不逊色这里按照传统韩屋样式建造因此更加漂亮。
195,舍友堂宗宅(韩屋寄宿),庆尚北道星州郡修伦面修伦街54-4(修伦面),#成周淑朴#瓦集的初夜#家庭旅行#两个人,054-932-3636,http://sawoo.modoo.at,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/F2E001E64CF345C287BA82FC3E9E723A.jpg,,,韩屋的余白之所以美丽是因为其中蕴含着我们先人的精神。 在喜鹊山和燕飞山所蕴含的尹东村坐落着拥有深厚空白的舍友堂。 有了至诚一如既往的坚守村寨的人舍友堂的美丽更加璀璨。
196,屈佛寺址石造寺面佛像(文化遗产),庆尚北道庆州市上东川内街93-7(东川洞),#庆州旅行#宝物#了解统一新罗时代#适合登山的地方,文物科 054-779-6105,http://guide.gyeongju.go.kr/deploy/index.html,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/24FAF5507C7D4B26A11D16E99CC4C184.jpg,,,位于庆尚北道庆州屈佛寺旧址的佛像在岩石的西侧有阿弥陀如来佛东侧的药师如来佛北侧有弥勒佛南侧分别刻有释迦牟尼佛的四方佛。 据《三国遗事》记载新罗景德王来到百栗寺时地下传来念佛的声音。 据传挖地一看这块石头出来在岩石的四周刻上佛像建一座寺庙叫做屈佛寺。 虽然仅此记录并不明确但根据各种条件推测佛像应该是在这个时候形成的。
197,三井海水浴场(海),庆尚北道浦项市南区九龙浦邑三井一里,# 浦项旅行#九龙浦周边#美食旅行#夏季避暑地,九龙浦邑事务所 054-270-6561 观光振兴科 054-270-5855,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/E16162AD9EB5419BB7B0E3442BFDF12C.jpg,,,三井一里海水浴场位于九龙浦海水浴场附近。 干净的海水和缓坡相协调的海水浴场村庄里的渔船捕捞的新鲜水产品的味道堪称一流。 由于条件如此优越附近的海水浴场非常安静。
198,宋静古宅(韩屋寄宿),庆尚北道青松郡巴川面松所古宅街15-1(巴川面),#青松旅行#青松住宿#瓦房的初夜#散步的好地方#家庭旅行#德川村,054-873-6695,http://blog.naver.com/peacej3012,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151003/750AE611E8364188A30ED91CBE6773D5.jpg,,,流淌着清澈水的山泉水的瀑布形成壮观的溪谷松树被郁郁葱葱包围到山上这就是小村庄庆北青松郡的故事。 不知是不是因为这样的自然青松郡2011年被指定为慢城。 在这里的青松郡德川村有一家名门望族沈府子屋之一的松亭古宅。
