여행지이름,주소,태그,전화번호,홈페이지,영업일,OVERVIEW
62. 제주바닷가하우스,제주특별자치도 서귀포시 대정읍 형제해안로 254,#서귀포숙소#숙박#제주도#펜션,064-794-0977,<a href="http://www.seasidehouse.co.kr" target="_blank" title="새창 : 제주바닷가하우스 홈페이지로 이동">http://www.seasidehouse.co.kr</a>,,산방산과 송악산의 맑은 공기가 숨 쉬는 마을  바닷가하우스는 남제주군 대정읍에 위치한 펜션이다.  2002년 8월에 완공되어 깨끗한 시설과 서비스를 목표로 운영한다.
63. 승일 펜션,강원도 철원군 갈말읍 태봉로 1694,#강원도#숙박#철원숙소#펜션,033-452-8518,<a href="http://www.si-pension.co.kr" target="_blank" title="새창 : 승일펜션 홈페이지로 이동">http://www.si-pension.co.kr</a>,,승일펜션은 화려하지 않지만  고향의 부모님 집처럼 편안하고 안락하게 쉬었다가 갈수 있는 곳이다. 7개의 독립적인 객실형태를 가지고 있어 묵는 동안 옆 객실의 방해를 받지 않고 마치 나만의 별장에 온듯한 느낌을 가질 수 있다. 또한 주변으로 승일교   직탕폭포  순담계곡  제2땅굴 등 최고의 경관을 자랑하는 관광지들이 즐비하기 때문에 보는 즐거움까지 두루 겸비하고 있다. 
64. 팜빌리지,제주특별자치도 서귀포시 속골로 29-10,#서귀포숙소#숙박#제주도#펜션,1600-9038 & 064-739-5100,<a href="http://www.palmvillage.co.kr" target="_blank" title="팜빌리지로 이동">http://www.palmvillage.co.kr</a>,,팜빌리지펜션은 17세기 유럽 스타일 원목가구와 샹들리에가 고풍스러운 이미지를 풍기는 내부 인테리어  고급 주방기구  거위털 침구류  최신 시설의 전자제품을 구비하였다.바다를 바라보며 잊지 못할 추억을 만들 수 있는 소나무 속 바비큐장도 있다.
65. 레이펜션,충청남도 태안군 남면 청포대길 104,#숙박#충청권#태안숙소#펜션,010-6477-1790,<a href="http://www.reipension.com" target="_blank" title="새창 : 레이펜션 홈페이지로 이동">www.reipension.com</a>,,레이는 불어로 친구라는 뜻으로 레이펜션은 충남 태안군 남면 양잠리 1230-11번지에 위치해 있다. 언제나 친구처럼 포근하게 그렇게 시원하게 밀려드는 하얀 파도와 백사장에 흩어져 있는 갖가지 조개와 넓고 고운 모래 백사장은 복잡한 도시생활에 지친 이들을 편안하게 감싸 안아준다. 수련활동  체험학습  기업연수 및 기업체 하계휴양소 예약도 받고 있으며  캠프파이어와 바비큐 파티  체육활동  갯벌체험과 바다 레포츠  서바이벌 체험  ATV 투어 등을 즐길 수 있다.
66. 그린밸리 펜션,강원도 철원군 동송읍 창동로 2282,#강원도#숙박#철원숙소#펜션,033-455-1052 & 010-6370-3803,<a href="http://www.greenvalleypension.com" target="_blank" title="새창 : 그린밸리 펜션 홈페이지로 이동">http://www.greenvalleypension.com</a>,,그린밸리펜션은 6개의 객실을 운영하고 있으며 객실마다 고급스럽고 엔틱한 분위기의 인테리어로 꾸며져 있다. 각 객실에서는 한탄강계곡이 한눈에 보이며 주방용품과 객실용품등 이용하는데 불편함이 없도록 모든 집기품이 잘 갖추어져 있다. 베어스타운 스키장과 40분  한탄당C.C 10분  한탄강 래프팅 5분 등 인근에 다양한 즐길거리가 있다. 캐나다산 원목으로 건축한 낭만적인 분위기의 그린밸리펜션에서 고객도 낭만 적인 휴식을 취할 수 있다. 
67. 제주 지삿개풍경,제주특별자치도 서귀포시 이어도로 150,#서귀포숙소#숙박#제주도#펜션,064-738-5353 & 064-738-6996,<a href="http://www.jisakke.com" target="_blank" title="새창 : 제주 지삿개풍경 홈페이지로 이동">http://www.jisakke.com</a>,,지삿개 해안의 주상절리를 뜻하는 지삿개란 명칭을 사용하는 지삿개풍경펜션은 중문단지 2차 지구 외 200m 지점에 위치하고 있으며 대포동 어항과  소나무 숲과 바다가 잘 어우러진 풍경을 자랑하는 곳이다. 그리고  중문 단지로 연결되는 해변 산책로가 잘 만들어져 있어 유명 관광지가 근처에 많이 위치해 있다. 어항에서 신선한 생선을 직접 살 수 있어 손님들에게 인기를 끌고 있다. 지삿개의 건축물은 석고보드 및 유해성 내장재는 사용하지 않았으며  황토 방 및 건물에 EM 미생물  광합성 미생물  참숯가루와 당밀로 처리하여 환경친화적으로 건축하였다.  
68. 푸른제주 펜션,제주특별자치도 서귀포시 성산읍 한도로 256,#서귀포숙소#숙박#제주도#펜션,064-783-4830,<a href="http://www.preunjeju.co.kr" target="_blank" title="새창 : 푸른제주 펜션 홈페이지로 이동">http://www.preunjeju.co.kr</a>,,전원휴양지인 ‘푸른제주’ 민박은 바다에서 들리는 생명의 숨소리 등 편안하고 특별한 여행의 즐거움을 느낄 수 있는 곳이다. 3층 건물의 한 동으로 이루어져 있는 푸른제주민박은 양실과 한실의 두 종류의 객실을 보유하고 있다. 2~4인 기준의 33㎡  3~6인 기준의 40㎡형  4~8인 기준의 50㎡형 등 다양한 객실이 있으며  각 객실 내에는 깔끔한 욕실이 있으며 TV  냉장고  싱크대  에어컨  샤워대  전기밥솥  취사도구 등 당의 편의시설이 완비되어 있다. 이곳 일층에는 175㎡의 70여 명이 수용될 수 있는 식당을 운영하고 있어 음식재료를 마련해오지 못한 손님들은 제주 특산물인 흑 돼지 요리를 맛볼 수 있다. 직접 축산물 농장에서 흑 돼지 오겹살  목살 들을 공급해와 저렴한 가격에 쫄깃하고 담백한 흑 돼지 요리를 먹을 수 있다. 그 외에 갈치조림  고등어조림도 마련되어 있다.  
69. 해밀의 아침 펜션,인천광역시 옹진군 북도면 신도로 87,#숙박#옹진숙소#펜션,032-751-1140,<a href="http://www.sun-morning.co.kr" target="_blank" title="새창 : 해밀의 아침 펜션 홈페이지로 이동">http://www.sun-morning.co.kr</a>,,해밀의 아침펜션은 전면으로 탁 트인 푸른 바다와 아름다운 구봉산을 뒤로하고 있으며  드라마 풀하우스  슬픈연가 세트장이 위치해 있다. 또한 세개의 섬(신도  시도  모도)이 멋진 대리로 연륙되어 있어 바다와 하나 됨을 느낄 수 있다. 
70. 애플펜션,경기도 양평군 서종면 서능로 111,#경기도#숙박#양평숙소#펜션,010-3381-1181,<a href="http://www.applepension.co.kr" target="_blank" title="새창 : 애플펜션 홈페이지로 이동">http://www.applepension.co.kr</a>,,경기도 양평군 서종면의 자연환경을  배경으로 아늑하게 자리하고 있는 애플 팬션은 캐나다 정통 통나무집으로 지어진 곳이다. 특히 정통 캐나다식 통나무 주택과 미국식 목조 주택이 어우러져 있는 이 펜션에는 통나무커플  VIP애플  레드애플  그린애플  골드애플  통나무VIP 등 전체 6개의 객실을 운영하고 있는데 모두 커플룸이다. 통나무커플은 원룸형 침대 객실로 연인들이 이용하기에 좋고  VIP애플은 침대와 거실이 분리되어 있는 객실이다. 레드애플  그린애플  골드애플 객실은 각기 특징 있는 인테리어로 그 분위기가 서로 다르다. 통나무VIP 객실은 복층형 객실로 되어 있으며 가장 넓은 객실로 2층에 영화관이 마련되어 있다. 
71. 해나지 펜션,충청남도 태안군 남면 진산1길 277-129,#숙박#충청권#태안숙소#펜션,041-675-8114,<a href="http://www.haenaji.co.kr" target="_blank" title="새창 : 해나지 펜션 홈페이지로 이동">http://www.haenaji.co.kr</a>,,태안에 머물 일이 있다면 해나지 펜션에 머물기를 추천한다. 펜션 바로 앞에 넓은 바다가 있어 한눈에 시원하게 펼쳐진 바다를 볼 수 있고 파도소리를 들으며 추억에 잠길 수 있다. 1층에는 3명에서 6명까지 머물 수 있는 객실이 마련되어 있으며 2층과 3층에는 3명~5명 정도 머물 수 있는 객실이 마련되어 있다. 그 외에 방  거실  다락방으로 구성되어있는 독채룸이 마련되어 있다. 아늑한 통나무집 모양으로 설계되어 있는 이곳은 유럽풍의 중우한 분위기를 주는 침대객실로서 동양 속의 서양을 느끼게 해줄 수 있는 퓨전 휴식공간을 제공하고 있다. 겨울의 별미인 바비큐 시설도 설치되어있다. 오색 빛으로 물들며 노을 지는 태양은 한 폭의 수채화 같은 장관을 자아내는 모습을 보며 즐거운 시간을 보낼 수 있다. 세계 5대 갯벌 중 하나로 꼽히는 ‘서해안 갯벌’에 속한 태안군은 관광객들이 많이 찾는 체험 학습 현장 중의 하나이기도 하다. 
72. 해뜨는집 펜션,제주특별자치도 서귀포시 성산읍 한도로 137,#서귀포숙소#숙박#제주도#펜션,064-784-8812,<a href="http://www.sunrisinghouse.co.kr" target="_blank" title="새창 : 해뜨는집 펜션 홈페이지로 이동">http://www.sunrisinghouse.co.kr</a>,,모든 객실에서 탐라 제일경인 성산 일출봉이 보이는 해 뜨는 집은 넓은 주차장을 겸비한 숙소이다. 가깝게 우도가 자리 잡고 있고  성산일출봉을 등에 지고 오조리 바닷가에서 색다른 방법으로 맛조개  어패류 등을 직접 잡을 수 있고 아이들의 좋은 자연학습지이기도 하다. 그래서 가족들과 함께 조개잡이를 나선 도민들과 관광객들로 항상 붐비는 곳이다. 펜션에서 조개 잡는 도구를 일체 빌려주기도 한다. 이곳에서는 또한 성산에서 세화 간 사이의 다양한 볼거리와 쉼터 그리고 체험을 동시에 즐길 수 있는 환상적이 드라이브 코스를 알려준다. 객실은 호텔형과 일반형의 구조로 되어 있다. 침대방과 온돌방 중 선택할 수 있으며  바다가 한눈에 들어오는 통유리 창을 설치하여 일출과 일몰을 객실에서 모두 볼 수 있다. 창문만 열면 답답했던 마음을 탁 트이게 할 수 있는 제주도 바닷바람이 객실로 들어와 상쾌한 마음을 느끼게 해준다.   
73. 꽃향기펜션,충청남도 태안군 안면읍 방포로 111,#숙박#충청권#태안숙소#펜션,041-673-7110 & 010-2410-3500,<a href="http://www.smellflower.com" target="_blank" title="새창 : 꽃향기펜션 홈페이지로 이동">http://www.smellflower.com</a>,,방포해수욕장 인근에 위치한 꽃향기펜션은 10개의 객실이 운영된다. 18대 정도의 주차시설과 단체가 머물 수 있는 온돌방은 물론 가족단위의 침대방도 마련되어 있다. 주변 명소로는 사계절 많은 관광객이 찾는 백사장항과 울창한 안면송이 가득한 안면도 자연휴양림 등이 있다.
74. 향토길펜션,충청남도 태안군 남면 진산1길 277-87,#숙박#충청권#태안숙소#펜션,010-5008-5562,,,충남 태안에 위치한 향토길 펜션은 주변의 소나무와 어우러진 통나무집이다. 모든 객실에서 바다가 보이며  a동과 b동으로 나누어져 있으며 20평의 페밀리 룸  10평의 커플 룸으로 이루어져 있다. 객실은 현대화된 한국형 객실로서 사랑하는 가족들  연인들과 내 집 같은 편안한 향토길 펜션에서 더욱더 멋진 추억을 남길 수 있다. 20대의 차량이 주차할 수 있는 주차공간이 마련되어 있다. 펜션 주변이 소나무로 둘러 싸여 있어 도심에서 맡을 수 없는 상쾌한 소나무 향을 맡을 수 있다. 펜션 주변에서 조개  농게  맛조개 등을 캘 수 있는 갯벌체험을 할 수 있다. 푸른 바다를 실컷 구경 할 수 있으며 바닷바람의 싱그러운 속삭임을 느낄 수 있다. 갯벌과 해수욕장은 소나무로 둘러싸여 있어 그늘에서 쉬기도 좋다.
75. 펜션 리버힐,강원도 홍천군 서면 도롱골길 177-12,#강원도#숙박#펜션#홍천숙소,010-4569-1498,<a href="http://www.river-hill.co.kr" target="_blank" title="새창 : 펜션 리버힐 홈페이지로 이동">http://www.river-hill.co.kr</a>,,강원도 홍천의 홍천강 바로 앞에 자리 잡은 펜션 리버힐은 2007년 10월에 신축한 모던한 건물이 독특하다. 붉은색의 강렬함과 모던한 느낌을 주는 직선 구조  그리고 목재건물의 조화가 인상적인 펜션 외관은 홍천강의 자연환경과도 잘 어우러진다. 객실은 각각 강렬하고 화려하게 꾸며져 있어 분위기에 맞게 객실을 고르는 재미도 있다. 객실마다 취사도구와 각종 편의시설이 구비되어 있어 편안하고 안락하게 머물 수 있으며 야외에 마련된 데크에서 주변을 감상하며 오붓한 티타임과 바비큐 파티도 즐길 수 있다. 여름철엔 홍천강변에서 물놀이와 낚시를  겨울철에는 인근 스키장에서 스키와 보드를 즐길 수 있다.
76. 아레나 펜션,강원도 홍천군 북방면 노일로 344-13,#강원도#숙박#펜션#홍천숙소,010-8793-0092 & 010-9022-3169,<a href="http://www.arenapension.com" target="_blank" title="새창 : 아레나 펜션 홈페이지로 이동">http://www.arenapension.com</a>,,연인들이  추억을 만들 때  가족의 행복한 추억거리를 간직하고 카메라에 담고 싶을 때  강원도 홍천에 있는 아레나펜션을 떠올리면 된다. 앞쪽으로 노일강이 있고 뒤쪽으로 산이 병풍처럼 있어 아늑함을 더해 준다. 여름철 펜션에서 수영과 썬텐을 할 수 있도록 수영장 시설을 만들었고 수영 후 피로에 지친 심신을 달랠 수 있는 노천스파까지 준비되어 있다. 또한 언제나 카페를 이용해 진한 커피를 마실 수 있으며 간단한 아침식사 서비스가 있다. 사랑하는 사람과 펜션에서 대여해 주는 자전거를 타고 노일강변을 시원하게 달려보는 것도 여행의 낭만일 것이다. 주변 관광지로는  대명 비발디  팔봉산 유원지  홍천강 등이 있다.
77. 갯바위펜션,경상남도 통영시 용남면 견유1길 175,#경상권#숙박#통영숙소#펜션,010-6709-0706,<a href="http://page.yapen.co.kr/24358" target="_blank" title="새창 : 갯바위펜션 홈페이지로 이동">http://page.yapen.co.kr/24358</a>,,즐거운 추억과 낭만을 남길 수 있는 통영!! 여행의 즐거움을 한층 더 즐길 수 있는 곳!! 가족  친구  단체여행에 아름다운 추억을 남길 수 있는 갯바위펜션은 시원한 바다의 푸른 경치가 한눈에 들여다보이는 이곳 이순신 장군의 길이 물들어 있는 견내랑 통영과 거제사이의 바다와 함께 낭만과 경치가 더없이 좋은 휴식처가 될 것이다. 또한 아늑한 실내공간과 깨끗하고 편리한 각종 편의시설로 고객께 편안하게 쉬고 갈 수 있도록 최선을 다하고 있다. 
78. 그린사이드,제주특별자치도 서귀포시 천제연로 51,#서귀포숙소#숙박#제주도#펜션,064-738-0074,<a href="http://www.egreenside.co.kr" target="_blank" title="새창 : 그린사이드 홈페이지로 이동">http://www.egreenside.co.kr</a>,,제주 중문관광단지가 한눈에 내려다보이고 넓은 정원이 있는 그린사이드 펜션은 도심 속의 현대인에게 지친 몸의 안식처가 되어 줄 수 있는 곳이다. 그린사이드 숙소에서 제주 어느 곳으로 가든 간편하고 즐겁게 출발할 수 있으며  각종 편의 시설은 물론 가까운 곳에 산책로가 있어 맑은 공기를 마시며 천천히 제주의 경치를 감상할 수 있기도 하다. 넉넉한 주차공간도 마련되어있어 단체 손님이 머물다 가기에 불편이 없다. 제주컨벤션 센터  롯데호텔  신라호텔  중문골프장에서 각종 세미나와 워크숍  골프모임  회의가 있을 때 1~2분 거리에 있어 아주 편리하게 이용할 수 있다. 그리고 픽업 서비스도 시행하고 있다. 83㎡의 객실은 거실  한실  양실  부엌 화장실로 구성되어 있고  43㎡의 객실은 방  부엌  화장실로 구성되어 있다. 부엌에는 싱크대  찻장  식탁  냉장고  후드가 마련되어 있으며  모든 방에는 화장대  에어컨  발코니가 있다.
79. 제주 써니데이,제주특별자치도 서귀포시 대포로 131,#서귀포숙소#숙박#제주도#펜션,010-3808-5204,<a href="http://www.sunnydayjj.com" target="_blank" title="새창 : 제주 써니데이 홈페이지로 이동">http://www.sunnydayjj.com</a>,,제주 대포동 해안가에 위치한 자연친화적 통나무집으로 설계된 써니데이제주 펜션은 중문관광단지를 비롯한 다양한 관광지와 근접해 있고 제주의  정취를 느낄 수 있는 곳이다. 모든 객실의 감귤색의 불빛은 따뜻하고 온화한 느낌을 나게 해며  안정감 있게 편안한 심리상태로 쉴 수 있도록 설치되었다. 외부의 모습은 독특한 개인 별장의 느낌을 나게 하며 별장 주변에 심어져 있는 큰 야자수들이 이국적인 느낌을 더해준다. 해질녘의 써니데이제주의 모습은 불빛이 가득한 숙소의 모습과 뉘엿뉘엿 해가져 파란 하늘이 파스텔 톤의 잿빛으로 변한 모습과 조화를 이루어 멋진 장관을 연출한다. 4가지 타입의 객실들이 마련되어 있으며  객실이 항시 만원이기 때문에 방문 전에 미리 예약을 하기를 권유한다. 펜션 주변에 산책로와 하이킹 코스가 설치되어있어 젊은이들과 어른들 사이에 모두 인기 있는 장소이다.
80. 경주 불국사 [유네스코 세계문화유산],경상북도 경주시 불국로 385,#19_20한국관광100선#가족여행#경주불국사#관광지#교과서속여행#사찰&산사#아이와함께#역사#역사유적지#유네스코세계문화유산#자연좋은곳#전통&역사문화체험#친구와함께#템플스테이,불국사 종무소 054-746-9913,불국사 <a href="http://www.bulguksa.or.kr/" target="_blank" title="새창: 불국사 사이트로 이동">http://www.bulguksa.or.kr</a>,연중무휴,※ 19_20 한국관광 100선 ※『구름을 마시고 토한다』는 토함산(745m)의 중턱에 자리하고 있는 불국사와 석굴암은 찬란한 신라 불교문화의 핵심으로 신라 법흥왕 15년에 그 어머니 뜻에 따라 나라의 안정과 백성의 평안을 위하여 세워졌으며  그 후 신라 경덕왕 10년(751) 때 재상 김대성이 다시 지어 절의 면모을 새롭게 하였다. 그 뒤 임진왜란으로 건물은 물론 값진 보물들이 거의 불에 타거나 약탈되었다. 1920년 이전에는 일부 건물과 탑만이 퇴락한 채 남아 있었으나  지속적인 원형복구 및 보수로 국보 7점을 간직한  오늘날 대사찰의 면모를 갖추게 되었다. 불국사에서 산등성이를 타고 약 3km (포장도로 석굴로는 9km)정도 올라가면 동양 제일의 걸작으로 알려진 여래좌상의 본존불이 동해를 마주 바라보고 있는 유명한 석굴암이 있다. 불국사.석굴암은 1995년 12월 6일 해인사 장경판전과 종묘와 함께 유네스코 세계 문화유산으로 공식 등재되어 국제적으로 더욱 유명해졌다.* 주요문화재- 다보탑(국보 제20호)- 불국사3층석탑(국보 제21호)- 청운교 백운교(국보 제23호)- 석굴암(국보 제24호)- 금동비로자나불좌상(국보 제26호)- 금동아미타여래좌상(국보 제27호)- 경주 불국사 연화교 및 칠보교(국보 제22호)
81. 솔향기 펜션,강원도 홍천군 북방면 노일로 713,#강원도#숙박#펜션#홍천숙소,033-434-5646,<a href="http://www.pinearoma.com" target="_blank" title="새창 : 솔향기펜션 홈페이지로 이동">http://www.pinearoma.com</a>,,솔향기 펜션은 노일강변에 위치해 있어서 여름엔 홍천강에서의 시원한 물놀이와 1급수 토종어종 및 골뱅이 잡기 등을 즐길 수 있으며 겨울엔 대명스키장과 인접해 있어서 스키를 이용하는 고객에게 많은 사랑을 받고 있다.
82. 블루스카이 펜션,제주특별자치도 서귀포시 색달로 60,#서귀포숙소#숙박#제주도#펜션,064-738-5958,<a href="http://www.jejubluesky.com" target="_blank" title="새창 : 블루스카이 펜션 홈페이지로 이동">http://www.jejubluesky.com</a>,,블루스카이는 제주도 관광의 중심인 중문 관광단지에 근접한 콘도형 민박이다. 이곳은 깨끗한 침실과 정갈한 주방과 화장실  그리고 바다가 보이는 테라스는 이곳 블루스카이 숙소에서만 느낄 수 있다. 연말연시  성수기를 제외하곤 숙박료와 렌트가를 함께  이용할 수 있는 특별 이벤트가 실시되고 있다. 객실 내에는 TV  컴퓨터  냉장고  밥통  전화  주방기구 일체 및 드라이어 등등 모든 비품들이 마련되어 있다. 인원수별로 여러 가지의 테마 방들이 만들어져 있으며  깨끗함을 항시 유지하기 때문에 기분 좋게 휴식을 취할 수 있을 것이다. 넓은 정원이 있어 아이들이 뛰어놀 수 있으며 어른들은 간단한 공놀이 게임을 할 수 있다. 넓은 밀감 과수원이 있어 직접 감귤을 따서 먹을 수 있는 특별한 체험도 할 수 있다.   
83. 너른바위,강원도 홍천군 화촌면 당무로 987,#강원도#숙박#펜션#홍천숙소,033-433-0214,<a href="http://www.nbpension.com" target="_blank" title="새창 : 너른바위펜션 홈페이지로 이동">http://www.nbpension.com</a>,,공작이 날개를 펼친 모습과 같다 하여 붙여진 공작산으로 둘러싸이고 그 산을 따라 흐르는 군업천을 바라보는 바로 그곳에 너른바위 펜션이 있다. 개인의 프라이버시가 가장 우선시되는 순수 통나무로 지은 단독 별장형 펜션이다. 
84. 청태산힐링펜션,강원도 횡성군 둔내면 청태산로303번길 16-35,#강원도#숙박#펜션#횡성숙소,010-5262-0564,<a href="http://chongtaesanhealing.com/" target="_blank" title="새창 : 청태산힐링펜션 홈페이지로 이동">http://chongtaesanhealing.com/</a>,,자연과 어울리는 횡성 최고의 펜션인 청태산힐링펜션은 해발 1 200m의 청태산을 주봉으로 하여 인공림과 천연림으로 둘러싸인 대규모 펜션 단지에 위치하고 있다. 다양한 평수와 구조를 갖추고 있어 가족  연인  단체 모두 즐겨 찾는 힐링 쉼터이다. 
85. 물안개피는 들꽃나루펜션,강원도 홍천군 서면 개야로 579-49,#강원도#숙박#펜션#홍천숙소,033-434-8280,<a href="http://www.riverpension.co.kr" target="_blank" title="새창 : 물안개피는 들꽃나루펜션으로 이동">http://www.riverpension.co.kr</a>,,홍천강변에 위치해 있는 물안개피는 들꽃나루 펜션은 강변에서 낚시와 수영을  강변을 따라 자전거 하이킹을  강변과 함께 바비큐 파티와 특별한 캠프파이어를 즐길 수 있다. 봄을 맞이하여 전천후 야외 덱을 완성하여 정자 2개소  30평 야외 덱에서 자연을 즐길 수 있으며 노래방  탁구장  그네 시설도 함께 마련해 놓았다. 한식  매운탕  닭볶음탕  백숙  돼지 생고기  막걸리 등 주문하여 먹을 수 있다.
86. 마이웨이비발디펜션,강원도 홍천군 서면 한서로 1477,#강원도#숙박#펜션#홍천숙소,033-434-1609,<a href="http://www.mywayvivaldi.com" target="_blank" title="새창 : 마이웨이비발디펜션 홈페이지로 이동">http://www.mywayvivaldi.com</a>,,파란 하늘과 푸른 숲이 잘 어울리는 곳  자연경관을 충분히 살리면서도 넉넉한 공간을 확보하여 보다 여유롭고 편안한 휴식처이다. 
87. 별이빛나는밤 펜션,강원도 홍천군 서면 도롱골길 229,#강원도#숙박#펜션#홍천숙소,010-4360-2208,<a href="http://starnightps.com" target="_blank" title="새창 : 별이빛나는밤 펜션 홈페이지로 이동">http://starnightps.com</a>,, 펜션 별이빛나는밤에는 홍천의 노일강변에 위치에 있다. 모든 펜션의 객실에서 창을 열면 방안으로 노일강의 금빛 물결이 들어오고  건너편 산의 풍광이 그림처럼 펼쳐진다. 금학산과 홍천강에서 모여드는 물이 모이는 곳으로 그 경치 또한 장관을 이룬다. 대부분의 펜션 주인들이 도시 사람이라면 별밤의 펜션지기는 홍천 토박이다  홍천에서 태어나 농사를 지으며 살고 계시기 때문에 시골 생활의 멋과 맛을 알고 있다. 펜션지기에게서 배우는 강 낚시와 저렴하게 즐길 수 있는 홍천강 래프팅 등이 별밤의 장점이다.
88. 해밀펜션,인천광역시 강화군 길상면 해안남로619번길 14,#강화펜션#숙박#인천광역시#펜션,032-937-8222,<a href="http://www.haemilpension.net" target="_blank" title="새창 : 해밀펜션 홈페이지로 이동">http://www.haemilpension.net</a>,,서울에서 가까워 많은 이들이 찾는 여행지 중 하나인 강화도는 오가는 교통이 편리해 자가용이 없는 뚜벅이족들도 버스로 여행하기에 좋은 곳이다. 
89. 바우펜션,경상남도 거제시 일운면 거제대로 2109,#거제숙소#경상권#숙박#펜션,055-681-1763,<a href="http://peongsuri.com" target="_blank" title="새창 : 바우펜션 홈페이지로 이동">http://peongsuri.com</a>,,바우펜션은 구조라항이 내려다보이는 언덕에 자리하고 있다. 7개의 원룸형 객실로 운영되며  최근 신축 건물로 깨끗하고 넓은 실내공간으로 편안함을 제공하고 있다. 주변 명소로는 외도해상공원과 거제 해금강 등이 있다.
90. 큰갯물 콘도(콘도형 펜션),제주특별자치도 서귀포시 대포로 159,#서귀포숙소#숙박#제주도#펜션,064-738-4554,<a href="http://keungaetmul.com" target="_blank" title="새창 : 큰갯물콘도 홈페이지로 이동">http://keungaetmul.com</a>,,제주 서귀포에 위치한 큰갯물 콘도는 제주 청정 해역을 자랑하는 중문 대포리 바닷가 바로 앞에 위치하여 수려한 공간을 자랑하는 곳이다. 인근에서는 가족단위로 낚시를 즐기고  조개나 소라를 줍는 모습도 볼 수 있고 간혹 낙지나  문어 등을 잡는 것도 볼 수 있다. 놀래미  자리돔  어랭이  구리  따치돔을 잡을 수 있으며 그 자리에서 직접 회를 떠 신선한 회를 먹을 수 있다. 게다가 배를 임대하여 주변 관광도 하고 낚시도 하는 일석이조의 체험관광도 즐길 수 있다. 아늑하고 고급스러운 옥돌침대도 구비되어 있고 모든 객실의 화장실에 비데도 설치되어 있다. 콘도와 같이 횟집도 운영되고 있어 제주도의 맑은 바다에서 직접 잡아온 해산물들과 싱싱한 회도 맛볼 수 있다. 인근에는 칠녀선다리  여미지식물원  컨벤션 센터  대포동 주상절리 등의 관광지가 위치해 있다. 
91. 자드락펜션,충청남도 태안군 이원면 원이로 2535-139,#숙박#충청권#태안숙소#펜션,041-675-9908,<a href="http://www.jadrak.com" target="_blank" title="새창 : 자드락펜션 홈페이지로 이동">http://www.jadrak.com</a>,,펜션 자드락은 서해의 땅끝 마을에 자리한 큰어리골 천수답 네마지기 논둑을 걷어내고  하나  두나  세나  네나의 지중해 풍 하얀집 네 채를 마련하고  천수답에 물을 대던 포강은 연못으로 꾸미고  흘러넘치는 개울물은 그냥 보내기 아쉬워  바다와 만난 열마지기 아래 연못서 잠시 머물다가  저녁노을과 함께 서해의 맑은 파도와 만나게 하였다.
92. 마루펜션,전라북도 부안군 변산면 노루목길 8-5,#부안숙소#숙박#전라권#펜션,063-582-8558,<a href="http://www.gosapo.co.kr" target="_blank" title="새창 : 마루펜션 홈페이지로 이동">http://www.gosapo.co.kr</a>,,변산반도 고사포 해수욕장 내에 위치한 마루펜션은 넓은 바다와 소나무 숲 속이 잘 어우러진 자연 속의 펜션이다. 외부는 목조를 이용하여 자연과 잘 어우러지고  넓은 테라스와 바비큐장 등의 편의시설도 잘 갖춰져 있다. 그리고 사륜오토바이도 준비되어 있어 색다른 즐거움을 체험해볼 수 있다.
93. 펜션뷰,경기도 양평군 용문면 용문산로192번길 10-8,#숙박#양평군#양평숙소#펜션,031-774-2197,<a href="http://www.pensionview.net" target="_blank" title="새창 : 펜션뷰 홈페이지로 이동">http://www.pensionview.net</a>,,펜션뷰는 2004년 12월에 오픈하였으며 경기도 양평군 용문면에 위치하고 있다. 고급 전원주택의 분위기와 청결함을 느끼게 하는 시설물로 프라이버시가 보장되며 펜션 주위의 뛰어난 자연 경관으로 여유와 편안함을 느낄 수 있다. 서울에서 1시간 내에 닿을 수 있는 곳에 위치하고 있어 일상의 복잡한 생활을 벗어나 펜션뷰에서 편안함과 여유를 느낄 수 있다. 또한 넓고 편안한 장소가 마련되어 있으므로 언제든지 각종 가족모임  단체모임  워크샵 등의 장소로도 손색이 없다. 주위에 용문산 국민관광지  중원산  중원폭포가 있으며  뷰펜션 앞 개울가에서는 계곡 낚시는 물론 다슬기 채집과 여름에는 아이들 물놀이도 가능하다. 
94. 나무와숲펜션,인천광역시 강화군 삼산면 어류정길212번길 17,#강화숙소#숙박#인천광역시#펜션,032-933-9290,<a href="http://www.namusup.co.kr" target="_blank" title="새창 : 나무와숲펜션 홈페이지로 이동">www.namusup.co.kr</a>,,인천광역시 강화군 석모도에 위치한 나무와 숲 펜션은 서해에서 가장 유명한 민머루 해수욕장 내에 위치하고 있다. 계단식으로 배열되어 있는 객실에서 낙조를 즐길 수 있으며 주변 경관이 뛰어나게 아름답다. 객실은 12개로 준비되어 있고  카페가 있어 휴식을 취하며 여유롭게 티타임을 가질 수 있다. 부대시설로는 바비큐 장을 이용할 수 있다. 주변 관광지로는 민머루 해수욕장  보문사  천일염전 등이 있고  낚시와 등산 및 해안을 따라 드라이브를 즐길 수 있다. 
95. 선재도바다풍경,인천광역시 옹진군 영흥면 선재로170번안길 42-14,#숙박#옹진숙소#인천광역시#펜션,010-3092-9295 & 010-8614-9295,<a href="http://선재도바다풍경.net" target="_blank" title="새창 : 선재도바다풍경 홈페이지로 이동">http://선재도바다풍경.net</a>,,대부도와 영흥도 사이에 있는 선재도 바닷가에 위치한 전원주택형 펜션이다.
