여행지이름,주소,태그,전화번호,홈페이지,영업일,이미지,OVERVIEW
23. 다솔사(경남),경상남도 사천시 곤명면 다솔사길 417,#가족여행#경상권#관광지#다솔사#불교#불교문화#사찰#사찰여행#역사#역사관광지#연중무휴#자연환경#전통사찰#종교#한국불교#휴식하기좋은곳,다솔사 055-853-0283  사천시 문화관광과(문화재) 055-831-2716,다솔사  http://dasolsa.kr  ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=973c1627-c5a9-4a78-956c-0a89856d5bf2, 다솔사는 신라 지증왕 때 범승 연기조사가 창건한 역사 깊은 고찰로  임진왜란 때 소실되었는데 그로부터 10년이 지난 후인 숙종 12년 (1686)에 승려들이 힘을 모아 10년 세월에 걸쳐   중창불사로 크게 중흥했다. 그러나 62년이 지난 후인 영조 24년(1748)에 큰 불 로 말미암아   불행히도 큰 재앙을 겪었으며 같은 왕 34년(1758)에 여러스님이 또 합심하여 명부전과 대양루 그리고 사왕문을 중건했다. 그런데 1914년 12월에 또 화재가 일어나 모든 전각이 불탔으나 다행히도 대양루는 소실되지 않았으며 그 이듬해부터 3년간 중건 끝에 현존하는 것이 이   건물이다.   * 주요문화재 - 대양루  극락전  응진전  보안암 석굴      
24. 모은암,경상남도 김해시 생림면 마사로 36-228,#관광지#불교#불교문화#사찰#사찰여행#역사#자연환경#전통사찰#종교#한국불교#휴식하기좋은곳,김해시 문화재과 055-330-3921,,연중개방,,* 가야국과 밀접한 관계가 있는 사찰  모은암 *   모은암의 전설은 지리산 하동 화개의 칠불암 전설과  함께 우리나라 불교 역사에 하나의 중요한 문제를 제기하는 곳이다. 김해시 상동면과  생림면의 경계에 위치한 무척산(無隻山·해발 702.5m)은 수로왕과 가락국 불교  이야기  기묘한 바위  산정호수인 천지(天池)가 있어 더욱 신비스러운 산이다. 낙동강을  내려다보는 동면의 기암절벽 아래에 백운암이 있으며 반대쪽인 서면에 모은암이 자리하고  있다.    무척산은 김해에서 밀량 삼량진 방향으로 가다 보면  만날 수 있는데  생림면 생철리 산불감시초소 옆 간이주차장에 차를 세워두고 석굴암을  거쳐 콘크리트 포장도로를 따라 30분 남짓 오르면 도로가 끝나는 지점 바로 위 모은암(母恩庵)이  나온다. 가야불교를 일으킨 가야국은 김해김씨의 시조인 김수로왕이 세운 고대국가이다.  김수로왕은 인도에서 배를 타고 온 허황옥과 결혼  열명의 왕자를 낳았는데 그중  일곱왕자가 성불  지리산의 칠불사(亞자방으로 유명)를 창건하게 됐다.     또 김해 일대에 있는 왕후사(王后寺)·장유사(長遊寺)·부은암(父恩巖)·모은암(母恩巖)  등도 모두 가야국의 왕가와 밀접히 관련되어 있는 사찰로 가야불교의 수많은 설화를  간직하고 있는 사찰이다. 지리산의 칠불사가 왕족의 해탈을 보여주는 것이라면  김해  무척산의 모은암은 왕가의 번성을 상징하는 자연 남근석이 암자 바로 옆에 우뚝 서  있을 뿐만 아니라  모은암 경내 동굴에도 남근을 상징하는 닝가가 모셔져 있다.          * 아들이 어머니를 그리워하며 건립한 사찰의 전설 *  이처럼 가야불교는 주로 왕족의 번성과 해탈을 기본으로  하고 있다. 수로왕이 어머니를  수로왕비가 인도에 있는 어머니를  수로왕 아들 중  하나가 어머니를 그리워하며 그 은혜를 기리기 위해 지었다고 알려진 모은암(母恩庵)이  2000년 세월 풍우를 이겨내며 무척산 자락에 자리하고 있다. 모은암은 규모는 그리  크지 않으나 바위면 한 쪽에 축대를 쌓아 올려만든 불심이 보는 이의 탄성을 자아내게  한다. 한적한 산속에 쉼없이 울려퍼지는 독경소리는  나무 하나 풀잎 하나마다에  작은 메아리를 덧붙여준다. 모은암을 오르는 중간중간부터 산위를 바라다보면 바위의  형상들이 푸른빛을 내는 병풍을 한 것처럼 그 위용이 장엄하며  무척산 북서쪽에  자리하고 있는 모은암 주위에는 온통 거대한 바위로 이루어진 골산으로 아름다운  경치를 빚어내고 있다.     자연석으로 이루어져 있는 관음전으로 사용하는  15평 규모의 굴이 대웅전 뒤에 만들어 있는데  그 속에 동자를 안고 있는 관세음보살이  봉안되어 있다. 바위굴 안에는 무한한 에너지가 넘치다고 하며  이 바위를 중심으로  거대한 바위들이 모은암을 감싸고 있다. 모은암 위로는 자연 남근석 모양을 한 바위가  있으며  미륵부처 모양을 한 미륵바위가 모은암 위에서 지키고 서 있다. 그리고 대웅전  앞 검은색의 바위가 좌우로 길게 놓여 있는데 이 바위는 허황후의 어머니가 누워  있는 것이라고 한다. 이 이야기를 듣고 바위를 보고 있노라면 흡사 사람이 누워 있는  것처럼 보인다. 허왕후는 자신의 어머니가 지켜보는 가운데  기도를 올리는 자신을  모습을 보여줌으로서 어머니의 고마움 마음을 대신 하지 않았나 하는 생각이 들기도  한다. 모은암은 이처럼 온통 기암괴봉으로 가파르며 아기자기 하고 경관이 매우 좋을  만큼 만물상이라고 해도 손색이 없을 정도다.    
25. 무양서원,광주광역시 광산구 산월로21번길 26,#관광지#교과서속여행#무양서원#문화재#서원#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#전라권,광산구청 문화예술과(문화재) 062-960-8252,광산구 문화관광  http://culture.gwangsan.go.kr   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=1368409c-89c4-483b-b83d-e5b2e3bcf028, 무양서원 (武陽書院)은 고려 인종(재위 1122∼1146) 때 어의(御醫)이면서 명신인 장경공 최사전을 중심으로 그의 후손 4명(손암 최윤덕  금남 최부  문절공 유희춘  충열공 나덕헌)을 모시고 있는 서원이다. 최사전은 의술로써 벼슬에 나갔는데 왕의 총애를 받아 높은 벼슬에 오른 사람이다. 무양서원은 1927년에 탐진 최씨 문중이 전국 유림의 호응을 얻어서 세운 서원이다. 서원의 이름은 광주의 옛 지명에서 따 왔다고 하는데  강당인 이택당을 중심으로 왼편과 오른편에 합의문과 합인문이 있다. 합의문을 지나면 오른편에 동재인 성지재가 있고 왼편에는 서재인 낙호재가 있다. 또한 높은 땅 위에 담장이 있는 무양사가 자리잡고 있는데  이것은 사당 안에 함부로 들어가지 못하게 하기 위한 것이다. 원래 서원은 제사 기능과 교육 기능을 가지고 있는데  탐진 최씨 문중에서는 1945년 광산구 쌍암동에 무양중학교를 설립하여 지금까지 교육기관의 역할을 담당하고 있다.   
26. 취병조형유허비,광주광역시 광산구 비아동,#관광지#교과서속여행#문화재#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#전라권#취병조형유허비,광산구청 문화예술과(문화재) 062-960-8252,광산구 문화관광  http://culture.gwangsan.go.kr   문화재청  http://www.cha.go.kr ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=646c8b58-719b-4886-824a-91a7d67e74ef,* 취병 조형선생을 기리는 비  취병조형 유허비 *  취병선생 유허비는 광산구 비아동에 위치한 작은  공원 내에 있다. 비(碑)의 형식은 화강석 1매에 비(碑)의 지붕과 몸체[碑身]를 함께  조성하였고 기단은 별개의 돌이다. 특징은 높이보다 너비가 긴 가로형태의 양식인  점이다. 즉 비의 총높이 95cm  너비 120cm  두께 28cm이며 문기(文記)는 모두 346자(字)로  음각문(陰刻文)이다.    * 한일관계사의 주요 자료 &lt 부상일기&gt 의  조형 선생 *  조형(趙珩)(1606∼1679년)은 조선시대 현종(顯宗)때의  문신으로 자(字)는 군헌(君獻)  호(號)는 충정(忠貞)이며 본관(本貫)은 풍괴(豊壞)이다.  1630년(인조8년) 명경관(明經科)에 급제하여 사국(史局)에 재임할 때 허목(許穆)의  사건에 관련되어 부여(扶餘)에 귀양갔다. 1655년 대사간 겸 통신상사(通信上使)로  일본에 갔다가 돌아와 병조참판  경기도 관찰사  도승지  대사헌을 역임하였으나  1675년 장열대비의 복제문제로 인하여 경기도 양주(楊洲)에 추방되었다. 1665년에  조선통신사로 일본을 다녀와 《부상일기(扶桑日記)》를 기록하였는데 이는 17세기  한일(韓日) 관계사의 중요 자료이다.   현재 하남의 안청동에는 풍양 조씨는 살고 있지  않으며 조형 선생의 후손은 없고 경기도에 친  인척이 있다고 하지만 유허비는 방치되어  왔다. 광주 출신으로서 여러 역사서에 기록된 인물도 흔치 않고  또한 광주시 일원에는  학술적 가치를 가진비는 더욱 없으므로 이 비는 취병선생에 대한 연구와 지방사 연구(地方史  硏究)  금석학(金石學) 관련 연구에 귀중한 자료가 될 것이다.    * 소유자 - 국유  * 수량 - 1기   * 시대 - 1873년(조선 고종 10년)  
27. 용진정사,광주광역시 광산구 본량동서로 180-48,#관광지#교과서속여행#문화재#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#용진정사#전라권,광주광역시 광산구청 문화예술과(문화재) 062-960-8252,광산구 문화관광  http://culture.gwangsan.go.kr   문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=bb0bbd0e-7492-4b5e-9a9d-93b6d693154c,* 호남 의병활동의 본거지  용진정사 *  용진정사는 용진산 남쪽의 산록에 자리잡고 있다.  한말의 도학자 후석(後石) 오준선(吳駿先:1851∼1931)이 일본이 한국을 병탄하자  망국의 한을 달래면서 용진산에 강당을 짓고 후진 양성에 힘쓴 곳으로서 한말 호남  의병활동의 본거지이기도 하였다. 이곳은 원래 용진사가 있던 곳으로 삼봉 정도전   우암 송시열 등이 다녀갔던 곳으로 전해진다.   절이 허물어진 뒤 청안이씨들이 그 터를 가지고  있었으나  후석이 정사를 짓는다는 말을 전해듣고 옛 절터의 상대와 중대를 희사함으로써  정사를 지을 수 있었다. 후석이 별세한 뒤 문인들이 정사 동쪽에 3칸의 용진영당(湧珍影堂)을  세우고 1924년 석지 채용신이 그린 초상화를 모셨다. 영당의 좌우벽에는 큰아들 북파  오헌수와 둘째 아들 도호 오동수의 영정이 함께 걸려있다.   * 일제강점기의 의병  후석 오준선 *  후석은 본관이 나주이며 광산구 도덕동 도림마을에서  오하규의 아들로 태어났으나 백부 향규에게 입양되었다. 8세 때부터 이웃에 사는  친척 오태규로부터 사서와 근사록을 배웠다. 이어 18세 때부터 노사 기정진에게 배웠으며   이를 계기로 송사 기우만  식재 기재  현와 고광선 등과 사귀었고  전재 임헌회   입재 송근수 등에게서 학문의 폭을 넓혔다. 그의 학문 체계는 경학  성리학  예학   의리론 등의 영역에서 찾을 수 있다.    1910년 일제는 명사들을 회유하기 위하여 은사금이라는  금품을 지급하여 하였는데  이를 거절하자 헌병대로 끌려 가 갖은 협박을 가했으나  끝내 받기를 거절하였다. 이후 1917년 용진산에 들어가 1931년 세상을 떠날 때까지  후학을 가르치니  문하생이 600여명에 이르렀다. 1919년 고종이 승하 하시자 문하생들과  용진정사 앞의 바위에서 통곡하였는데  그뒤 이 바위를 읍궁암(泣弓岩)이라 불렀고    원수를 갚기 전에는 상복을 벗을 수 없다. 하여 일생동안 백립을 쓰고  지냈다. 명정에 조선유민이라 쓰도록 유언하였다. 1934년에 그의 학문적 체계를 정리한  문집 25권 12책이 간행되었다.    [문화재 정보]  지정종목   문화재자료  지정번호   광주문화재자료 제7호  지정연도   1985년 2월 25일  시대   조선   종류   가옥  
28. 백지사터,전라북도 익산시 여산면 영전길 2-95,#관광지#교과서속여행#백지사터#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#전라권#종교성지,익산시 역사문화재과 063-859-5792  익산역 관광안내소 063-859-3825(09:00 ~ 18:00)  *매주 월요일  1월1일 설날/추석 당일 휴관,익산 문화관광  http://www.iksan.go.kr/tour ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=cd1b60e2-8f15-46fe-a89f-3cddf451e808,백지사(白紙死)터 성지는 동헌에서 내려다 보이는  곳으로 대원군 집정 때인 1866년 병인 박해가 계속 진행되어 대학살이 감행되는 동안  천주교 신자들을 처형한 곳이다. 얼굴에 물을 뿜고 백지 붙이기를 여러번 거듭하여  질식사시키는 방법으로 일명   도모지사(塗貌紙死)   라고도 하며 쇄국 정책의 분노와  증오에 양심과 신앙 자유가 질식한 곳이다. 옛동헌 뜰에는 박해 사실을 증명하듯이  대원군의 척화비가 서 있다. 
29. 국립 두타산자연휴양림,강원도 평창군 진부면 아차골길 132,#가족여행#강원권#걷기길#관광지#국립두타산자연휴양림#나들이#두타산#여름여행#연인과함께#자연#자연&숲#자연좋은곳#치유#피서여행#힐링,두타산자연휴양림 033-334-8815,국립자연휴양림  http://www.huyang.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=3e363718-166f-4a59-91b1-ac0c95dcd4a7,두타산(박지산)자연휴양림은 강원도 평창군 진부면과 정선군의 경계에 해발1357.0m의 두타산 자락에 위치한 산악형 자연휴양림으로 관광자원이 풍부하고  진부IC에서 20분거리에 위치하며  진부~정선간 59번 국도와 접하고 태백산맥의 서쪽에 위치하며 오대산에서 흘러내리는 옥수같은 맑은 물을 근원으로 청정계곡과 레저산업의 중심축을 이루는 곳에 위치하고 있다.  강원도 평창은 영서지방의 오대산을 중심으로 형성된 문화유적지 월정사와 명산으로 어우러진 노동계곡  신기계곡  수항계곡  막동계곡  장전계곡  봉산계곡이 어우러져 산촌지역의 정서와 명맥을 유지하고 있는 지역이다. 오대산에서 발원한 물줄기가 첩첩협곡을 누비며 남한강에 합류하는 길목  평창군 진부면 수항리에서 아차골로 접어들면 해발 1 394m의 박지산 칠성대가 눈앞에 아른거린다.  오소리 너구리 멧돼지 산토끼 등 산짐승과 무수한 약초들 아름들이 박달나무  잣나무  피나무가 버티고 있어 생태적으로 건강하고 든든한 산림의 한축을 볼 수 있는 곳이며  지피식생으로는 이름도 알 수 없는 이끼류가 양탄자와 같이 바닥에 깔려 있고  사람의 인기척이 없는 곳에 자리잡은 아차골의 선녀탕  토끼가 쉬어가는 샘터와 사계절 계속되는 야생화의 향연은 볼만하다.
30. 모악산도립공원,전라북도 김제시 금산면 모악15길,#가족여행#관광지#등산#모악산도립공원#생태관광#자연#자연좋은곳#전라권,김제시청 공원녹지과(공원관리) 063-540-4194  김제시청 공원녹지과(모악산서무) 063-540-4197,김제시 문화관광  http://tour.gimje.go.kr/index.gimje ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=30154cb5-cbaa-4c6c-a478-21314f8faf80,금산사  귀신사  수왕사  대원사 등을 품은 모악산은 높이 795.2m로 김제평야의 동쪽에 우뚝 솟아있어 호남평야를 한눈에 내려다 볼 수 있다. 1971년 도립공원으로 지정되었으며 호남 4경의 하나로 경관이 빼어 나고 국보와 보물 등 문화재가 많다.  특히 이곳에는 백제 법왕 원년(599년)에 세워지고 10여 점의 각종 주요문화재를 갖고 있는 금산사가 자리하고 있어  찬란한 불교예술을 살펴볼 수 있으며 모악산을 넘으면 동남쪽 중턱에 대원사  수왕사 등 사찰이 있고 서쪽으로 귀신사가 있으며  금산사 입구 금평저수지는 낚시터로도 적당하다.  모악산은 예로부터 미륵신앙의 본거지로 여겨져  증산교의 본부와 더불어 30~40년대 각종 신흥종교 집단지로도 관심을 끌어 기록에 의하면 모악산 기슭에는 대원사  귀신사  수왕사 등 사찰을 비롯 무려 80여개의 암자가 있었다고 한다. 등산을 하려면 금산사를 벗어나 심원암 뒤쪽의 능선을 따라 오른다. 봄철이면 정상까지 진달래가 만발해 꽃구경을 하면서 오를 수 있다.   정상에서는 김제평야와 만경강이 시야에 들어오고 전주시와 운장산도 보인다. 주차장에서 일주문에 이르기까지 벚꽃터널도 장관이다.
31. 두륜산도립공원,전라남도 해남군 삼산면 대흥사길 400,#가족여행#관광지#꽃여행#두륜산국립공원#등산#등산로#아이와함께#연인과함께#자연#자연좋은곳#전망좋은곳#조깅#친구와함께#휴양여행#힐링,땅끝관광지관리사업소(도립공원담당) 061-530-5543  관광안내 061-532-1330,해남군 문화관광  http://www.haenam.go.kr/tour/  두륜산케이블카  http://www.haenamcablecar.com ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=e9949987-04af-4f23-b71c-da5b174b7564,두륜산은 사찰  유적지 등이 많고 자연경관이 뛰어난 관광지로 한반도의 가장 남쪽 끝에 있는 높이 700.0m의 산으로  난대성 상록활엽수와 온대성 낙엽 활엽수들이 숲을 이룬  식물분포 학상 중요한 가치를 지닌 산이다.  또한 억새밭이 무성하며  여덟개의 크고 작은 봉우리 정상에서는 서해안과 남해안 곳곳의 다도해가 한 눈에 내려다 보인다. 또한  이 산에는 신라 진흥왕 5년 (514년) 아도화상이 세운 대둔사(대흥사)가 있으며  서산대사와도 관련이 있는 유서 깊은 곳으로  절 안에는 표충사를 비롯하여 탑산사 동종 등 보물 4점  천연기념물 1점과 수많은 유물들이 보존되어 있다. 울창한 숲이 이루는 가을 단풍과 푸르른 동백나무는 이 산의 자랑거리이다. 집단시설지구에서 사찰에 이르는  2km의 경내 도로 좌우에는 절경을 이루는 계곡이 이어지고   산자수려한 수목이 울창한 터널을 이루고 있다.  * 두륜봉 등산길 산행코스가 험하지 않아 2~3시간이면 정상에 오를 수  있다. 피안교를 건너면 구매표소가 있고  이를 지나 일주문과  비전(碑殿)을 지나면 반야교와 해탈문 갈림길에 이른다. 여기서 왼쪽으로 가면 대웅전이고 오른쪽으로 가며 천불전 서산대사유물관 그 다음 왼쪽으로 가면  대광명전으로 가는 길이 있다. 정상으로 올라가는 길이 대광명전 입구에서 부터 갈라지는 왼쪽 길을 따라 북암쪽으로 오르는 코스와 진불암쪽으로 넘어가는 코스를 많이 선택한다.  숲 속에 난 등산로를 따라 한시간 정도 오르면 가련봉 중턱에 두 점의 보물을 간직한 북암이 있다.  북암에서 동편으로 건너다 보이는 고계봉 능선에는 소사나무의 군락이 등산로의   흔적조차 찾기 어려울 정도로 우거져 있다. 북암에서 맑고 시원한 약수로 목을 축이고 두륜봉쪽으로 20여분 빠져 나오면 잡초가 무성한 터 한편에 외로이 서 있는 5층 석탑이 두륜봉 정상을 정면으로 바라보고 있다. 이곳이 만일암터이다. 만일암터를 지나 나무가지를 헤치고 샛길을 빠져나가면 몇분이 지나지 않아 천년수라 불리는 수령 천년이 넘은 거목 느티나무가 뒷짐진 산신령처럼 우뚝 서 있다. 둘레를 장정 7~8명이 팔을 옆으로 뻗어야 하는 이 나무는 오랜 세월동안 수없이 많은 등산객들이 어루만지고 지나가 손닿는 곳이 번들거린다.  천년수에서 40여분 올라 정상에 가까이 오면 630m 두륜봉 바로 아래 제법넓은 갈대밭이 있다. 이곳 갈대밭 언덕배기로 불어오는 후련한 바람을 맞으며 구름다리(양쪽바위가 연결된 다리로 산안개가 갠날이면 아래쪽에서 보아 구름사이에 있는 다리처럼 보여 구름다리라 명명하였다.)를 오른다. 어른 서너발이면 지날 수 있는 작은 다리이다. 구름다리를 지나 정상에 오르면 어디까지인지도 모를 산자락들이 장업하게 펼쳐진다. 영암 월출산과 강진만  완도  진도  신안 앞바다 점점이 떠있는 다도해의 풍경들. 이렇듯 자신을 휘감고 도는 정상의 경관들에 두륜산 정상에서 맞이하는 일출의 감동까지도 경험할 수 있다면 그 감동은 쉽게 잊혀지거나 빛바래지 않을 것이다.
32. 명물닭갈비,강원도 춘천시 금강로62번길 8,#맛집#음식,033-257-2961, http://www.dacgalbi.co.kr ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=54fa27a1-8321-495d-bc1f-f299bc40e6c6,※ 영업시간 10:00 ~ 23:00 (주문마감 21:00)  명물닭갈비는 주류를 판매하지 않는 닭갈비 골목에서 유일하게 주류 판매를 하고 있는 곳이다. 매콤한 닭갈비에 술이 한잔 생각날 때는 명물닭갈비를 찾으면 될 것이다.
33. 돼지문화원,강원도 원주시 지정면 송정로 130,#가족여행#강원권#관광지#글램핑#돼지문화원#등산로#미식여행#사계절#아이와함께#여름휴가#연인과함께#친구와함께,돼지문화원 1544-9266,돼지문화원  http://www.돼지문화원.com ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=67ba3ac1-22fc-42b6-8f59-c519208feeab,아주 오래전부터 다복의 상징으로 여겨진 돼지는 기쁠 때나 슬플 때나 서민들의 배 뿐만 아니라 마음까지 채워주는 우리 생활 속에 아주 가깝게 자리 잡고 있는 동물입니다. 이러한 돼지를 음식으로 만이 아닌 보고  듣고  즐길 수 있도록 설립한 장소가  돼지문화원  입니다. 돼지문화원은 전국 최초로 돼지를 컨셉으로 가족  친구  연인 누구나 함께 즐길 수 있는 레저  숙박  교육  쇼핑 공간을 갖춘 멀티 복합문화 공간입니다. 아이들에게는 꿈과 희망을 주고  어른들은 낭만을 즐길 수 있는 특별히 꾸며진 공간입니다. 
34. 도봉산,서울특별시 도봉구 도봉산길,#가족여행#관광지#당일치기여행#도봉산#등산#등산로#사계절#서울근교여행#아이와함께#연인과함께#자연#자연좋은곳#친구와함께#힐링&휴양여행,북한산도봉사무소 031-828-8000,북한산국립공원  http://bukhan.knps.or.kr ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=656006bb-0e2f-4ac4-a78d-de4418c2dc37,북한산국립공원내 동북쪽에 있는   도봉산  은 최고봉인 자운봉(740.2m)을 비롯하여 만장봉  선인봉  주봉  오봉  우이암 등의 암벽이 아름답기로 이름난 산인데 특히  선인봉 암벽 등반코스로는 박쥐코스 등 37개 코스가 개척되어 있다.  북한산 및 도봉산 지역의 60여 개 사찰 중 제일 오래된 건축물인   천축사  를 비롯하여 망월사  회룡사 등의 절과 도봉계곡  송추계곡  오봉계곡  용어천계곡 등 아름다운 계곡을 안고 있으며  교통이 편리하여 서울시민이나 근교 주민들에게 더없이 인기있는 하루 등산지이다.
35. 국립 방장산자연휴양림,전라남도 장성군 북이면 방장로 353,#관광지#국립방장산자연휴양림#등산#자연#자연좋은곳#전라권#휴양여행#힐링여행,방장산자연휴양림 061-394-5523,국립 방장산자연휴양림  http://www.huyang.go.kr/comforestmain.action  ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=722e2a13-c1b6-462c-9226-f942a1c29d48,전남 장성과 전북 고창  정읍 경계에 솟은 방장산은 내장산 서쪽 줄기를  따라 뻗친 능선 중 가장 높이 솟은 봉우리이다. 지리산  무등산과 함께 호남의 삼신산으로 추앙받아 왔으며 주위의 내장산  백암산  선운산 등의 명산을 지척에 두고 있으면서도 결코 기세가 눌리지 않은 당당함을 보이고 있다. 지리산을 달리 방장산이라고 부르는 것처럼 신이 살 듯한 신비로운 산에만 붙이는 이 이름은 청나라에 멸망한 명나라를 숭상하던 조선조의 선비들이 중국의 삼신산 중의 하나인 방장산과 비슷하다 하여 붙여진 이름이라 한다. 조선시대까지만 해도 방등산이라고 불리웠으며 백제가요인 방등산가는 바로 이 산을  무대로 해서 지어진 노래이다. 먼 옛날 방등산에 숨어든 도둑의 무리들이 한 여인을 납치해갔다. 남편이 구해주기만을 애타게 기다렸으나 남편이 나타나지 않는 바람에 울다가 지쳐서 부른 노래가 방등산가라는 것이다.  이 곳 방장산 중턱에는 방장산 자연휴양림이 위치하고 있다. 2000년 7월 1일 문을 연 것으로 서부지방 산림관리청(전북 남원 소재)에서 순창 회문산 자연휴양림  무주 덕유산자연휴양림  진안 운장산자연휴양림  장흥 천관산자연휴양림  함양 지리산자연휴양림  남해 편백자연휴양림과 함께 방장산휴양림을 관리하고 있다. 휴양림 내에는 참나무류와 소나무  편백  낙엽송  리기다소나무 등이 많이 자라고 있으며  고창 방면으로 난 임도를 따라가면 벽오봉(640m)과 고창 고개 중간의 능선에 닿는다. 이곳에서는 고창 읍내와 서해바다가 내려다보인다. 고창고개를 지나 장성갈재 방면으로 조금 더 가면 방장산 정상이다. 휴양림에서 정상까지는 왕복 3시간이 소요되며 석정온천으로 곧장 하산하는 산길도 나 있다. 주능선에 오르면 서해로부터 불어오는 시원한 바람을 맞이할 수 있는데 이 덕분에 패러글라이딩 동호인들이 종종 이곳을 찾기도 한다.  * 높이 - (733.6m) * 구역면적 - 674 ha
36. 프레이저 플레이스 센트럴 서울,서울특별시 중구 통일로 78,#숙박,02-2220-8000, http://www.fpcs.co.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=8ce2e4b9-6b7e-4b52-8e04-409acc632a79,※ 기준인원 초과 시 1인당 44 000원 추가요금 (세금포함) ※ 반려견 동반 시 1마리 33 000원  2마리 55 000원 (최대 2마리까지 허용 가능  10kg 미만  세금포함)  2006년 7월에 문을 연 프레이저 플레이스 센트럴 서울은 스튜디오부터 펜트하우스까지 총 272개의 객실을 보유하고 있다. 장∙단기 투숙 고객의 편의를 위한 전 객실의 주방 시설이 완비되어 있으며  스튜디오 외의 객실은 침실과 거실이 분리되어 있어 프레이저 플레이스 센트럴 서울만의 차별화된 서비스를 느낄 수 있다.   또한  가족단위로 머무는 고객들을 위한 실내 수영장과 어린이 풀장 및 어린이 놀이방이 있어 아이들에게 보다 안전하고 재미있는 공간을 제공한다.
37. 축령산자연휴양림,경기도 남양주시 수동면 축령산로 299,#관광지#나홀로여행#생태관광지#숲치유#자연#축령산자연휴양림#힐링,휴양림 관리사무소 031-592-0681,축령산자연휴양림   http://farm.gg.go.kr/sigt/41 ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=ac5f2d35-5910-4a81-9956-eafbf6219bf7,* 자연을 벗삼아 휴양할 수 있는 공간  축령산자연휴양림 * 축령산은 남양주시와 가평군에 걸쳐있는 해발 887.1m의 산으로 숲이 울창하고 계곡이 아름다운 산이다. 조선왕조를 개국한 이성계가 고려말 사냥을 왔다가 짐승을 한 마리도 잡지 못하였는데 몰이꾼이 이 산은 신령스러운 산이라 산신제를 지내야 한다고하여 산 정상에 올라 제를 지낸 후 멧돼지를 잡았다는 전설이 있다. 이때부터 고사를 올린 산이라 하여  축령산이라고 불리게 되었다고 한다. 1995년 7월 1일 문을 열어 현재 경기도에서 직영 관리하고 있는 휴양림으로 50년생 잣나무림이 잘 가꾸어져 있고  축령산 정상으로 오르는 등산로 입구에 있는 잣나무 산책로는 하늘이 보이지 않을 정도로  우거져 있어 신비감마저 든다. 779ha의 넓은산림에 산림욕장  체육시설  물놀이장  야영장  자연관찰장 등이 있어 가족단위의 휴양공간으로 손색이 없으며 하루의 산행코스로도 적합한 곳이다.  * 축령산자연휴양림 인근 관광지 * 주변에는 사계절 전천후로 이용가능한 천마산스키장  풍부한 수량과 모래사장을 갖추고 있는 수동계곡 국민관광지가 있으며  가는 도중 구한말 열국의 각축에 휘말려 뜻을 펴지 못한 채 망국의 비운을 겪은 조선조 마지막 두 왕과 왕비가 묻힌 금곡의 홍.유능(고종  순종)에 들러 참배와 역사 탐방도 함께 할 수 있다.
