이름,주소,태그,전화번호,홈페이지,운영시간,이미지,소개
22.한국전통문화전당, 전라북도 전주시 완산구  현무1길 20 ,#전주#문화공간#관람시설, 063-281-1500, http://www.ktcc.or.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/7a5fe1eb-8a36-46ea-bd3f-8f089ad4c281.jpg.png,한국전통문화전당은 한국적 정체성을 대표하는 글로벌 브랜드로 도약하기 위해 전통문화의 대중화 · 산업화 · 세계화를 추진하고 있습니다. 전통문화의 가치를 체계화하여 차별화 콘텐츠 개발의 기반을 마련하고 창의적 아이디어의 적극적인 지원으로 전통문화를 확대와 활성화에 기여하고자 합니다.품격의 도시이자 사람의 도시인 전주의 한국전통문화전당은 여러분들이 즐기고 관광하며 체험하는 열린 공간입니다. 이곳은 국내외에서 주목받는 한지(한지산업지원센터) 한식(한식창의센터 유네스코 음식창의도시) 한옥(한옥마을 국제슬로시티) 공예(천년전주명품 ‘온Onn’ 브랜드)를 갖고 있습니다. 한지 및 17개소 공방 음식조리 체험 등을 경험 할 수 있는 ‘한(韓)문화 융합 거점’으로 전 세계에 한문화를 널리 알리고자 합니다.한국 전통문화를 읽어내고 과거와 현재 미래가 소통하는 곳으로 차세대 교육과 문화 산업을 결합하고 재해석해 한문화를 창조적으로 발전시키고 인재육성이 힘쓰고자 합니다.- 시설교육실 세미나실 소회의실 기획전시실1·2 공연장 음식조리체험실(시루방) 홍보관(전주·한 문화관) 지하주차장- 공방(17개소) 도자 손바느질 한지공예 목공예 캐릭터 염색 한지인형 한글 유기 가죽 발효음식 칠보 한지사 리본공예 우리밀 침선-센터한지산업지원센터 전통문화창조센터 한식창의센터한국전통문화 홍보관 개요1) 시설목적 가. 한지 한식 한옥 한글 한소리 등 한(韓)문화 중심 전통문화 홍보의 장(場) 마련나. 전통문화를 간접적으로 체험해 봄으로써 한국의 우수 전통문화에 대한 이해 제고2) 시설현황가. 장    소 : 전주시 완산구 현무1길 20(열림동 1 2층)나. 면    적 : 전주문화관(1층) 739.77㎡ 한문화관(2층) 618.93㎡다. 주요내용 : 전주와 한문화 스토리텔링 자료 구축·홍보1F 전주문화관 전주 문화의 감성 전달(매체를 통한 지식과 정보 체험)- 구성 : 환영의 공간/전주이야기/전주 시티뷰(한국관광의 별)/전주마당/전주 옛이야기/천년의 어울림 전주/전주의 길- 지향가치 : 전주 느끼기- 전시내용 : 전주의 감성 감각 이미지 느낌 - 전시방법 : 영상 사운드 키오스크 패널 빛- 스토리텔링(Story Telling) :·가장 한국적인 도시 전주의 느낌 전달/·전주 도시를 대표하는 메시지 시각화/ ·휴식과 명상 속의 디지털 이미지/·하프서클 영상으로 임팩트- 정보유형 : ·추상화된 메타포를 통한 이미지/·촉각 청각 시각 신호 전달/·아날로그 감성의 정보 지식- 경험 :·공감각적 기억/·명상과 휴식 속의 반성적 경험2F 한문화관 전주 문화의 실제 전달(실물 및 이미지 체험)- 구성 : 도입부/자연과 사람을 품은 한옥/결이 고운 한지/흥 넘치는 한국음악/우리 얼을 담은 한글/음식창의도시 전주- 지향가치 :한문화 바로 이해하기- 전시내용 : 한옥 한지 한소리 한글 한식- 전시방법 : 실물 패널 키오스크 영상- 스토리텔링(Story Telling) : ·전주 대표 한국전통문화 실체 만나기/·한국전통문화와 전주와의 교점/·한옥-한지-한소리-한글-한식의 순차적 체험- 정보유형 :·실물 보고 만지기/·제조 과정 명인 등 지식 전달/·전주 내 한문화 관련 정보검색/·구체적 실제적 효용의 정보-경험 :·한문화 지식의 이해/·필요 정보의 검색 출력/·한문화 종류 파악 : 비교운영계획가. 운영시간  1) 휴  관 : 매년 1월 1일 설 및 추석 당일은 13:00 ~ 18:00 운영2) 운영시간 : 09:00 ~ 18:00나. 운영인원 및 근무방식- 운영인원 : 총 3명(도슨트 1인 문화해설사 2인) 근무다. 관람방식1) 개인 : 운영시간 내 별도 제한 없이 관람 가능2) 단체 : 10명이상(전시품 보호 및 관람질서 유지 위한 사전예약)3) 예약신청• 전화를 이용해 5일 전까지 예약 신청 가능• 예약 없이 방문 시에도 내부 혼잡 없다면 관람가능• 예약문의 : 한국전통문화 홍보관 063)281-15924) 예약관람 • 예약시간 10분 전까지 도착(방문시간 경과 시 자동 예약취소 처리)• 전시설명 필요하면 예약 시 사전요청 및 예약 없을시 상시 해설 운영5) 취소 : 예약취소는 3일 전까지 가능라. 관람 예상소요시간전주문화관 자유관람/전시설명 : 개인(15분/20분) 단체(20분/40분)한문화관 자유관람/전시설명 : 개인(15분/20분) 단체(20분/40분)
23.한옥마을 아트홀, 전주시 완산구 경기전길 42번  ,#전주#문화공간#관람시설, 063-282-1033, http://cafe.naver.com/woodmge, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/e43c5145-6acf-48a7-8075-c60d32697f2e.jpg.png,전주한옥마을과 동문예술거리를 잇는 거리에 위치한 한옥마을 아트홀은 (前우듬지소극장) 2008년 7월 5일 개관하여 매년 창작초연작을 발표하고 전북최초 2년 연속 150일간의 장기공연과 년250일 정도의 공연을 진행하였습니다. 또한 자체 창작극 위주의 공연으로 오직 전주한옥마을 아트홀에서만 관극하실 수 있는 연극작업을 하는 곳입니다.  [한옥마을 문예열전-마이크없는 소리]와 [동문예술거리 젊은연극제]등을 개최하며 새로운 기획을 시도하고 있으며 2013년 10월 우듬지소극장에서 한옥마을 아트홀로 명칭을 바꾸고 재개관한 후 2014년 5월~2017년 5월까지 [Play 30 project-3년동안 30편의 연극공연]을 진행하고 있는 전천후 연극전용공간입니다.
24.한옥마을선비문화관, 전주시 완산구 한지길 102  ,#전주#문화공간#관람시설, 063-288-5124,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/0270def3-7b80-4d6a-b902-957150885212.jpg.png,100년 전 전주를 거닐다전통 문화의 도시 전주의 이름을 드높인 선비들의 삶과 사상 그리고 예술세계를 감상할 수 있는 공간이다. 특히 일제강점기 한옥마을로 모여들었던 선비들의 모습을 통해 지금과는 달랐던 100여 년 전 한옥마을을 느낄 수 있다. 단순히 보는 전시에서 벗어나 선비들의 생활과 생각을 체득할 수 있는 체험 시설과 프로그램들이 준비되어 있으며 전시관 입구에 마련된 한옥마을 지도는 전주 선비들의 발자취를 담고 있어 색다른 한옥마을 여행길을 제공한다.  
25.한옥마을역사관, 전주시 완산구 최명희길 17-10  ,#전주#문화공간#관람시설, 063-286-5125,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/16d2fe64-2a9e-4a27-a36d-f238e3cf37e6.jpg.png,시설개요규모대지(476.1㎡) 건물(98.64㎡) / 한옥 2동 주요시설기획전시실 상설전시실·사무실 놀이마당 상설전시실 - 전주 한옥마을의 형성과 변천과정 소개기획전시실 - 한옥마을 옛 사진 특별전관람시간매주 화요일~일요일 10:00~18:00 (월요일 휴관)한옥마을역사관 해설프로그램 운영① 정기해설 운영시간매주 토․일요일 14:00 / 15:00집결장소역사관 상설전시실 앞 마당(예정)해설인원2명운영내용관광객이 집중되는 토․일요일 운영(1일 2회씩)상설전시실 및 기획전시실 순회해설(약 30분 내외)집결인원(20명 기준)에 따라 각 전시실 해설인원 배치  ※ 성수기 및 공휴일 정기해설 탄력적 운영② 수시해설 운영시간매주 화~금요일 10:00~18:00해설인원1명운영내용평일(월요일 제외) 비정기적 운영(수시)일반해설은 관람객들의 요청에 따라 탄력적으로 운영단체해설은 사전 예약한 단체(20명 이상) 우선순위로 진행 ※ 수학여행 소풍 관광시즌에 단체관광객 집중 * 정기해설은 5분전까지 집결장소로 모여주세요. ** 단체해설은 정기해설시간에는 진행이 불가합니다. *** 해설예약은 역사관 업무시간(10:00~18:00)에만 가능합니다.
26.한지산업지원센터, 전라북도 전주시 완산구 현무1길 20  14-2 ,#전주#문화공간#관람시설, 063-281-1530, http://www.hisc.re.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/36ae0f33-d683-4a55-9d84-3675682d4284.jpg.png, 한지산업지원센터는 한지의 문화와 산업을 종합적 체계적으로 연구 개발 교육하는 전국 최초의 한지관련 R&D 연구기관이자 전시 체험 홍보 교육 공간을 동시에 보유 활용하고 있는 신(新) 융복합 형태의 우리나라 유일무이한 한지관련 전문기관입니다.  2010년 지하 1층 지상 4층 규모로 건립됐으며 전시 및 한지체험 공간으로1층 상품전시실 한지문화체험실 한지제조체험실 2층 홍보관 및 기획전시실 등을 갖추고 있으며 3~4층은 연구개발·교육 공간으로 활용되고 있습니다. 특히 1층 상품전시실에선 생활용품에서 인테리어용품 의류까지 다양한 한지 제품과 응용 문화상품들을 전시하면서 일반인의 수요를 유도 한지관련 업체에 바로 수익이 창출되도록 연계시키고 있으며 한지제조실은 동시에 40여명이 한지를 직접 만들어 볼 수 있으며 한지문화체험실에선 다양한 한지문화체험을 창의적으로 디자인해 볼 수 있습니다.  2층 홍보관은 영상 등 멀티미디어 매체를 통해 한지의 역사와 제조 과정 신소재로서의 다양한 기능까지 볼 수 있는 공간이며 기획전시실에선 연중 다양한 기획전시를 계획 운영하고 있습니다.  한지산업지원센터에 오시면 한지의 모든 것을 보고 느끼고 체험할 수 있습니다.[주변정보] 경원동 옛 전북도청 2청사에 위치해 있으며 전주 한옥마을 전주 시내권 및 전주 시청에 인접해 있다.
27.공예공방촌1단지(꽃숙이), 전주시 완산구 한지길 68-8 ,#전주#문화공간#전통시설, 063-282-7074, http://blog.daum.net/aldud-aldud, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/0d5e412e-f89c-4ece-828b-329e5ff22e20.jpg.png,한옥과 한지가 조화를 이루는 아름다운 공간에서 국내외국인이 체험(단체개인)과 교육을 하는 공간이며 韓art space에서는 프랑스에서 145년만에 귀환한 외규장각 의궤(영조 정순왕후 가례도감)가 한지조형(닥종이인형)으로 재현되어 상설전시 하고있다.박물관 파노라마 주문 작업과 한지문화 관광상품 개발을 진행중이다.
28.전주소리문화관, 전북 전주시 완산구 한지길 56 ,#전주#문화공간#전통시설, 063-231-0771, http://www.sori.jjcf.or.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5f880add-3e1c-48bd-9fba-9778b49f0a00.jpg.png, 
29.전주전통문화연수원, 전북 전주시 완산구 향교길 119-6 ,#전주#문화공간#전통시설, 063-288-9242, http://www.dongheon.or.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/31fcbcdc-6884-429c-9305-bf7e7b761b13.jpg.png,전주동헌 장현식고택(안채중간채) 임실진참봉고택(사랑채) 정읍고택(별채)로 구성되성 있음
30.전주자수민속박물관, 전주시 완산구 최명희길  9 ,#전주#문화공간#전통시설, 063-288-6138,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/ecab8e37-196b-4fc1-8f00-b00a6ac67b69.jpg.png, 영업시간 따로 없음 월요일 휴관 화~일요일 개관 외국 관광객들의 큰 호응을 얻음
31.전주한벽문화관, 전주시 완산구 전주천동로 20  ,#전주#문화공간#전통시설, 063-280-7000, http://www.jt.or.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/58d06b79-7f61-4f3c-b0c1-5a5b04e2fb43.jpg.png,개관에서 현재까지전주한벽문화관은 연간 7~10만 명이 이용하는 전주 한옥마을 대표 복합문화시설로 2002년 8월 10일 ‘전주전통문화센터’라는 명칭으로 개관하였다. 설립의 목적은 전주 한옥마을 부흥에 발맞춰 시민 및 관광객을 대상으로 문화서비스를 제공하고 전주 문화 발전에 기여함에 그 목적이 있다.주요 사업으로는 전주 전통예술의 근간이라 할 수 있는 판소리를 비롯한 다양한 장르의 공연예술을 실연함으로써 전주 문화예술 진흥에 이바지하고 대한민국 전통문화의 명맥을 잇는 전통혼례식 전통문화교육체험 운영을 통해 전통문화의 계승·보전·발전에 이바지하고자 한다.한벽문화관 시설한벽공연장예술공연의 새로운 보금자리인 한벽공연장은 전라도의 전통음악과 춤을 비롯해 다양한 현대음악 무용 등의 공연으로 새롭게 채워지고 있는 펼쳐지는 공간입니다.기획공연과 극 타악 협력공연 등 다채롭게 어우러진 공연을 만날 수 있습니다.화명원는 뜻으로 부부가 금슬 좋게 잘 화합한다는 의미를 가지고 있으며 조선시대 사대부 양반집을 연상하게 하는 전통한옥의 멋이 잘 살아 있는 곳입니다.전통한옥의 대청마루를 그대로 재연하고 있는 전통혼례식장 화명원은 뜻깊은 축복을 함께 나눌 수 있는 곳으로 혼례와 회혼례 금혼식 은혼식 등 잔치뿐만 아니라 전통혼례에 대한·설명을 듣고 직접 혼례의상을 갖추어 전통혼례체험을 할 수 있습니다.경업당는 의미를 가진 전주한벽문화관의 교육체험관인 경업당은 전통의 숨결을 고스란히 느끼고 체험할 수 있는 공간으로 전통한옥의 멋스러움까지도 느낄 수 있습니다.연령에 무관하게 모여 다양한 문화를 배우고 익힐 수 있는 공간임과 동시에 소규모 공연이 이루어 지는 공간입니다. 조리체험실비빔밥 체험을 비롯한 음식체험을 위한 조리체험실은 조별로 체험이 이루어 질수 있도록 조리시설이 갖춰져 있으며 청결하고 깔끔하게 정돈되어 있습니다.
32.최명희문학관, 전북 전주시 완산구 최명희길 29 ,#전주#문화공간#전통시설, 063-284-0570, http://www.jjhee.com, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/2cf52540-e1f1-4e8c-8eb4-124d6ef7c0ce.jpg.png,‘혼불’의 작가 최명희. 그의 문학적 성과를 기리기 위한 최명희문학은 전주 유일의 문학관이다. 작가로서의 최명희와 그의 작품을 발굴하고 재조명하는 사업을 중심에 두면서도 전주시민들이 문학과 창작에 관심을 가질 수 있는 다양한 문학행사도 열고있다. 또한 지역의 문화예술인들이 소통하는 공간이자 한옥마을 내 명물로 자리 잡았다.
33.전통술박물관, 전북 전주시 완산구 한지길  74 ,#전주#문화공간#전통시설, 063-287-6305, http://urisul.net, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/484576b9-0ba9-42e0-b809-9c32d29f41dc.jpg.png,전통술박물관은 전래주의 맥을 찾아 집집마다 술을 빚던 가양주의 전통이 오롯이 살아있는 공간이다. 우리 전통술들을 전시ㆍ판매하며 우리 고유의 주조방식을 배우고 직접 빚어보기도 하는 체험형 박물관이다. 양화당(釀和堂)에서 술 빚는 과정을 알아보고 술 익는 소리와 향에 취했다면 계영원(誡盈院)에서는 ‘계영배’를 통해 적절한 주도(酒道)와 전국의 전통주를 구경해 보자.
34.완판본 문화관, 전북 전주시 완산구 전주천동로 24 ,#전주#문화공간#전통시설, 063-231-2212, https://wanpanbon.modoo.at/, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/b5541205-d3b2-4047-b686-6aeb70101aec.jpg.png, 
35.승광재, 전북 전주시 완산구 최명희길 12-6 ,#전주#문화공간#전통시설, 063-284-2323,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/83d6ebb2-6663-46c6-849e-006d4da6d372.jpg.png,대한제국 황손의 집 승광재입니다.
36.강암서예관, 전북 전주시 완산구 전주 천동로 74 (교동) ,#전주#문화공간#전통시설, 063-285-7442, http://www.gangamseoye.com, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/f05a3efa-b2c1-4472-9d85-2d8d49542139.jpg.png,붓끝에 서린 전주의 숨결 국내 유일의 서예전문전시관으로 이 고장출신의 서예가 강암 송성용의 뜻으로 세워졌다. 추사 김정희 창암 이삼만 단원 김홍도 다산 정약용 등 송성용선생이 평생에 걸쳐 수집한 국내 유명서예가의 작품 1천여 작품을 전시하고 있다. 예향 서예의 도시 전주의 분위기에 흠뻑 취할 수 있다. 전주의 관문이라 할 수 있는 호남제일문과 호남제일성의 현판도 강암 송성용 선생의 휘호이다
37.목우헌, 전주시 완산구 기린대로  88 ,#전주#문화공간#전통시설, 063-286-9285,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/5762b7fc-8b3b-4b6b-a81c-9896d7b74d59.jpg.png,목공예에 녹아있는 장인의 숨결 목우헌 목우헌은 기능전승자(2005-2호) 김종연 선생의 전시관이자 작업실로전통과 현대 공예작품을 관람할 수 있는 곳이다. 전시된 작품은 전통목침 다식 약과틀 서각 조형 작품 등 생활용품과 장식품들이다. 
38.고전번역교육원, 전북 전주시 완산구 경기전길 125-7 ,#전주#문화공간#전통시설, 063-283-5251, http://www.itkc.or.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/e45fa680-fdb3-4f7c-8ebf-315237192487.jpg.png,3년간의 야간교육이 주 4일째로 있습니다.
39.전주전통한지원, 전북 전주시 완산구 한지길 100-10 ,#전주#문화공간#전통시설, 063-212-9069, http://www.hanzi.co.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/30f968e0-a37b-46c1-8a53-44fe89687fec.jpg.png,전통 한지제조 기법이 오롯이 재현되는 전주전통한지원 전주전통한지원은 천년 정신이 담긴 순수 우리한지만을 생산하는 곳이다. 이곳에서 생산되는 한지의 80% 이상이 일본에 수출되고 나머지는 국내에서 소비되고 있다. 한지는 다른 종이들과는 달리 조상들의 장인정신이 배어 있는 소중한 유산으로 한지 자체가 하나의 예술품이다. 이곳에서는 한지뜨기 무늬넣기 말리기 등의 한지 제작 과정을 배워볼 수 있다. 
40.전주건지도서관, 전주시 덕진구  호성로 25  ,#전주#문화공간#도서관, 063-281-6606, http://lib.jeonju.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/92a40c2f-040e-4ca2-a6a3-be6d626214af.jpg.png,2015년 4월 14일에 개관한 건지도서관은 동부권 시민들의 지식 정보 및 문화활동 중심 공간으로서 역할을 수행하고 있습니다.규모 : 지상2층 / 부지(5359㎡) 건물(1472.84㎡)운영시간 및 휴관일   구분자료실열람실일반자료실어린이자료실3월~10월11월~2월    운영시간09:00~19:00  (화~금요일)09:00~18:00  (화~금요일)07:00~23:00  (월~금요일)08:00~22:0009:00~17:00  (토·일요일)07:00~22:00  (토·일·공휴일)자료실 휴무일매주 월요일 법정공휴일-도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[종합자료실(전자정보코너) 어린이자료실 간행물실·휴게실)열람실(1·2실 103석) 노트북코너(12석)부대시설(강의실 56석)장애인화장실(12층 남녀화장실 공동 사용) / 수유실(2층 유아실 내)
41.전주금암도서관, 전주시 덕진구 거북바우로 13  ,#전주#문화공간#도서관, 063-281-6448, http://lib.jeonju.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/616c8703-cbf9-4780-8c69-828b76af1c04.jpg.png,1980년 4월 15일에 개관한 금암도서관은 전주 시민의 추억이 깃든 가장 오래된 도서관으로 2015년 7월에 시민들의 이용편의를 돕고자 자료실 열람실을 리모델링하여 쾌적한 도서관으로 새롭게 태어났습니다.규모 : 지상3층 지하1층 / 부지 20580㎡ 건물 2664.98㎡운영시간 및 휴관일구분자료실열람실일반자료실어린이자료실3월~10월11월~2월운영시간09:00~19:00(화~금요일)09:00~18:00(화~금요일)07:00~23:00(월~금요일)08:00~22:0009:00~17:00(토·일요일)07:00~22:00(토·일·공휴일)자료실 휴무일매주 월요일 법정공휴일-도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[종합자료실(일반자료실 전자정보코너) 노트북실 간행물실 어린이자료실 열람실(제12열람실 / 312석) 연구실(48석)부대시설(강의실 휴게실)장애인화장실(1층 남자화장실 3층 여자화장실) / 수유실(1층 아동실 내)
42.전주삼천도서관, 전주시 완산구 용리로 107  ,#전주#문화공간#도서관, 063-281-6464, http://lib.jeonju.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/29746c18-200a-4a8c-bdbb-1d7cfca3afb4.jpg.png,전주시 완산도서관 삼천분관은 2001년 2월에 개관하여 시민들에게 다양한 문화그램을 제공하여 독서 문화 환경을 조성하고 있습니다.규모 : 지상2층 지하1층 / 부지(3169㎡) 건물(2712.18㎡)운영시간 및 휴관일구분자료실열람실일반자료실어린이자료실3월~10월11월~2월운영시간09:00~19:00(화~금요일)09:00~18:00(화~금요일)07:00~23:00(월~금요일)08:00~22:0009:00~17:00(토·일요일)07:00~22:00(토·일·공휴일)자료실 휴무일매주 월요일 법정공휴일-도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[종합자료실(일반자료실 전자정보코너) 간행물실 어린이자료실)열람실(제123열람실 120석) 연구실(16석)부대시설(강의실(교양교실 52석) 식당(매점) 휴게실)장애인화장실(1층 남녀화장실 공동사용) / 수유실(1층 어린이자료실 내)
43.전주서신도서관, 전주시 완산구 서신천변 14길 10 (서신동 804)  ,#전주#문화공간#도서관, 063-281-6550, http://lib.jeonju.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/106e3787-c1bd-4c65-ba98-48b0d92958fb.jpg.png,서신동 주민센터와 함께 위치한 서신도서관은 대단위 아파트 밀집 지역에 있는 시립도서관으로 문화센터와 평생교육의 기능을 다양하게 수행하고 있습니다.규모 : 도서관(3~5층) /  연면적(2594.3㎡) 부지(2016㎡)운영시간 및 휴관일구분자료실열람실일반자료실어린이자료실3월~10월11월~2월운영시간09:00~19:00(화~금요일)09:00~18:00(화~금요일)07:00~23:00(월~금요일)08:00~22:0009:00~17:00(토·일요일)07:00~22:00(토·일·공휴일)자료실 휴무일매주 월요일 법정공휴일-도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[일반자료실(일반자료실 전자정보코너) 종합열람실(노트북코너 간행물코너) 어린이자료실열람실 3실(3층 4층 5층 468석)부대시설(강당 강의실-25석 식당(매점) 휴게실)장애인화장실(1층 2층 3층) / 수유실(3층 유아실 내)
44.전주송천도서관, 전주시 덕진구 솔내로 212  ,#전주#문화공간#도서관, 063-281-6510, http://lib.jeonju.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/4960e797-7099-4b89-a888-bd6acfab3659.jpg.png,2005년 12월 26일에 개관한 송천도서관은 북부권 시민들을 위해 다양한 독서문화프로그램을 제공하여 평생교육센터로서 역할을 수행하고 있습니다.규모 : 지상3층 지하1층 / 부지(5277㎡ 건물(3367㎡)운영시간 및 휴관일구분자료실열람실일반자료실어린이자료실3월~10월11월~2월운영시간09:00~19:00(화~금요일)09:00~18:00(화~금요일)07:00~23:00(월~금요일)08:00~22:0009:00~17:00(토·일요일)07:00~22:00(토·일·공휴일)자료실 휴무일매주 월요일 법정공휴일-도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[종합자료실(일반자료실 전자정보코너) 간행물코너 어린이자료실]열람실(제12열람실-23층 280석) / 노트북실(1층 37석)부대시설(강당 강의실(세미나실 48석) 식당(매점) 휴게실)장애인화장실(남자화장실 1층3층 여자화장실(2층) / 수유실(1층 유아자료실 내)
45.전주아중도서관, 전주시 덕진구 무삼지2길 7 ,#전주#문화공간#도서관, 063-281-6484, http://lib.jeonju.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/9a2e8257-c370-44ad-8489-0d33dd8bb403.jpg.png,2013년 3월 20일에 개관한 아중도서관은 꿈과 상상력을 키우는 어린이 창의도서관으로 일반 도서관과 차별화된 어린이 특화 도서관으로 구성되고 있습니다.규모 : 지상3층 지하1층 / 부지(1430㎡) 건물(2793㎡)운영시간 및 휴관일구분자료실일반자료실어린이자료실유아자료실운영시간09:00~22:00  (화~금요일)09:00~18:00(화~금요일)09:00~18:00(화~금요일)09:00~17:00(토·일요일)자료실 휴무일매주 월요일 법정공휴일도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[일반자료실(전자정보코너 간행물코너) 어린이자료실 유아자료실 어르신열람실)]부대시설(유아창의교육관 동화창의체험관 강당 강의실(교양교실) 휴게실)장애인화장실(2층(여자) 3층) 수유실(1층 유아자료실 내)
46.전주완산시립도서관, 전주시 완산구 곤지산4길 12 (동완산동 464-1)  ,#전주#문화공간#도서관, 063-287-6417, http://lib.jeonju.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/fde37fb3-9583-4a47-acf3-0a3df37d9064.jpg.png,1989년 개관한 완산동 전주시립도서관은 전주시내 11개 도서관 중 본관으로 가장 많은 도서를 보유하고 있습니다.규모 : A동(지하1~지상3층) B동(지상3층) 별관(지상2층) / 부지(7424㎡) 건물(6617㎡)운영시간 및 휴관일구분자료실(일반 어린이자료실)열람실3월~10월11월~2월운영시간09:00~22:00  (화~금요일)07:00~23:00(화~금요일)08:00~22:0009:00~17:00(토·일요일)07:00~22:00(토·일요일)자료실 휴무일매주 월요일 법정공휴일-도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[종합자료실(일반자료실 전자정보코너 노트북코너) 간행물실 어린이자료실 다문화자료실]열람실(제134열람실 556석) 연구실(제123연구실 30석)부대시설(강당-80석 강의실 식당(매점) 휴게실)장애인화장실(B동 12층 A동 1층 남녀화장실 공동사용) / 수유실 : 없음
47.전주인후도서관, 전주시 덕진구 안덕원로 349  ,#전주#문화공간#도서관, 063-281-6409, http://lib.jeonju.go.kr , ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/8c63e892-3f74-479b-bd94-eaa8a5ea83d0.jpg.png,1996년 12월 19일에 개관한 인후도서관은 아파트 밀집지역 내에 위치하여 지역민의 독서문화환경 조성에 이바지 하였으며 또한 조망이 뛰어나고 학습 분위기가 좋아 수험생이나 취업준비생들이 선호하는 도서관으로 알려져 있습니다.규모 : 지상3층 지하1층 / 부지(5596㎡) 건물(2519.21㎡)운영시간 및 휴관일구분자료실열람실일반자료실어린이자료실3월~10월11월~2월운영시간09:00~19:00(화~금요일)09:00~18:00(화~금요일)07:00~23:00(월~금요일)08:00~22:0009:00~17:00(토·일요일)07:00~22:00(토·일·공휴일)자료실 휴무일매주 월요일 법정공휴일-도서관 휴관일명절(1.1 설날 추석) 당일자료실 및 편의시설자료실[일반자료실 전자정보실 간행물코너 어린이자료실]열람실(2층 3개실 296석) 연구실(2층 2개실 40석)부대시설(강의실(교양교실)-3층 40석 식당(매점) 휴게실)장애인화장실(12층 남녀화장실 공동 사용) / 수유실(1층 어린이자료실 내)
