인덱스,이름,주소,태그,전화번호,홈페이지,운영시간/휴무일,이미지,입장료,주차시설,소개
1088,삼의악트레킹코스,제주특별자치도 제주시 아라동 산24-2,#걷기#등산,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/3bd5870c-d4aa-4069-9a9a-f510104fea27.jpg,,,​삼의악트레킹코스는 아라동에 있는 삼의악오름을 둘러 산책하는 코스이다. 제주시외버스터미널에서 210-2번 버스를 타고 종합사격장 정류장 서귀포버스터미널에서 182번 버스를 타고 제주국제대학교 정류장에서 내려 제주경찰교육센터를 지나면 입구가 나온다. ​​​​​​​승용차를 이용할 때에는 아라동에서 516도로를 타다가 제주경찰교육센터로 들어가면 된다.​​​트레킹코스가 있는 삼의악오름은 산 정상에서 샘이 솟아나와 새미오름이라고도 부른다. 삼의악트레킹코스는 1.6km로 가볍게 산책할 수 있는 정도의 코스이지만 함께 조선되어 있는 아라동 역사문화탐방로는 5.5km로 꽤 오랜 시간 걸어야 하는 코스도 있다. 코스진입로부터 약 15~20분 정도 올라가면 바로 삼의악오름 정상이 나오는데 여기서 바라보는 한라산과 제주시내의 너른 풍경이 일품이다. ​​​​​​​트레킹코스는 이 정상부터가 본격적인 시작이라고 볼 수 있다.​​​​정상을 지나 고사리 평원과 참나무 숲길 칼다리내 수국오솔길 삼나무숲길 밤나무숲길을 지나 진지동굴까지 가면 코스를 모두 둘러볼 수 있다. 삼의악 정상을 넘어 만나는 고사리 평원은 말을 방목하는 사유지이기도 해서 너른 초원에서 풀을 뜯는 말들도 만날 수 있다.좀 더 내려가면 만나는 칼다리내는 비가 많이 오면 폭포가 되는 곳으로 웅장한 바위가 멋있는 곳이다. 코스가 끝나는 길에 만나는 진지동굴은 일본군에 의해 구축된 동굴 형태의 군사 진지로 아픈 역사 속 공간을 만날 수 있다. ​​​​​​​이 코스는 약 2시간정도의 코스로 둘레길이라 걷는 것이 그리 어렵지 않고 제주시내와도 가까우니 날이 좋은 날 호젓한 산책을 즐기는 것도 좋을 듯 하다.​
1089,차귀도글라스요트,제주특별자치도 제주시 한경면 한경해안로 156 2층,#요트#액티비티#부모#맑음,064-772-3111,,연중 무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/65954fc9-32e5-43b3-a3fb-293de3513ee8.jpg,,,제주에서 느끼는 이국적인 풍경과 체험제주 서부해역의 수려한 자연경관 속에서여러개의 부속섬으로 나뉘어진 신비의 섬 차귀도와 당산봉 해안절벽을 중점으로요트를 타고 해상관광 및 해상동굴탐방과가마오지들의 서식지 탐방 뿐만아니라풍부한 어족자원으로 야생돌고래들이운항코스에 자주출몰하여 돌고래탐방까지 체험이 가능​제주도 서부지역에서느끼는 이국적인 요트체험을 즐기고 싶다면차귀도 글라스 요트를 추천한다.​​기상상태에 따라서는이국적인 풍경을 자아내는 포인트에서스노클링과 체험낚시도 함께 즐기실 수 있다.
1090,낙타트래킹,제주특별자치도 서귀포시 표선면 성읍리 2684,#액티비티#친구#커플,064-787-2256,,트래킹시간 : 10분~15분 사이 (조련사와 함께 트래킹),https://api.visitjeju.net/photomng/imgpath/201804/30/d9664e5a-ca45-4ab8-9c53-1e3a2865c27a.jpg,,,​ ​​​​​​​낙타트래킹의 낙타들은 약 3년전 호주에서 24마리가 전세기를 타고 제주로 왔습니다.위 낙타들은 영어로 교육을 받아서 약간의 영어단어도 이해할수 있습니다.​ ​모두 혹이 1개짜리인 단봉낙타들로 쌍봉낙타보다 키가 크고 힘이 좋아서 현재 300kg까지 들수 있으며안장이 2인용으로 되있어서 아이들은 보호자와 함께 이용이 가능합니다.​ ​낙타들은 성질이 온순한 편이고 사람을 잘 따르는 귀여운 동물입니다.또한 국내에서는 최초로 새끼낙타가 10마리 이상 태어났고 이 새끼 낙타들에게 먹이주는 체험도 포함이 되어있어녀노소 누구나 동심의 세계로 빠질수 있습니다.​  ​모래로 덮혀진 트래킹코스는 과히 사막에 온 듯한 착각이 들것이며 언덕코스에서는 원하시는 분들은 조금 달려볼수도 있으며또한 현재 포니밸리공연장과 같은곳에 위치해 있어 마상공연과 낙타트래킹을 한 곳에서 동시에 이용이 가능합니다.
1091,한림바다체험마을,제주특별자치도 제주시 한림읍 한수리 879-30,#부모#아이#체험관광,064-796-7535,,,https://api.visitjeju.net/photomng/imgpath/201808/20/23b8b3bd-b129-49a9-915a-25c04bc3cc31.jpg,,,한림 바다체험마을에서는 환경부 환경체험 프로그램의 일환으로 바다야! 같이 놀자!라는 주제로 바다체험을 할 수 있다. 부모와 아이들이 제주전통 나무배 테우를 타고 바다에 나가 대나무 낚시를 이용해 물고기를 잡으면서 다양한 경험을 할 수 있다. 체험 프로그램에는 테우체험과 고망낚시 고동줍기 등 을 통해 추억과 즐거운 시간을 가질 수 있다.
1092,석부작박물관,제주특별자치도 서귀포시 일주동로 8941 (호근동),#테마공원#비#눈#흐림#사계절#우수관광사업체,064-739-5588,,연중무휴* 각 매장 및 부대시설 이용은 오후 17:30까지 이용,https://api.visitjeju.net/photomng/imgpath/201804/30/2231a50b-62e6-4c55-af4c-61242dda25aa.jpg,,,제주만이 가진 천혜의 자원 중 하나인 현무암은 화산활동을 통해 크고 작은 구멍이 뚫려 있는 것이 특징이다. 이러한 현무암 위에 풍란과 야생화를 착근 시켜 하나의 예술품으로 만들어 낸 것이 석부작이다. 시간이 지남에 따라 초록의 생명이 구멍마다 고인 물기를 머금고 뿌리를 내리며 자라는 모습이 절로 탄성을 자아낸다. 투박한 돌덩이를 초록의 뿌리가 굽이굽이 휘어 감으며 껴안아가는 과정은 자연만이 줄 수 있는 생명의 감동이다. 석부작 박물관은 풍란을 비롯해 복수초와 고란초 죽백란 만년석송 한라구름채 돌단풍 등 제주에서만 유일하게 볼 수 있는 야생화들과 분재작품들로 최대한 인공적인 멋을 배제하여 들판과 오름에서 느낄 수 있는 야생 생물들의 생명력을 고스란히 품어 안고 있다.
1093,토이파크,제주특별자치도 서귀포시 안덕면 동광리 383,#실내#테마공원#아이#비#눈#사계절,064-794-0333,,AM 09 : 00 ~ 20 : 00 (50분 전에 입장 마감) / 연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/09873ebc-f5ac-42e8-b6bc-cccfbc3e62ff.jpg,성인 8.000원 / 청소년 8.000원 / 어린이 8.000원 / 장애인 5.000원,,​​​​​​​​ 아이들에게는 꿈을 어른들에게는 추억을 선사하는 공간토이 파크는 한 가정이 10년 이상 직접 하나하나 모으고 만들어온 장난감과 인형들을 전시한 공간이다.각 아이템별로 이야기를 부여하고 작은 소품까지 세심하게 신경 써서 보는 즐거움을 선사한다.프랑스 루브르 국립 박물관에 전시되었던 플레이 모빌을 전시하고 있으며 트랜스포머 전 종을 보유하고 있다.그뿐만 아니라 레고 건담 구체 관절 인형 실바니안 원피스 피겨 디즈니 인형 파포 등국내외 진귀한 장난감이 다양하게 전시되어 있다.​​​​​​​​​​4D 영상 체험 정글짐(키즈카페) 볼 풀장 실내 체험실 실외 놀이 체험실도 이용할 수 있다.토이 파크는 장난감 마니아층은 물론 일반인들도 즐길 수 있으며​​​​​​​아이들에게는 놀이와 꿈을 어른들에게는 어린 시절 추억을 돌아볼 수 있게 하는 곳이다.​​​​​​​​
1094,남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,#문화유적지,064-728-2731,,,https://api.visitjeju.net/photomng/imgpath/201804/30/1e7372af-63b3-4e86-b8f2-2a59311dbf7d.jpg,,,해안절벽 위에 있는 남두연대는 주변경관이 아름답습니다.동쪽으로 조부 연대 서쪽으로 애월 연대와 교신하며 적의 침입이나 위급시 통신수단으로 사용 된 곳입니다.봉수대와 차이점이 있다면 해변 가까운 높은 지대에 설치하는 반면 봉수대는 산 정상에 위치한다는 점이다.
1095,봄날카페,제주특별자치도 제주시 애월읍 애월리 2540,#카페#커피#음료,064-799-4999,,비수기 월금토일 09:00 ~ 21:00 화~목 09:00 ~ 20:00 (단 20:00시 이후에 마지막 손님이 나가거나 눈비태풍바람 등의 사유로 마감할 수 있음),https://api.visitjeju.net/photomng/imgpath/201804/30/88f3b319-b8d8-4618-bc75-7202ba68a578.jpg,,,​​​드라마의 주인공이 일하던 카페라서 유명해졌다. ​​​​​​​해변을 바라보며 차 한잔의 여유를 즐기기에 좋으며 제주 돌담의 정취를 느낄 수 있다.​​​카페견 웰시코키 네마리가 반겨주는데 애견인들에게는 반가운 소식이 아닐 수 없다.근처에는 지드래곤 카페로 알려진 애월 드 몽상 이 있으며 한담해변을 산책하거나 올레길을 걷다가 카페에 들러 휴식을 취할 수 있다.​
1096,명진전복,제주특별자치도 제주시 구좌읍 평대리 515-28,#전복#돌솥밥#회,064-782-9944,,화요일 휴무 라스트오더 20:30,https://api.visitjeju.net/photomng/imgpath/201804/30/11103a08-8d99-4efc-9b74-171ece15b453.gif,,,
1097,몽상드애월,제주특별자치도 제주시 애월읍 애월리 2546,#카페#커피#음료#디저트,064-799-8900,,라스트 오더 19:00,https://api.visitjeju.net/photomng/imgpath/201804/30/990d3e00-da94-48cf-98cd-d52a175769e5.jpg,,,​애월에 위치한 봄날카페와 인접하여 많은 관광객들이 찾으며 ​​​​​​​통유리로 만들어진 벽면으로 따뜻한 제주의 햇살 푸르른 제주 바다를 전망할 수 있어 인기가 많다.​​젊은이들에게는 SNS인증샷을 찍는 곳으로 유명해서 좋은 자리를 차지하기가 쉽지 않다.​​주차공간이 협소한 편이어서 공용주차장을 이용하고 해안가로 걸어 이동하는 것이 좋다. 5천원대부터 시작하는 커피 메뉴 디저트류가 준비되어있다.​​
1098,서연의집(영화 건축학개론),제주특별자치도 서귀포시 남원읍 위미리 2975,#카페#커피#아메리카노,064-764-7894,,연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/4a8b15c5-4520-4ab7-b209-baddfe506d87.jpg,,,​​위미 포구 근처 가정을 영화 때문에 리모델링한 세트장이었지만 안전상의 문제로 개보수한 뒤 카페&amp갤러리에 오픈했다.카페 내부 이곳저곳에 영화의 추억을 느낄 수 있는 사진이나 도구가 있다. 첫사랑의 향수를 새삼 느끼고 싶은 이들에게 좋은 추억을 주고 있다.​​​​​​​​​ ​​ 영화 속의 남자 주인공이 누워서 낮잠을 잤던 2층에는 잔디가 있다.그러나 잔디에는 출입을 금지하고 있으며 영화의 주인공처럼 누워볼 수 없다.건물의 바로 앞에 바다가 있어 차 한잔과 함께 아름다운 경치를 즐길 수 있다.​​
1099,리치망고,제주특별자치도 제주시 애월읍 애월해안로 272,#스페셜망고쉐이크#망고라떼#수제망고코코넛잽#망고코코넛쿠키#카페#망고,070-4243-5959,,동절기(10월~3월) 매일 10:00 - 18:30 / 하절기(4월~9월) 매일 10:00 - 20:00 ,https://api.visitjeju.net/photomng/imgpath/201804/30/97bd08a9-93ce-43c6-9758-36dff639848a.jpg,,,​제주에서 런칭한 리치망고는 프렌차이즈로 현재 우도 모슬포 성산 등 제주전역으로 확장하였다. 100% 리얼 망고가 들어간 스페셜망고쉐이크는 물론 망고라떼 수제 망고 코코넛 잼 망고 코코넛 쿠키 등 망고로 만든 다양한 제품을 만날 수 있다. 대기자에게 번호표 대신 연예인 이름이 적힌 대기표를 주는 것이 특징이다.​​​​
1100,제주김만복(만복이네김밥집),제주특별자치도 제주시 오라3동 2250-1,#전복김밥#통전복주먹밥#미역국,064-759-8582,,수요일 휴무 브레이크타임:14:00 - 15:30,https://api.visitjeju.net/photomng/imgpath/201804/30/170d00ea-d591-488b-973f-87a4990c4cdb.jpg,,,
1101,르쉬느아 (Le Chnois),제주특별자치도 서귀포시 안덕면 서광리 산 24 메리어트관 제주신화월드 호텔앤리조트 G층,#중국음식#딤섬#북경오리#불도장,064-908-1240,,룸보유 브레이크 타임: 14:30~18:00 / 6명의 쉐프 추천메뉴(골든위크 프로모션) 특선 해산물 조림 - 680000 코코넛 곰보 버섯 돼지갈비산탕 - 35000 다진 새우 2헤드 전복찜 - 88000 간장 소스 타이거 새우 구이 - 40000 사천식 소스 새우 관자 볶음 - 38000 싱가포르 닭고기 수프 - 28000,https://api.visitjeju.net/photomng/imgpath/201904/01/70136ab8-ea3d-422a-ae1b-7f2157105920.jpg,,,
1102,카페공작소,제주특별자치도 제주시 구좌읍 세화리 1477-4,#카페#수제케이크#에이드#제주음료,070-4548-0752,,,https://api.visitjeju.net/photomng/imgpath/201804/30/c321f139-2382-43fe-9cd4-78c109501c50.jpg,,,​​구좌읍 세화리에 위치한 차와 다양한 제주관련 소품을 함께 판매하는 카페다. ​​​​​북적거리는 분위기 보다는 쉬고 싶은 다른 사람들을 존중하는 분위기가 지배적이다.메뉴판 위에도 조용한 힐링카페를 지향한다는 캘리그라피 문구가 쓰여 있다.구좌읍 당근으로 만든 수제 케이크와 제주 영귤 댕유자로 만든 에이드 음료가 있고 따뜻한 차와 커피는 언제든 맛볼 수 있다.카페 앞 바다에 유명한 포토존이 있어서 반짝이는 에메랄드 바다와 제주 감성의 스냅사진을 찍고 싶다면 들러볼만한 곳이다.​​​​​​​​​ ​​
1103,濟州膳제주선,제주특별자치도 서귀포시 안덕면 서광리 산 24,#한식#흑돼지#한우#갈치#고소리술,064-908-1260,,매주 월요일 휴무. 브레이크 타임 13:30 ~17: 00,https://api.visitjeju.net/photomng/imgpath/201904/02/3824e44f-69df-488f-87b1-a4ea438c8438.jpg,,,
1104,하하호호(HAHAHOHO),제주특별자치도 제주시 우도면 연평리 859,#흑돼지수제버거#수제버거#땅콩아이스크림,010-2899-1365,,11월~2월 11:00~16:00 / 3월10월 11:00~16:30 / 4월9월 11:00~17:00 / 5월~8월 11:00~17:30 / 마감 30분 전부터는 포장만 가능,https://api.visitjeju.net/photomng/imgpath/201804/30/1372a88f-0fe3-4986-8b70-458d7d4fa45f.png,,,​​​하하호호는 하우목동항 북측에 위치한 간이음식점이다.두툼한 흑돼지 패티위에 우도 땅콩이나 마늘칩이 뿌린 수제버거가 대표적인 메뉴로 성인남자가 배부를 정도인 1.5인분의 양이다.야채 등의 재료를 아낌없이 넣어 양이 푸짐하여 많은 여행객의 호감을 얻고 있다.인기메뉴인 제주딱새우버거는 매일 소량만 준비하여 못먹고 오는 경우도 있을 정도다.땅콩아이스크림과 마늘아이스크림도 인기가 많다.주문한 음식은 실내나 바다가 보이는 야외에서 즐길 수 있다. 우도의 마지막 배시간인 4:30분에 맞춰 마지막 주문은 3:30분까지만 받는다.​​​​
1105,올래국수,제주 제주시 연동 301-19,#고기국수#한식#향토음식,064-742-7355,,설추석과 매주 일요일 휴무,https://api.visitjeju.net/photomng/imgpath/201804/30/0080b083-ce7c-459d-a78e-5d1b6b87d5ff.jpg,,,​​이 집의 메뉴는 단 하나. 두툼한 고기와 도톰한 중면이구수한 사골국물과 어우러져 고소하고 구수한 맛을 자랑하는 고기 국수다. 맛은 한국의 설렁탕보다는 진하고 일본의 돈코츠 라멘보다는담백하다. 고소하고 깊은 맛이 입소문을 타서 tvN 수요미식회 등 각종 방송에 출연하기도 하였다. (21회 2015.06.17)웬만한 대식가도 너끈히 배불릴 수 있을 정도로 양이 매우 많은 편이지만 뜨끈한 감칠맛에젓가락을 놓을 수가 없다.​​인기 덕분에 가게는 08:30 오픈과 동시에 북적이기 시작한다.그리고 이렇게 항상 손님들이 많기 때문에식사 주문과 계산은 카운터에서 일괄 진행된다. 다행히 음식은착석하자마자 거의 동시에 나오는 편. 주차는 어려운 편이다. 근처 호텔 주차장을 사용할 수 있도록 주차권을 발급하고 있으나 금새 차기 일쑤다.​​​​​​​2016 KOREAT JEJU TOP 10 선정단 한줄평: 돼지 육수에 중면을 만 정통 제주 고기국수 집 중 최고. 투박한 돼지고기를 인심 좋게 듬뿍 넣은 덕분에 국물 맛이 특히 깊다. 제주어로 베지근한 맛.​​​​​
1106,우유부단,제주특별자치도 제주시 한림읍 금악리 142-2,#카페#디저트#아이스크림#우유,064-796-2033,,동절기(10월-4월) 매일 10:00~17:00 / 하절기(3월-9월) 매일 10:00~18:00,https://api.visitjeju.net/photomng/imgpath/201804/30/19b30440-f6bb-4978-a861-6f3e85620083.jpg,,,​​제주도 내 최대 유업목축지 이시돌목장에서 직접 생산된 우유로 만든 유제품 디저트 메뉴를 판매한다.대표메뉴는 홍차 밀크티 컵 또는 콘으로 즐길 수 있는아이스크림이다.밀크티와 유기농 우유를 에쁜 유리병에 담아 제공하여 테이크아웃 선물로 좋아제주의 추억을 담아갈 수 있는 기념품으로 그 역할을 톡톡히 한다.카페 주변의 우유팩 모양의 예쁜 벤치와 푸른 목초지 테쉬폰과 같은 조형물을 배경으로 웨딩촬영 등기억에 남는 여행사진 촬영을 위해 많은 이들이 방문하고 있다.​​​​​​​​​​
1107,델문도,제주특별자치도 제주시 조천읍 함덕리 1008-1,#카페#커피#빙수,064-702-0007,,주문마감 23:30,https://api.visitjeju.net/photomng/imgpath/201804/30/8577b39c-9ab7-4f8d-a5f1-c09ca6b6b15e.jpg,,,​​ 함덕서우봉해변의 가장 대표적인 카페로 TV 예능 프로그램 1박2일의 촬영지로도 소개된 바 있다.이곳에서는 WBC의 대표 에스프레소 머신인 빅토리아 아르두이노 VA388 Black Eagle 머신으로 만든 맛있는 커피를 제공한다.특히 델문도에서 보유하고 있는 SEATTLE 버전은 세계 60여대 밖에 없는 리미티드 에디션으로맛과 향이 소비자에게 고스란히 전해질 수 있도록 배려하려는 주인의 철학이 느껴진다.​​​​​​​​​​​​​​​​​
1108,데판야,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 G층,#데판야끼#모듬스시#사시미,064-908-1250 ,,매주 화요일 휴무.  브레이크 타임  13:30 ~ 17:00,https://api.visitjeju.net/photomng/imgpath/201904/01/25efba9b-982c-4534-b930-b068aa42b38a.jpg,,,
1109,스카이 온 파이브 다이닝 ,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 5층,#스카이온파이브그릴#스테이크#와인#레스토랑,064-908-1200,,조식(06:30-10:30): 성인-45000원 평일 런치(12:00-14:30): 성인-30000원 아동-20000원 주말 브런치(17:00-22:00): 성인-59000원 아동-39000원 디너 : 프라임 쇠고기 티본 100000원 참돔 구이 35000원 캐나다산 바닷가재 구이 78000원 제주 폭챱 구이 32000원,https://api.visitjeju.net/photomng/imgpath/201904/01/651eea59-72a8-4613-9dbc-0fb257e7db1d.jpg,,,
1110,우진해장국,제주특별자치도 제주시 삼도이동 831,#해장국#고사리육개장#사골해장국#녹두빈대떡,064-757-3393,,명절 휴무(설 3일 추석 3일),https://api.visitjeju.net/photomng/imgpath/201804/30/b7e42ea3-b5a5-4d3f-b3fe-924f0946be70.jpg,,,
1111,춘심이네,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,#무슬림#갈치조림#통갈치#은갈치,064-794-4010,,연중 무휴 브레이크타임(15:00~17:30),https://api.visitjeju.net/photomng/imgpath/201804/30/ac82c3d9-5191-4a0b-8f7b-b9dd1edf19de.jpg,,,통갈치구이 뼈없는 은갈치조림 갈치조림 뚝배기 등이 대표메뉴이다. 제주 은갈치 본연의 맛을 느낄 수 있는 음식점으로 당일 갈치 소진시 조기 마감 될 수 있다.​​​​​​​​​​​
1112,테라로사,제주특별자치도 서귀포시 하효동 1306-1,#커피#빵#카페#원두,064-738-4478,,연중무휴 마지막 주문 20:30,https://api.visitjeju.net/photomng/imgpath/201804/30/a98546be-22b6-4d6a-af9a-aefd312142fd.jpg,,,​품격있는 커피와 빵으로 유명한 테라로사의 서귀포 지점.유명한 관광지인 쇠소깍 바로 옆에 위치하고 있다.카페가 있을 것 같지 않은 곳에 자리하고 있다는 점도 신선하지만채광이 좋고 탁 트인 공간의 인테리어가 주는 여유로움과 편안함에 많은 여행객들이 찾는다.커피는 자극적이지 않고 밸런스가 좋다는 평이 대체적이다.날이 좋으면 야외테라스에서 비가 오면 실내에서 창밖으로 보이는 풍경이 모두 운치있다.단체석이 구비되어 있으며 카운터 한쪽엔 드립백 원두 프렌치프레스 등의 커피용품도 함께 판매하고 있다.​​​​​​​​​​​
1113,가시아방,서귀포시 성산읍 고성리 528-2,#고기국수#비빔국수#향토음식,064-783-0987,,첫째주 셋째주 수요일 휴무,https://api.visitjeju.net/photomng/imgpath/201804/30/a559b0c0-f881-442d-a763-add179da3c92.jpg,,,​​곱배기가 아닌데도 불구하고 푸짐한 양의 국물 고기국수 비빔국수를 맛있게 요리해내는 성산의 향토음식점. 수요미식회와6시내고향 등의 텔레비전 프로그램에도 로컬 맛집으로 소개된 덕분에도착하는 순서대로 대기표를 받고 차례를 기다려야 한다.​돔베고기 고기국수 보쌈 외에 반찬으로 제공되는 무절임과 집반찬도 깔끔해 입맛을 돋궈준다.​​​​​​​​
1114,카페콜라,제주특별자치도 제주시 한림읍 귀덕리 1028,#콜라#체리콕#고르곤졸라피자#커피콕,010-5338-9969,,화요일 휴무,https://api.visitjeju.net/photomng/imgpath/201804/30/cac0d3e4-d417-4b95-9e79-14b218786957.jpg,,,`카페콜라`는 코카콜라 관련 아이템 수집을 계기로 오픈한 코카콜라 테마카페이다.코카콜라의 상징인 빨간색을 기본으로 인테리어 되어 내부는 물론 외부에서도 강렬한 빨간색이 이목을 끈다.콜라 뿐 아니라 커피와 다양한 음료를 파는데 커피와 콜라를 콜라보한 커피콕과 고르곤졸라 피자가 대표메뉴다.체리와 콜라를 섞고 살얼음을 동동 띄운 체리콕도 먹어볼만 한 메뉴.매장 1-2층에는 콜라 박물관을 방불케할 정도의 콜라관련 소품 상품들이 진열되어 있는데 마음껏 둘러볼 수 있으며 구매가 가능한 소품도 있다.​​​​​
1115,키친오즈,제주시 한림읍 협재리 958-1,#카페#파스타#음료#애견동반#핑크뮬리,064-796-7165,,화요일휴무 주문마감 18:00,https://api.visitjeju.net/photomng/imgpath/201804/30/25159158-fdbe-4859-bde0-328dff15855a.jpg,,,​​몽환적인 느낌의 서양억새-핑크뮬리로 유명한 곳이다. 가을이면 분홍색으로 넘실거리는 억새밭을 보기위해 많은 관광객들이 찾고 있다. 들어서면 큰 애완견이 있는 애완동반 가능 카페다. 파스타가 주 메뉴이고 음료도 판매한다.​​​
1116,돈사돈,제주특별자치도 제주시 노형동 3086-3,#근고기#연탄구이#목살#오겹살#흑돼지,064-746-8989,,둘째주 화요일 휴무 / 마지막 주문은 20:20,https://api.visitjeju.net/photomng/imgpath/201804/30/64a751af-12ab-49b6-8d52-7d753a0be7ee.gif,,,​​2006년 영업을 시작한 제주의 근고기 구이 전문점으로 평일 낮 시간에도 북적거릴 정도로 인기가 좋다. 현장에서 기다리시는 손님들을 위해 예약은 받지 않는 것이 원칙이다.​​인기의 비결 첫 번째는 역시 신선한 재료다. 이 집에서는 도축장에서 바로 나와 신선한 제주 흑돼지를 쓴다. 메뉴는 단 두 가지.그것도 부위가 아니라 400/600g 근고기 단위로 판매한다. 육즙이 풍부한 목살과 오겹살을 골고루 함께 맛볼 수 있도록 한 배려다. 연탄을 사용하는 것은 마지막 화룡점정이다.특유의 매력적인 불향을 입힐 뿐만 아니라 숯불구이보다 고기를 부드럽게 만들기 때문이다.​​돈사돈에서는 흑돼지 목살과 삼겹살의 두툼한 두께에 한 번 고소한 육즙에 두 번 놀란다. 그렇게 구미가 당긴다고 해서 집게로 성급하게 고기를 구워선 안 된다. 이 집 고기 맛을 좌우하는 것은 고기의 결을 살려주는스태프들의 능숙한 굽기 실력에서 나오는 것이기 때문이다. 직원분들이 친절하게 고기를 구워 딱 먹기 좋을 때에 접시에 담아주고먹는 방법까지 설명해주니 최고로 맛있는 제주 흑돼지를 편안하게 맛볼 수 있다. 넘치는 육즙의 돼지고기와 멜젓이 찰떡궁합이며 식사의 끝에김치찌개까지 맛보면입 안이 깔끔하게 정리된다.​​KOREAT 선정단 한줄평: 제주도는 곧 흑돼지라고 여기는 여행자 또는 식객에게 꼭 소개하는 식당. 명불허전. 수많은 제주 근고기집 중 단연 최고.
1117,마노르블랑,서귀포시 안덕면 덕수리 2952,#카페#커피#음료#애프터눈티,064-794-0999,,,https://api.visitjeju.net/photomng/imgpath/201804/30/0260eac5-7e18-425a-aa83-7f7fa2902878.jpg,,,​제주의 아름다운 바다와 산방산 형제섬이 보이는 카페다.내부에는 영국을 포함한 유럽의 아름다운 티웨어와 각종 피겨린을 감상할 수 있다.유럽의 귀족문화를 느낄 수 있는 소품과 그릇들이 전시되어 있으며웅장한 매친토시 오디오와 비비드 스피커에서 흘러나오는 음악을 들으며 차 한 잔의 여유를 만끽할 수 있다.​​​​​​​​​​​​2000여 평인 정원에는 사계절내내 꽃이 피고 동쪽 잔디정원엔 그랜드피아노가 있어 로맨틱한 분위기를 연출한다.특히 가을에는 여심을 저격하는 아름다운 핑크뮬리 팜파스글라스 억새가 피어 포토존으로도 사랑받고 있다.​​​​​​​​​​
1118,모닥식탁,제주특별자치도 제주시 조천읍 함덕리 998-1,#카레#퓨전#돌문어카레#새우토마토카레,064-784-1050,,일요일월요일 휴무 / 브레이크타임 15:00~17:00 / 재료소진시 영업종료,https://api.visitjeju.net/photomng/imgpath/201804/30/3b74484c-f9db-4f21-bd30-0139de314361.jpg,,,​일요일과 월요일은 휴무이고 재료소진 시 영업을 일찍 마치는 경우가 많다.이름처럼 아담하고 소박한 간판이 눈길을 사로잡는다.모던한 인테리어와 함께 요리를 눈으로 즐기며 퓨전으로 만들어진 제주도 카레라고 불리우는 맛을 느껴볼 수 있다.새우 토마토 카레가 가장 인기가 많고 돌문어 카레도 반응이 좋다.​​​​​​
1119,구좌상회,제주특별자치도 제주시 구좌읍 월정리 417,#카페#케이크#음료,010-6600-6648,,화수요일 휴무,https://api.visitjeju.net/photomng/imgpath/201804/30/85f430da-9c37-4a50-b9ac-12d575f6acf0.jpg,,,​​​구좌상회는 제주의 돌담집을 감각적으로 개조하고 원목위주의 편안한 인테리어에 화사한 플라워 인테리어를 더해많은 여성 여행객들에겐 구좌에 가면 가보아야 할 명소 중 하나로 사랑받고 있다.구좌당근으로 만든 당근케이크와 치즈케이크가 인기메뉴다.SBS 백종원의 푸드트럭 78회 #제주도 특집 (2017.03.25)에 방영되어 더 유명해했다.좁은 골목길에 자리해 주차공간이 따로 없으므로 마을주차장 및 주변해변가의 주차공간에 주차 후 도보로 이동하는 것이 좋다.​​​​​​​​​​​​
1120,애월더선셋,제주 제주시 애월읍 곽지리 1381,#카페#커피#브런치,064-799-7177,,하절기 매일 10:00 - 20:00 / 동절기 매일 10:00 - 19:00,https://api.visitjeju.net/photomng/imgpath/201804/30/c24444e8-3b2a-4184-95ee-b1e0ff8c3a84.jpg,,,브런치세트와 아기자기한 서양식 디저트로 유명한 카페로 애월쪽 바다가 훤히 내려다보이는 언덕에 위치해 있다.제주를 여행하며 기억에 남는 사진을 찍고자 하는 관광객들에게 특히나 인기가 많고애월 바다위로 지는 황금빛 낙조를 즐기기에도 아름다운 공간으로 자리잡았다.카페의 한쪽 벽면이 트여 있어서 실내에서도 바다를 최대한 가까이에 두고 즐길 수 있도록 한 주인의 배려가 돋보인다.또한 더럭분교와 곽지물해수욕장 등 유명 관광지와도 가까워서 여행일정 도중에 커피나 차와 함께 가벼운 스낵을 즐길 수 있다.​​​​​​​​​​​​애월해안 한담산책로 위에 위치해 있어바다가 바로 앞에 전망이 보이는 브런치 카페에서 브런치를 즐길 수 있다.카페에서 인기가 많은 메뉴인 치즈오믈렛 브런치세트로 아침을 시작하는 관광객들이 많다.주말과 공휴일 당일예약은 받지않는다.​​​​​​​​​​​​​​​​​​​
